trade_date,daily_pnl,daily_return_pct,positions,equity
2023-05-14,-4.469521695778592,-0.44695216957785927,10,995.5304783042214
2023-05-15,-4.53941233982206,-0.4559792431020754,10,990.9910659643994
2023-05-16,3.3727495333143698,0.3403410635223157,10,994.3638154977137
2023-05-17,-9.076665670051074,-0.9128113401338811,10,985.2871498276627
2023-05-18,1.3312392937636568,0.13511180918136453,10,986.6183891214264
2023-05-19,-5.716755017871092,-0.5794291978443463,10,980.9016341035554
2023-05-20,-2.4611593121234545,-0.2509078613547937,10,978.4404747914319
2023-05-21,9.866888353119677,1.008430109682752,10,988.3073631445516
2023-05-22,-3.9406162408408147,-0.39872375617062494,10,984.3667469037108
2023-05-23,-4.57156822806508,-0.4644171740303884,10,979.7951786756457
2023-05-24,10.888228807533089,1.11127601405942,10,990.6834074831788
2023-05-25,1.5751034970425528,0.15899160974585083,10,992.2585109802213
2023-05-26,2.0810202267053786,0.20972561118670613,10,994.3395312069267
2023-05-27,2.155858649802353,0.21681312893047483,10,996.495389856729
2023-05-28,3.420584174811678,0.34326141491768186,10,999.9159740315407
2023-05-29,-7.6975895039006215,-0.7698236355665835,10,992.2183845276401
2023-05-30,-0.5136671026721507,-0.05176956108474943,10,991.704717424968
2023-05-31,16.93566772386533,1.7077328993493142,10,1008.6403851488333
2023-06-01,0.6781173859266545,0.0672308382562525,10,1009.3185025347599
2023-06-02,5.00447094123502,0.49582673146950174,10,1014.3229734759949
2023-06-03,-1.9370324814784767,-0.19096801828715743,10,1012.3859409945164
2023-06-04,0.9474020323167927,0.09358111308678517,10,1013.3333430268332
2023-06-05,34.8442531487403,3.4385775804692558,10,1048.1775961755734
2023-06-06,9.121215351434664,0.8701975108717005,10,1057.298811527008
2023-06-07,13.80984942463919,1.3061444195415541,10,1071.1086609516472
2023-06-08,-8.424045703628943,-0.7864790950475965,10,1062.6846152480182
2023-06-09,-0.41526711742603006,-0.03907717411803422,10,1062.269348130592
2023-06-10,52.51348708635994,4.9435190028569,10,1114.782835216952
2023-06-11,-0.21495463320328168,-0.01928219796831089,10,1114.5678805837488
2023-06-12,-10.421985440860478,-0.9350696016291105,10,1104.1458951428883
2023-06-13,-3.3585367454729678,-0.3041750877530851,10,1100.7873583974153
2023-06-14,-6.911384458744169,-0.6278582694487089,10,1093.8759739386712
2023-06-15,-2.6233210026672973,-0.23981887025286974,10,1091.2526529360039
2023-06-16,2.5791419101932416,0.23634690859665608,10,1093.831794846197
2023-06-17,-6.270357509747518,-0.5732469598425952,10,1087.5614373364494
2023-06-18,-6.867577458428855,-0.6314657013996618,10,1080.6938598780207
2023-06-19,10.492692326955591,0.970921804639467,10,1091.1865522049764
2023-06-20,-7.059596054548308,-0.6469650895424692,10,1084.126956150428
2023-06-21,-5.290514547407596,-0.4879976941255495,10,1078.8364416030204
2023-06-22,-3.280463769654718,-0.30407424546953066,10,1075.5559778333657
2023-06-23,-5.936897931750321,-0.5519840951197909,10,1069.6190799016154
2023-06-24,-15.406415698708763,-1.4403647044259775,10,1054.2126642029066
2023-06-25,10.20421748723339,0.967946775231431,10,1064.41688169014
2023-06-26,-12.314067505115508,-1.1568838973657156,10,1052.1028141850245
2023-06-27,2.500571507570461,0.23767368301428254,10,1054.6033856925949
2023-06-28,18.756132228464892,1.7785010443662745,10,1073.3595179210597
2023-06-29,-1.4711579055489015,-0.1370610574542926,10,1071.888360015511
2023-06-30,2.888754918122393,0.2695014729034459,10,1074.7771149336334
2023-07-01,5.160214182695924,0.4801194695157389,10,1079.9373291163292
2023-07-02,11.371588700287363,1.0529859829544268,10,1091.3089178166167
2023-07-03,10.608787649487754,0.972115912945417,10,1101.9177054661045
2023-07-04,2.9123928599622095,0.26430221109209645,10,1104.8300983260667
2023-07-05,-7.619833322955229,-0.6896837201032153,10,1097.2102650031115
2023-07-06,-19.600000000000005,-1.7863485810483575,10,1077.6102650031116
2023-07-07,5.9275018897993,0.5500598947785807,10,1083.537766892911
2023-07-08,4.107962900791908,0.37912503156873445,10,1087.645729793703
