evidence_set,candidate,metric,value
nonoverlap,fixed_1.68,test_positive_ratio_pct,100.0
nonoverlap,fixed_1.68,median_test_return_pct,35.77820365664854
nonoverlap,fixed_1.68,median_test_sharpe,5.4454627277684375
nonoverlap,fixed_1.68,median_test_max_drawdown_pct,-4.493024182692299
nonoverlap,fixed_1.68,median_test_cvar5_pct,-1.6691080232274365
nonoverlap,fixed_1.68,test_return_iqr_pct,19.30375308009049
nonoverlap,fixed_1.68,median_generalization_gap_abs_pct,65.93593085567586
nonoverlap,fixed_1.68,objective_score,0.3326845513941857
nonoverlap,fixed_1.68,selected_by_objective,True
nonoverlap,fixed_1.68,in_robust_band,True
nonoverlap,fixed_1.68,window_dist_window_count,11.0
nonoverlap,fixed_1.68,window_dist_positive_window_ratio_pct,100.0
nonoverlap,fixed_1.68,window_dist_median_test_return_pct,35.77820365664854
nonoverlap,fixed_1.68,window_dist_mean_test_return_pct,37.925956620184145
nonoverlap,fixed_1.68,window_dist_worst_test_return_pct,5.965573677365854
nonoverlap,delta_1.68_minus_1.5,window_pass_rate_pct,27.272727272727273
nonoverlap,delta_1.68_minus_1.5,test_positive_ratio_pct,0.0
nonoverlap,delta_1.68_minus_1.5,median_test_return_pct,0.2722644915123169
nonoverlap,delta_1.68_minus_1.5,median_test_sharpe,-0.5703644738389899
nonoverlap,delta_1.68_minus_1.5,median_test_max_drawdown_pct,0.01902599581177089
nonoverlap,delta_1.68_minus_1.5,median_test_cvar5_pct,-0.11612976063239966
nonoverlap,delta_1.68_minus_1.5,test_return_iqr_pct,2.142284705395614
nonoverlap,delta_1.68_minus_1.5,median_generalization_gap_abs_pct,-6.881887198419562
nonoverlap,delta_1.68_minus_1.5,objective_score,-0.38011784275088306
nonoverlap,delta_1.68_minus_1.5,window_count,11.0
nonoverlap,delta_1.68_minus_1.5,beat_rate_168_vs_150_pct,36.36363636363637
nonoverlap,delta_1.68_minus_1.5,median_delta_ret_pct,-0.17222185087641861
nonoverlap,delta_1.68_minus_1.5,mean_delta_ret_pct,-0.4156298028027179
nonoverlap,delta_1.68_minus_1.5,worst_delta_ret_pct,-5.542991566482129
nonoverlap,stress_low,test_return_pct,99.7596134563293
nonoverlap,stress_low,test_daily_win_rate_pct,64.51612903225806
nonoverlap,stress_low,test_position_win_rate_pct,28.432956381260095
nonoverlap,stress_low,test_max_drawdown_pct,-2.1444344937865645
nonoverlap,stress_low,portfolio_positive_ratio_pct,100.0
nonoverlap,stress_low,portfolio_median_return_pct,77.4220108133248
nonoverlap,stress_low,portfolio_worst_return_pct,47.494489304755035
nonoverlap,stress_base,test_return_pct,94.91661345632932
nonoverlap,stress_base,test_daily_win_rate_pct,64.51612903225806
nonoverlap,stress_base,test_position_win_rate_pct,28.27140549273021
nonoverlap,stress_base,test_max_drawdown_pct,-2.3397439260614425
nonoverlap,stress_base,portfolio_positive_ratio_pct,100.0
nonoverlap,stress_base,portfolio_median_return_pct,72.62751081332479
nonoverlap,stress_base,portfolio_worst_return_pct,42.70048930475501
nonoverlap,stress_high,test_return_pct,85.23061345632932
nonoverlap,stress_high,test_daily_win_rate_pct,61.29032258064516
nonoverlap,stress_high,test_position_win_rate_pct,27.94830371567044
nonoverlap,stress_high,test_max_drawdown_pct,-2.7634688833808463
nonoverlap,stress_high,portfolio_positive_ratio_pct,100.0
nonoverlap,stress_high,portfolio_median_return_pct,63.03851081332476
nonoverlap,stress_high,portfolio_worst_return_pct,33.11248930475503
