dataset,method,horizon_days,paths,final_equity_p01,final_equity_p05,final_equity_p50,final_equity_p95,min_equity_p01,min_equity_p50,prob_final_le_0_pct,prob_hit_floor_00pct_pct,prob_hit_floor_10pct_pct,prob_hit_floor_25pct_pct,prob_hit_floor_50pct_pct
full_history,iid,252,50000,1557.2983962753933,1752.7557518563815,2234.7837078633365,2742.9092400794343,886.7125112943755,988.0410659515082,0.0,0.0,0.0,0.0,0.0
full_history,iid,365,50000,1984.7533038273432,2210.3626960031224,2789.211629409571,3407.883671172449,885.1427027251591,987.7925900598364,0.0,0.0,0.0,0.0,0.0
full_history,iid,730,50000,3420.34161243056,3759.3377690186257,4578.693151932588,5447.904698147071,885.5554939818896,987.6859324948845,0.0,0.0,0.0,0.0,0.0
full_history,iid,1095,50000,4940.628894471206,5349.568559156695,6378.67480009218,7423.498499267049,886.9114747900924,987.8585834884882,0.0,0.0,0.0,0.0,0.0
full_history,block,252,50000,1550.7017753401851,1742.396660870377,2238.41340288681,2783.168991307091,889.0374421327001,987.3000024809439,0.0,0.0,0.0,0.0,0.0
full_history,block,365,50000,1976.9788712550512,2201.962421319541,2795.351139720049,3443.4808592565546,890.3687128979708,987.2724974035145,0.0,0.0,0.0,0.0,0.0
full_history,block,730,50000,3418.4474234791815,3755.1738237044415,4610.0800638979645,5525.083729069128,889.50756903286,987.2637054299697,0.0,0.0,0.0,0.0,0.0
full_history,block,1095,50000,4954.940429902131,5365.899110646184,6418.578615716381,7524.992377861278,890.6882736759089,987.6235265378847,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,iid,252,50000,1793.2507621607251,2017.5057330794523,2546.681941482605,3105.122246528126,894.8023868293177,988.9598633423734,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,iid,365,50000,2350.380866931292,2607.010904964576,3241.6721451191524,3912.9225202839875,894.2724924408063,989.1259854876191,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,iid,730,50000,4205.313938329167,4577.027304790162,5487.886189504401,6429.525471023519,894.27837416246,989.1530827864,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,iid,1095,50000,6149.275854451503,6603.715157866588,7732.634027509186,8887.801743847514,892.9323765360674,988.9449179861347,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,block,252,50000,1805.2380123384041,2013.112111286713,2541.4641836942806,3133.7666715719797,898.3087387357292,989.314429600213,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,block,365,50000,2336.9839806414325,2594.141199357284,3236.1483708181904,3941.975682994261,899.7538729891905,989.2736899405959,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,block,730,50000,4192.228989085589,4562.303278538218,5491.048985074401,6470.672326795958,900.308551908137,989.0732538170234,0.0,0.0,0.0,0.0,0.0
nonoverlap_oos,block,1095,50000,6136.125213868003,6594.017500441816,7733.843155726758,8937.165570528745,898.0894539791599,989.236055084624,0.0,0.0,0.0,0.0,0.0
