trade_date,daily_pnl,daily_return_pct,positions,equity
2024-01-21,20.011082794414087,2.0011082794414086,10,1020.011082794414
2024-01-22,37.014213024609965,3.6288049854523274,10,1057.025295819024
2024-01-23,-15.86469135802469,-1.5008809553353324,10,1041.1606044609994
2024-01-24,0.7169147565451757,0.06885726884723195,10,1041.8775192175444
2024-01-25,-18.116554337806004,-1.7388372436917185,10,1023.7609648797385
2024-01-26,63.491504825103455,6.201789968868546,10,1087.252469704842
2024-01-27,-1.1570358043911493,-0.10641831926169379,10,1086.0954339004509
2024-01-28,-11.54982552800733,-1.0634263958305123,10,1074.5456083724434
2024-01-29,17.97623855848552,1.6729153624026403,10,1092.5218469309289
2024-01-30,0.9053455346384913,0.08286749937145457,10,1093.4271924655673
2024-01-31,1.5127163996441373,0.1383463306992682,10,1094.9399088652115
2024-02-01,-14.284401530295574,-1.304583147864236,10,1080.655507334916
2024-02-02,8.75083726572621,0.809771218147705,10,1089.4063446006421
2024-02-03,1.660517345465916,0.15242405679899296,10,1091.066861946108
2024-02-04,8.874309973714091,0.8133607832140746,10,1099.9411719198222
2024-02-05,10.525234246511975,0.956890651537425,10,1110.466406166334
2024-02-06,7.032233225853818,0.6332684344888212,10,1117.498639392188
2024-02-07,-6.589842956630879,-0.5896958371434906,10,1110.908796435557
2024-02-08,5.28541829585316,0.4757742771334481,10,1116.19421473141
2024-02-09,7.705537436908044,0.6903402056032183,10,1123.8997521683182
2024-02-10,7.854956312847864,0.6989018635953472,10,1131.754708481166
2024-02-11,-14.168506431809885,-1.2519061176095534,10,1117.5862020493562
2024-02-12,-16.286459297801596,-1.4572888666607153,10,1101.2997427515545
2024-02-13,-6.922923283363309,-0.6286139017944973,10,1094.3768194681911
2024-02-14,14.102843966068168,1.2886643535561544,10,1108.4796634342592
2024-02-15,25.823558077961263,2.329637514318979,10,1134.3032215122205
2024-02-16,5.127742008894151,0.45206095792075707,10,1139.4309635211146
2024-02-17,-15.977237398083693,-1.4022119733090457,10,1123.453726123031
2024-02-18,-5.363552840093468,-0.477416444965896,10,1118.0901732829375
2024-02-19,14.973330710738697,1.3391881145662865,10,1133.0635039936762
2024-02-20,-8.929673913043478,-0.7881000386623798,10,1124.1338300806328
2024-02-21,-1.0531704100963828,-0.09368728010087911,10,1123.0806596705365
2024-02-22,-10.979361985269893,-0.9776111707320081,10,1112.1012976852667
2024-02-23,-0.6826599345632136,-0.061384690044342674,10,1111.4186377507035
2024-02-24,-19.600000000000005,-1.763511905798756,10,1091.8186377507036
2024-02-25,13.016809011816058,1.1922134832422784,10,1104.8354467625197
2024-02-26,2.0688875829353464,0.18725753133625211,10,1106.904334345455
2024-02-27,0.033025340603806796,0.002983576771639949,10,1106.937359686059
2024-02-28,5.3833360453386465,0.48632707155763777,10,1112.3206957313976
2024-02-29,-16.11218934911244,-1.4485201445000535,10,1096.2085063822851
2024-03-01,22.01860364150045,2.0086145576598744,10,1118.2271100237856
2024-03-02,2.718677645633959,0.24312392547665304,10,1120.9457876694196
2024-03-03,-0.8504259768560796,-0.07586682480195736,10,1120.0953616925635
2024-03-04,13.69988971779449,1.2231002989863953,10,1133.795251410358
2024-03-05,-11.428864599650879,-1.008018386515044,10,1122.3663868107071
2024-03-06,-19.600000000000005,-1.7463103163392977,10,1102.7663868107072
2024-03-07,2.0108446811176295,0.18234548179629967,10,1104.7772314918248
2024-03-08,57.50739253118019,5.205338315447148,10,1162.2846240230049
2024-03-09,3.1011482864571933,0.266814876697174,10,1165.385772309462
2024-03-10,-1.5927261261419257,-0.13666943290251407,10,1163.79304618332
2024-03-11,1.8841105332568981,0.16189395008295265,10,1165.677156716577
2024-03-12,-9.524076447359038,-0.8170423854050632,10,1156.153080269218
2024-03-13,0.6478565183591856,0.0560355310568673,10,1156.8009367875773
2024-03-14,5.7801487336745705,0.4996666712361053,10,1162.581085521252
2024-03-15,-3.507507424703065,-0.3017000249174403,10,1159.0735780965488
2024-03-16,-12.736294570030307,-1.0988340007668949,10,1146.3372835265184
2024-03-17,54.82865093892776,4.78294230911311,10,1201.165934465446
2024-03-18,9.270209842717783,0.7717676281623236,10,1210.4361443081639
2024-03-19,9.31589720460931,0.7696314463522484,10,1219.752041512773
2024-03-20,-19.600000000000005,-1.6068839676375124,10,1200.1520415127732
2024-03-21,0.0738126767490066,0.006150277147882601,10,1200.2258541895221
2024-03-22,-0.5134766963926611,-0.0427816726827133,10,1199.7123774931295
2024-03-23,2.826174172396912,0.23557097729560572,10,1202.5385516655263
2024-03-24,10.467640247310381,0.870461926797491,10,1213.0061919128366
2024-03-25,105.72606709970361,8.716036884608155,10,1318.7322590125402
2024-03-26,4.613238328508886,0.34982372630842096,10,1323.3454973410492
2024-03-27,5.706338917197764,0.431205526346922,10,1329.051836258247
2024-03-28,-13.138278135440338,-0.9885452001954459,10,1315.9135581228068
2024-03-29,7.6016742432955295,0.5776727655378492,10,1323.5152323661023
2024-03-30,3.806142371107023,0.28757828229166854,10,1327.3213747372092
2024-03-31,0.02964394978094731,0.0022333664133764434,10,1327.35101868699
2024-04-01,-5.957055867573158,-0.4487928048954113,10,1321.3939628194169
2024-04-02,19.546596410975432,1.4792406323144895,10,1340.9405592303922
2024-04-03,-1.3305323756962206,-0.09922381469763693,10,1339.610026854696
2024-04-04,9.499464845172454,0.7091216588962451,10,1349.1094916998684
2024-04-05,-4.652280279817914,-0.34484082340537636,10,1344.4572114200505
2024-04-06,19.62232188153735,1.4594976853753303,10,1364.0795333015878
2024-04-07,1.2342637301632822,0.09048326728984032,10,1365.3137970317512
2024-04-08,-7.195600974449081,-0.5270290969074374,10,1358.1181960573022
2024-04-09,4.98608388456728,0.36713180775003074,10,1363.1042799418694
2024-04-10,11.905671889685348,0.8734234104373197,10,1375.0099518315549
2024-04-11,-5.491745786051,-0.39939680281846895,10,1369.5182060455038
2024-04-12,48.717196218782554,3.557250718079455,10,1418.2354022642864
2024-04-13,1.879204368471015,0.13250299389443865,10,1420.1146066327574
2024-04-14,41.83727688083059,2.9460493318937986,10,1461.951883513588
2024-04-15,-12.817283568757368,-0.8767240367687681,10,1449.1345999448306
2024-04-16,-16.367832185505787,-1.12949012370065,10,1432.766767759325
2024-04-17,11.650472359837917,0.8131450716195668,10,1444.417240119163
2024-04-18,-19.600000000000005,-1.3569486333729321,10,1424.817240119163
2024-04-19,-12.990187734668336,-0.911709050739863,10,1411.8270523844947
2024-04-20,22.64410889049388,1.6038868820546597,10,1434.4711612749886
2024-04-21,3.1829971510442716,0.22189342225710246,10,1437.6541584260328
2024-04-22,7.104003141141923,0.4941385311276463,10,1444.7581615671747
2024-04-23,-0.3642025989667661,-0.02520855106793126,10,1444.393958968208
2024-04-24,-9.753966331758612,-0.6752981948724215,10,1434.6399926364493
2024-04-25,-7.110178733817981,-0.4956071746439711,10,1427.5298139026313
2024-04-26,19.71396149655744,1.380984222155243,10,1447.2437753991887
2024-04-27,-0.3120317049041872,-0.021560410914057686,10,1446.9317436942845
2024-04-28,-10.92710168120893,-0.755191233368757,10,1436.0046420130755
2024-04-29,-10.070972140436599,-0.7013189126128813,10,1425.9336698726388
2024-04-30,46.970989514694224,3.294051505136951,10,1472.9046593873331
2024-05-01,-9.80741741322049,-0.665855549489535,10,1463.0972419741126
