date,open,high,low,close,volume,ticker
2024-09-03,227.05847075546578,227.50553099413642,219.7266282681139,221.31619262695312,50190600.0,AAPL
2024-09-04,220.21344869061124,220.33266071869627,216.06071952153204,219.4087371826172,43840200.0,AAPL
2024-09-05,220.1836359939166,224.00850159902006,220.07435325324454,220.92874145507812,36615400.0,AAPL
2024-09-06,222.4884846157397,223.7700744804958,218.33577084564575,219.37892150878906,48423000.0,AAPL
2024-09-09,219.37892899374344,219.82598924771256,215.2957503769675,219.4683380126953,67180000.0,AAPL
2024-09-10,217.49133220778626,220.03462329185413,215.3156216628219,218.67356872558594,51591000.0,AAPL
2024-09-11,220.01475867053273,221.63411098197892,216.4680492147489,221.20692443847656,44587100.0,AAPL
2024-09-12,221.04795042006705,222.09110108310472,218.38544755210194,221.31619262695312,37455600.0,AAPL
2024-09-13,222.12091208096655,222.57790161811045,220.46181236980377,221.04795837402344,36766600.0,AAPL
2024-09-16,215.126845002842,215.80241517960704,212.52394807405793,214.90829467773438,59357400.0,AAPL
2024-09-17,214.34200737227792,215.48449636527135,213.10016491936787,215.37521362304688,45519300.0,AAPL
2024-09-18,216.13026348358338,221.25659276615585,216.12031904206836,219.24977111816406,59894900.0,AAPL
2024-09-19,223.52170475455895,228.32018565098164,223.16405353373213,227.37637329101562,66781300.0,AAPL
2024-09-20,228.46920754640476,231.56884144729943,226.1345376792504,226.71075439453125,318679900.0,AAPL
2024-09-23,225.85638298730962,227.95261380296742,224.33636892980346,224.9920654296875,54146000.0,AAPL
2024-09-24,227.15783023434298,227.8532741806864,224.2568878942957,225.8861846923828,43556100.0,AAPL
2024-09-25,223.46208007568333,225.80667911779153,222.5580303354434,224.89268493652344,42308700.0,AAPL
2024-09-26,225.81663654010723,227.00880227293717,223.9389713421174,226.0352020263672,36636700.0,AAPL
2024-09-27,226.9690772008412,228.02215721764472,225.81664372013879,226.30343627929688,34026000.0,AAPL
2024-09-30,228.5387415800987,231.47943115234375,228.1512873446241,231.47943115234375,54541900.0,AAPL
2024-10-01,228.02216122790813,228.15130254219565,222.27988260723768,224.7337646484375,63285000.0,AAPL
2024-10-02,224.41584231153624,225.8861795938886,221.56457676904253,225.30003356933594,32880600.0,AAPL
2024-10-03,223.67069519563566,225.3297946556875,221.86258072628866,224.19723510742188,34044200.0,AAPL
2024-10-04,226.41271278943105,226.5120662505933,222.66732681912907,225.3199005126953,37245100.0,AAPL
2024-10-07,223.0348997045567,224.21713611955545,219.885589131397,220.2432403564453,39505400.0,AAPL
2024-10-08,222.83619253711748,224.50522136577493,221.79304193960246,224.29660034179688,31855700.0,AAPL
2024-10-09,223.76012210676075,228.25062837641602,223.3627386107029,228.0419921875,33591100.0,AAPL
2024-10-10,226.29350107451606,228.00227752622936,225.68748134269669,227.54527282714844,28183500.0,AAPL
2024-10-11,227.80358186995707,227.91286461183438,225.85636623992795,226.06500244140625,31759200.0,AAPL
2024-10-14,227.20748901369805,230.21771386522883,227.1081507143634,229.79052734375,39882100.0,AAPL
2024-10-15,232.08545910083197,235.9401430278398,230.85354589755886,232.3238983154297,64751400.0,AAPL
2024-10-16,230.0885769817669,230.60517253033711,228.34005309673006,230.26739501953125,34082200.0,AAPL
2024-10-17,231.90660939150177,232.3238817771462,229.01561181125544,230.6349639892578,32993800.0,AAPL
2024-10-18,234.6386615701971,234.6386615701971,232.4828249974097,233.46636962890625,46431500.0,AAPL
2024-10-21,232.91995571367772,235.3043021987925,232.91995571367772,234.93670654296875,36254500.0,AAPL
2024-10-22,232.36362533760988,234.67842149785605,231.0820505913223,234.32077026367188,38846600.0,AAPL
2024-10-23,232.55238437433343,233.60546433739609,226.27362172475395,229.25404357910156,52287000.0,AAPL
2024-10-24,228.47914643577636,229.3136761173618,226.91940013747097,229.0653076171875,31109500.0,AAPL
2024-10-25,228.24069596218243,231.6979808399029,228.07180722071536,229.89979553222656,38802300.0,AAPL
2024-10-28,231.79736647290133,233.1981533252385,231.03238723011694,231.8768310546875,36087100.0,AAPL
2024-10-29,231.57880823795904,232.80077708078602,230.8038996879506,232.14508056640625,35417200.0,AAPL
2024-10-30,231.09197226998216,231.94636045913163,228.05194445904854,228.59835815429688,47070900.0,AAPL
2024-10-31,227.84330777090054,228.330115454563,223.89921505082026,224.43569946289062,64370100.0,AAPL
2024-11-01,219.5279346472888,223.87935529424118,218.83250593091054,221.4552764892578,65276700.0,AAPL
2024-11-04,219.54780947276666,221.33605042122997,218.2761640538016,220.56114196777344,44944500.0,AAPL
2024-11-05,220.35251908634842,222.4884819564664,219.6968226591573,221.9917449951172,28111300.0,AAPL
2024-11-06,221.15721202226086,224.59463817705685,219.7464809892452,221.26649475097656,54561100.0,AAPL
2024-11-07,223.16406118155706,226.39285156162418,223.10445516924474,225.99545288085938,42137700.0,AAPL
2024-11-08,225.9357792784742,227.4176895436531,225.17991383614745,225.7269287109375,38328800.0,AAPL
2024-11-11,223.77757009002366,224.47376393957063,220.29658566640109,223.01174926757812,42005600.0,AAPL
2024-11-12,223.33001798502116,224.36436096493557,222.14648085284745,223.01174926757812,40398300.0,AAPL
2024-11-13,222.79294167641658,225.4185978724207,221.54973296285615,223.89691162109375,48566200.0,AAPL
2024-11-14,223.7974607959322,227.62653447284012,223.77756520755418,226.98007202148438,44923900.0,AAPL
2024-11-15,225.16996034674554,225.68713943052106,223.0515429787679,223.77757263183594,47923700.0,AAPL
2024-11-18,224.02620376766677,228.49181480220403,223.94663659117114,226.78115844726562,44633700.0,AAPL
2024-11-19,225.7467938634959,228.90952454109907,225.42854034251505,227.03973388671875,36211800.0,AAPL
2024-11-20,226.82094870348703,228.68078414631773,224.6627401240164,227.75584411621094,35169600.0,AAPL
2024-11-21,227.63648708983084,228.9095315645878,224.48371169719937,227.2784423828125,42108300.0,AAPL
2024-11-22,226.82096032466632,229.46651233539,226.82096032466632,228.62112426757812,38168300.0,AAPL
2024-11-25,230.20248468460477,231.98275293866183,228.49182822914253,231.6048126220703,90152800.0,AAPL
2024-11-26,232.06231657216094,234.29015208323423,232.06231657216094,233.7829132080078,45986200.0,AAPL
2024-11-27,233.19611792325418,234.40949083683986,232.53970008294309,233.6536102294922,33498400.0,AAPL
2024-11-29,233.53426018813377,236.51796100091357,232.69882760276832,236.0405731201172,28481400.0,AAPL
2024-12-02,235.98089694287458,239.4817615684827,235.8714939748314,238.2882843017578,48137100.0,AAPL
2024-12-03,238.50711361537608,241.441083276618,237.60205398884364,241.33168029785156,38861000.0,AAPL
2024-12-04,241.55048900644988,242.78375758332757,239.9392952788925,241.68972778320312,44383900.0,AAPL
2024-12-05,242.6644095132275,243.21140922639395,240.81451427308068,241.7195587158203,40033900.0,AAPL
2024-12-06,241.59025685240857,243.30091318780651,240.76476447856876,241.5206298828125,36870600.0,AAPL
2024-12-09,240.516140724136,245.89675186527563,240.43657354260168,245.40940856933594,44649200.0,AAPL
2024-12-10,245.54863486606115,246.86147053083658,244.00705305092782,246.42385864257812,36914800.0,AAPL
2024-12-11,246.61281718111218,249.43738355757404,244.92204129682997,245.1508026123047,45205800.0,AAPL
2024-12-12,245.54862958315107,247.38858448031883,244.3451969163318,246.61282348632812,32777500.0,AAPL
2024-12-13,246.47359279661413,247.9355922748061,244.90217516923994,246.7819061279297,33155300.0,AAPL
2024-12-16,246.6426692963963,250.01425073054844,246.3045049916291,249.67608642578125,51694800.0,AAPL
2024-12-17,248.72130738305802,252.45093348613432,248.42293425963442,252.1028289794922,51356400.0,AAPL
2024-12-18,250.7900177691265,252.89849494785605,246.39403346062903,246.7023468017578,56774100.0,AAPL
2024-12-19,246.15534002348284,250.63089166027345,245.74756389880645,248.43289184570312,60882300.0,AAPL
2024-12-20,246.69239156062656,253.6145845456153,244.35516822034685,253.10736083984375,147495300.0,AAPL
