date,vol_regime,mapped_ret,global_ret,is_flag
2022-01-04,unknown,0.0,0.0,True
2022-01-05,unknown,0.0,0.0,True
2022-01-06,unknown,0.0,0.0,True
2022-01-07,unknown,0.0,0.0,True
2022-01-10,unknown,0.0,0.0,True
2022-01-11,unknown,0.0,0.0,True
2022-01-12,unknown,0.0,0.0,True
2022-01-13,unknown,0.0,0.0,True
2022-01-14,unknown,0.0,0.0,True
2022-01-18,unknown,0.0,0.0,True
2022-01-19,unknown,0.0,0.0,True
2022-01-20,unknown,0.0,0.0,True
2022-01-21,unknown,0.0,0.0,True
2022-01-24,unknown,0.0,0.0,True
2022-01-25,unknown,0.0,0.0,True
2022-01-26,unknown,0.0,0.0,True
2022-01-27,unknown,0.0,0.0,True
2022-01-28,unknown,0.0,0.0,True
2022-01-31,unknown,0.0,0.0,True
2022-02-01,unknown,0.0,0.0,True
2022-02-02,unknown,0.0,0.0,True
2022-02-03,unknown,0.0,0.0,True
2022-02-04,unknown,0.0,0.0,True
2022-02-07,unknown,0.0,0.0,True
2022-02-08,unknown,0.0,0.0,True
2022-02-09,unknown,0.0,0.0,True
2022-02-10,unknown,0.0,0.0,True
2022-02-11,unknown,0.0,0.0,True
2022-02-14,unknown,0.0,0.0,True
2022-02-15,unknown,0.0,0.0,True
2022-02-16,unknown,0.0,0.0,True
2022-02-17,unknown,0.0,0.0,True
2022-02-18,unknown,0.0,0.0,True
2022-02-22,unknown,0.0,0.0,True
2022-02-23,unknown,0.0,0.0,True
2022-02-24,unknown,0.0,0.0,True
2022-02-25,unknown,0.0,0.0,True
2022-02-28,unknown,0.0,0.0,True
2022-03-01,unknown,0.0,0.0,True
2022-03-02,unknown,0.0,0.0,True
2022-03-03,unknown,0.0,0.0,True
2022-03-04,unknown,0.0,0.0,True
2022-03-07,unknown,0.0,0.0,True
2022-03-08,unknown,0.0,0.0,True
2022-03-09,unknown,0.0,0.0,True
2022-03-10,unknown,0.0,0.0,True
2022-03-11,unknown,0.0,0.0,True
2022-03-14,unknown,0.0,0.0,True
2022-03-15,unknown,0.0,0.0,True
2022-03-16,unknown,0.0,0.0,True
2022-03-17,unknown,0.0,0.0,True
2022-03-18,unknown,0.0,0.0,True
2022-03-21,unknown,0.0,0.0,True
2022-03-22,unknown,0.0,0.0,True
2022-03-23,unknown,0.0,0.0,True
2022-03-24,unknown,0.0,0.0,True
2022-03-25,unknown,0.0,0.0,True
2022-03-28,unknown,0.0,0.0,True
2022-03-29,unknown,0.0,0.0,True
2022-03-30,unknown,0.0,0.0,True
2022-03-31,unknown,0.0,0.0,True
2022-04-01,unknown,0.0,0.0,True
2022-04-04,unknown,0.0,0.0,True
2022-04-05,unknown,0.0,0.0,True
2022-04-06,unknown,0.0,0.0,True
2022-04-07,unknown,0.0,0.0,True
2022-04-08,unknown,0.0,0.0,True
2022-04-11,unknown,0.0,0.0,True
2022-04-12,unknown,0.0,0.0,True
2022-04-13,unknown,0.0,0.0,True
2022-04-14,unknown,0.0,0.0,True
2022-04-18,unknown,0.0,0.0,True
2022-04-19,unknown,0.0,0.0,True
2022-04-20,unknown,0.0,0.0,True
2022-04-21,unknown,0.0,0.0,True
2022-04-22,unknown,0.0,0.0,True
2022-04-25,unknown,0.0,0.0,True
2022-04-26,unknown,0.0,0.0,True
2022-04-27,unknown,0.0,0.0,True
2022-04-28,unknown,0.0,0.0,True
2022-04-29,unknown,0.0,0.0,True
2022-05-02,unknown,0.0,0.0,True
2022-05-03,unknown,0.0,0.0,True
2022-05-04,unknown,0.0,0.0,True
2022-05-05,unknown,0.0,0.0,True
2022-05-06,unknown,0.0,0.0,True
2022-05-09,unknown,0.0,0.0,True
2022-05-10,unknown,0.0,0.0,True
2022-05-11,unknown,0.0,0.0,True
2022-05-12,unknown,0.0,-0.00045,True
2022-05-13,unknown,0.0,0.0,True
2022-05-16,unknown,0.0,0.0,True
2022-05-17,unknown,0.0,0.0,True
2022-05-18,unknown,0.0,-0.00045,True
2022-05-19,unknown,0.0,0.0,True
2022-05-20,unknown,0.0,0.0,True
2022-05-23,unknown,0.0,0.0,True
2022-05-24,unknown,0.0,0.0,True
2022-05-25,unknown,0.0,0.0,True
2022-05-26,unknown,0.0,0.0,True
2022-05-27,unknown,0.0,0.0,True
2022-05-31,unknown,0.0,0.0,True
2022-06-01,unknown,0.0,0.0,True
2022-06-02,unknown,0.0,0.0,True
2022-06-03,unknown,0.0,0.0,True
2022-06-06,unknown,0.0,0.0,True
2022-06-07,unknown,0.0,0.0,True
2022-06-08,unknown,0.0,0.0,True
2022-06-09,unknown,0.0,0.0,True
2022-06-10,unknown,0.0,0.0,True
2022-06-13,unknown,0.0,0.0,True
2022-06-14,unknown,0.0,0.0,True
2022-06-15,unknown,0.0,0.0,True
2022-06-16,unknown,0.0,-0.00045,True
2022-06-17,unknown,0.0,-0.0,True
2022-06-21,unknown,0.0,-0.0,True
2022-06-22,unknown,0.0,-0.0,True
2022-06-23,unknown,0.0,-0.0,True
2022-06-24,unknown,0.0,-0.0,True
2022-06-27,unknown,0.0,-0.0,True
2022-06-28,unknown,0.0,0.02445274926205575,True
2022-06-29,unknown,0.0,0.022828939760492793,True
2022-06-30,unknown,0.0,0.06429795871428405,True
2022-07-01,high,-0.05281942993609068,-0.050118428535753844,True
2022-07-05,high,-0.0562722840932825,-0.06111280375774922,True
2022-07-06,high,0.02272903947177749,0.020792813241203856,True
2022-07-07,high,-0.0882538858629372,-0.09395385389519617,True
2022-07-08,high,-0.0015913865660114046,-0.0021023107211896,True
2022-07-11,high,-0.0308151469529397,-0.019548933881879726,True
2022-07-12,high,-0.007119867603894332,-0.002744540981200992,True
2022-07-13,high,0.05357969000886016,0.04727853353684436,True
2022-07-14,high,-0.01989302684497099,-0.02213198192786827,True
2022-07-15,high,-0.026475081156786963,-0.028220140920296528,True
2022-07-18,high,0.06415148061966261,0.05245710994784726,True
2022-07-19,high,-0.00045,-0.00045,True
2022-07-20,high,0.0,0.0,True
2022-07-21,high,0.0,0.0,True
2022-07-22,high,0.0,-0.0,True
2022-07-25,high,0.0,0.0,True
2022-07-26,high,-0.0,-0.0,True
2022-07-27,high,-0.0,-0.0,True
2022-07-28,high,-0.0,-0.0,True
2022-07-29,high,0.0,0.0,True
2022-08-01,high,-0.0,-0.0,True
2022-08-02,high,0.0,0.0,True
2022-08-03,high,0.0,0.0,True
2022-08-04,high,-0.00021971590514640379,0.0007017818332480393,True
2022-08-05,high,0.009196846200604895,0.007570759634181003,True
2022-08-08,high,-0.0025832076624077716,-0.0038684236749857923,True
2022-08-09,high,-0.0036290441902053078,-0.004385101058864728,True
2022-08-10,high,-0.006594579682217702,-0.005723379235123678,True
2022-08-11,high,-0.0030028183236896523,-0.0029858899923601015,True
2022-08-12,high,-0.022519919166028857,-0.021751647726727052,True
2022-08-15,high,-0.0035967759422020906,-0.004173129557605314,True
2022-08-16,high,0.0049540116156473486,0.0041285928810038,True
2022-08-17,high,0.021264070970588165,0.019679299635379805,True
2022-08-18,high,-0.004331469757101611,-0.004656167518399597,True
2022-08-19,mid,-0.009325379295192171,-0.009325379295192171,True
2022-08-22,high,0.08567785572030101,0.0871951109839653,True
2022-08-23,high,-0.00045,-0.00045,True
2022-08-24,high,0.0,0.0,True
2022-08-25,high,-0.0,-0.0,True
2022-08-26,mid,-0.0,-0.0,True
2022-08-29,mid,-0.0,-0.0,True
2022-08-30,mid,0.0,0.0,True
2022-08-31,mid,-0.0,-0.0,True
2022-09-01,mid,-0.0,-0.0,True
2022-09-02,mid,-0.0,-0.0,True
2022-09-06,mid,0.0,0.0,True
2022-09-07,mid,0.0,0.0,True
2022-09-08,mid,0.0,0.0,True
2022-09-09,mid,-0.0,-0.0,True
2022-09-12,high,-0.0,-0.0,True
2022-09-13,mid,0.0,0.0,True
2022-09-14,mid,-0.0,-0.0,True
2022-09-15,mid,-0.0,-0.0,True
2022-09-16,mid,-0.0,-0.0,True
2022-09-19,mid,0.014780096929714137,0.0,True
2022-09-20,mid,-0.0004326478399642453,-0.0,True
2022-09-21,mid,0.02162578157418521,0.0,True
2022-09-22,mid,-0.00045,-0.0,True
2022-09-23,mid,0.0031519477551246204,0.0,True
2022-09-26,mid,0.05089215666775616,0.0,True
2022-09-27,mid,0.03737111644405844,0.0,True
2022-09-28,mid,-0.00045,0.0,True
2022-09-29,mid,-0.0,-0.0,True
2022-09-30,mid,0.0,0.0,True
2022-10-03,mid,0.0,0.0,True
2022-10-04,mid,0.0,0.0,True
2022-10-05,mid,-0.0,-0.0,True
2022-10-06,mid,0.0,0.0,True
2022-10-07,mid,-0.0,-0.0,True
2022-10-10,mid,0.0,0.0,True
2022-10-11,mid,-0.0,-0.0,True
2022-10-12,mid,0.0,0.0,True
2022-10-13,mid,-0.0,-0.0,True
2022-10-14,mid,-0.0,-0.0,True
2022-10-17,mid,0.0,0.0,True
2022-10-18,mid,0.0,0.0,True
2022-10-19,mid,-0.0,-0.0,True
2022-10-20,mid,-0.0,-0.0,True
2022-10-21,mid,0.0,0.0,True
2022-10-24,mid,0.0,0.0,True
2022-10-25,mid,0.0,0.0,True
2022-10-26,mid,0.031666234023226277,0.031666234023226277,True
2022-10-27,mid,-0.024370150389880732,-0.024370150389880732,True
2022-10-28,mid,-0.01379860779656215,-0.01379860779656215,True
2022-10-31,mid,0.0380640484526304,0.0380640484526304,True
2022-11-01,mid,0.037849941953718665,0.037849941953718665,True
2022-11-02,mid,-0.00045,-0.00045,True
2022-11-03,mid,-0.0,-0.0,True
2022-11-04,mid,0.0,0.0,True
2022-11-07,mid,-0.0,-0.0,True
2022-11-08,mid,-0.0,-0.0,True
2022-11-09,mid,-0.0,-0.0,True
2022-11-10,mid,-0.0,-0.0,True
2022-11-11,mid,0.04048480859073684,0.0,True
