sample,regime,feature,horizon,q1_mean,q4_mean,q4_minus_q1,n
FULL,high,rolling_beta,1d,0.0009587358468709722,0.0018108587677382578,0.0008521229208672856,83
FULL,high,rolling_beta,5d,0.0039043688093845026,0.0029521387984261386,-0.0009522300109583641,83
FULL,high,delta_beta,1d,-0.0032272406360112304,0.0052093136774906176,0.008436554313501848,83
FULL,high,delta_beta,5d,0.005947110373300542,0.002243309498357414,-0.0037038008749431276,83
FULL,high,beta_adjustment,1d,-0.0005232800867818596,0.0013310766635199164,0.001854356750301776,83
FULL,high,beta_adjustment,5d,0.0006777076355465063,0.00028458822318682824,-0.0003931194123596781,83
FULL,high,zscore,1d,-0.0005451877816351037,0.004044674861677659,0.0045898626433127625,83
FULL,high,zscore,5d,0.000801637212974674,0.00654453739368153,0.005742900180706855,83
FULL,high,ou_kappa,1d,0.0020618256499777715,0.0008311312466691587,-0.0012306944033086127,83
FULL,high,ou_kappa,5d,0.007954929154415417,0.00014912237916558466,-0.007805806775249832,83
FULL,mid,rolling_beta,1d,0.001255602983853941,0.001123179475321532,-0.0001324235085324089,56
FULL,mid,rolling_beta,5d,0.015756018795313114,0.010038464231530903,-0.005717554563782212,56
FULL,mid,delta_beta,1d,-0.0004007536088049321,0.00038021425321977325,0.0007809678620247053,56
FULL,mid,delta_beta,5d,0.0045500039887229875,0.010573884989843565,0.006023881001120578,56
FULL,mid,beta_adjustment,1d,-0.0005754464368814643,0.0026572437022059536,0.003232690139087418,56
FULL,mid,beta_adjustment,5d,0.005896896743878672,0.011632420837394993,0.005735524093516321,54
FULL,mid,zscore,1d,0.0019088043433316475,0.003506451346565568,0.0015976470032339207,55
FULL,mid,zscore,5d,0.01939105067016227,0.01983189222579462,0.00044084155563235,55
FULL,mid,ou_kappa,1d,0.00152130359520988,0.001112162215167923,-0.0004091413800419569,56
FULL,mid,ou_kappa,5d,0.015913423297632737,0.012585876891319342,-0.003327546406313395,56
FULL,low,rolling_beta,1d,0.003486310648789853,-0.0008703134085939458,-0.004356624057383799,87
FULL,low,rolling_beta,5d,0.011161136019681097,-0.002267823668679815,-0.013428959688360912,87
FULL,low,delta_beta,1d,0.00030763999187065734,0.0009720479990318507,0.0006644080071611933,87
FULL,low,delta_beta,5d,-0.0006923293563280413,0.004197785555110567,0.004890114911438608,87
FULL,low,beta_adjustment,1d,-0.0018215135675124158,0.0010982717989324012,0.002919785366444817,87
FULL,low,beta_adjustment,5d,0.0009511414645031756,-0.003807397580568882,-0.004758539045072058,87
FULL,low,zscore,1d,0.0034828408529815748,-0.0023996698788582038,-0.0058825107318397785,87
FULL,low,zscore,5d,0.017231034969461823,-0.008296965297726956,-0.02552800026718878,87
FULL,low,ou_kappa,1d,0.0022821866353061287,-0.001249169890826846,-0.0035313565261329747,87
FULL,low,ou_kappa,5d,0.006259860204798119,-0.010881966982654995,-0.017141827187453114,87
OOS_2024+,high,rolling_beta,1d,0.0011044041180706889,0.0012029138816665068,9.850976359581797e-05,55
OOS_2024+,high,rolling_beta,5d,0.007125139787758725,0.0057359380371633534,-0.001389201750595372,55
OOS_2024+,high,delta_beta,1d,-0.003098886145601909,0.0017549100157714084,0.004853796161373317,55
OOS_2024+,high,delta_beta,5d,0.0017883127398940185,-0.004030150521782024,-0.005818463261676043,55
OOS_2024+,high,beta_adjustment,1d,0.0013506597401574908,-0.002091859350749862,-0.0034425190909073526,55
OOS_2024+,high,beta_adjustment,5d,0.000916317443712891,-0.0007600727093040312,-0.0016763901530169223,55
OOS_2024+,high,zscore,1d,-0.0013202695362683871,0.002766965590495064,0.004087235126763451,55
OOS_2024+,high,zscore,5d,0.0023681812283428303,-0.007228751747010553,-0.009596932975353384,55
OOS_2024+,high,ou_kappa,1d,0.003008151172328996,0.0012542526086098214,-0.0017538985637191745,55
