regime,corr_mstr_btc_return,corr_zscore_fwd5d,r2_z_to_fwd5d,bars
high,0.7195126474556433,-0.0252082864744615,0.0006354577069785187,218
mid,0.7828172928508564,0.3863048022266757,0.14923140022339101,142
low,0.732260605307569,-0.436869856867378,0.19085527183932335,196
