date,vol_regime,ret_baseline,ret_best_variant,ret_hybrid
2022-06-17,unknown,-0.0329922952715936,0.0,-0.0329922952715936
2022-06-21,unknown,-0.0523827953590683,0.0,-0.0523827953590683
2022-06-22,unknown,-0.0011512529630243,0.0,-0.0011512529630243
2022-06-23,unknown,-0.0292368942994,0.0,-0.0292368942994
2022-06-24,unknown,-0.0817962757838453,0.0,-0.0817962757838453
2022-06-27,unknown,0.0112613787984601,-0.0,0.0112613787984601
2022-06-28,unknown,0.0246874123448068,-0.0,0.0246874123448068
2022-06-29,unknown,0.022917039592596,-0.0,0.022917039592596
2022-06-30,unknown,0.0642563781120088,-0.0,0.0642563781120088
2022-07-01,unknown,-0.0501932084880558,0.0,-0.0501932084880558
2022-07-05,unknown,-0.0610207680231999,0.0,-0.0610207680231999
2022-07-06,unknown,0.020862795054665,-0.0,0.020862795054665
2022-07-07,unknown,-0.0940859751486764,0.0,-0.0940859751486764
2022-07-08,unknown,-0.0020973668764773,0.0,-0.0020973668764773
2022-07-11,unknown,-0.0220356546737688,0.0,-0.0220356546737688
2022-07-12,unknown,-0.0036577080111455,0.0,-0.0036577080111455
2022-07-13,unknown,0.0486681102429724,-0.0,0.0486681102429724
2022-07-14,unknown,-0.0217337313414787,0.0,-0.0217337313414787
2022-07-15,unknown,-0.0276550117426896,0.0,-0.0276550117426896
2022-07-18,unknown,0.0566170314680484,-0.0,0.0566170314680484
2022-07-19,unknown,0.0,0.0,0.0
2022-07-20,unknown,0.0,0.0,0.0
2022-07-21,unknown,0.0,0.0,0.0
2022-07-22,unknown,0.0,0.0,0.0
2022-07-25,unknown,0.0,0.0,0.0
2022-07-26,unknown,-0.0,-0.0,-0.0
2022-07-27,unknown,-0.0,-0.0,-0.0
2022-07-28,unknown,-0.0,-0.0,-0.0
2022-07-29,unknown,0.0,0.0,0.0
2022-08-01,unknown,-0.0,-0.0,-0.0
2022-08-02,unknown,0.0,0.0,0.0
2022-08-03,unknown,-0.00045,0.0,-0.00045
2022-08-04,unknown,0.000379686852468,-0.0,0.000379686852468
2022-08-05,unknown,0.0100757016251026,-0.0,0.0100757016251026
2022-08-08,unknown,-0.0017910802771828,0.0,-0.0017910802771828
2022-08-09,unknown,-0.006870617930151,0.0,-0.006870617930151
