sample,regime,bars,baseline_ret,baseline_sharpe,baseline_mdd,variant_ret,variant_sharpe,variant_mdd,hybrid_ret,hybrid_sharpe,hybrid_mdd,hybrid_minus_baseline_ret,hybrid_minus_baseline_sharpe,hybrid_minus_variant_ret,hybrid_minus_variant_sharpe
FULL,ALL,1056,0.17821212106393425,0.3508880243866312,-0.45705077574675623,0.43224250238202777,0.5010990703983055,-0.4683067884744506,0.30006229637490955,0.42343927866370445,-0.45705077574675623,0.1218501753109753,0.07255125427707326,-0.13218020600711822,-0.07765979173460102
FULL,high,331,0.187657801066752,0.60885888585368,-0.44542894982873804,0.2127883758170157,0.6478297937552945,-0.44542894982873793,0.187657801066752,0.60885888585368,-0.44542894982873804,0.0,0.0,-0.0251305747502637,-0.038970907901614504
FULL,low,348,0.22412699055588337,0.7730538463779485,-0.2149812227807647,0.3507256613176799,1.0640143336692693,-0.20458755762227,0.3507256613176799,1.0640143336692693,-0.20458755762227,0.12659867076179654,0.29096048729132085,0.0,0.0
FULL,mid,222,0.006959216264120549,0.2231299036403425,-0.20489319698303254,-0.12569214348533597,-0.3650694642520735,-0.2677974408215543,0.006959216264120549,0.2231299036403425,-0.20489319698303254,0.0,0.0,0.13265135974945652,0.588199367892416
FULL,unknown,155,-0.19518918146861042,-0.856380096974294,-0.3650214557117616,0.0,,0.0,-0.19518918146861042,-0.856380096974294,-0.3650214557117616,0.0,0.0,-0.19518918146861042,-0.856380096974294
IS_PRE_2024,ALL,500,0.41123419669388506,0.8062673268298166,-0.36826803557485,0.53858116740202,1.1529431606394445,-0.22309155440246375,0.41123419669388506,0.8062673268298166,-0.36826803557485,0.0,0.0,-0.12734697070813494,-0.34667583380962785
IS_PRE_2024,high,113,0.29410976605502404,2.4192199529484766,-0.13924133781164216,0.195807128333656,1.8907734748728315,-0.13924133781164227,0.29410976605502404,2.4192199529484766,-0.13924133781164216,0.0,0.0,0.09830263772136805,0.528446478075645
IS_PRE_2024,low,152,0.22219835544759947,1.5469497970544899,-0.14870822918751225,0.22219835544759947,1.5469497970544899,-0.14870822918751225,0.22219835544759947,1.5469497970544899,-0.14870822918751225,0.0,0.0,0.0,0.0
IS_PRE_2024,mid,80,0.10864493270662767,1.2073299301315668,-0.14961264333296087,0.05273140577934776,0.7254811420704473,-0.25105373357847927,0.10864493270662767,1.2073299301315668,-0.14961264333296087,0.0,0.0,0.05591352692727991,0.4818487880611194
IS_PRE_2024,unknown,155,-0.19518918146861042,-0.856380096974294,-0.3650214557117616,0.0,,0.0,-0.19518918146861042,-0.856380096974294,-0.3650214557117616,0.0,0.0,-0.19518918146861042,-0.856380096974294
IS_SPLIT_DATE,ALL,844,0.32214134293342656,0.48597675393944606,-0.45705077574675623,0.4345078141024685,0.567605597785697,-0.4683067884744506,0.32214134293342656,0.48597675393944606,-0.45705077574675623,0.0,0.0,-0.11236647116904197,-0.08162884384625091
IS_SPLIT_DATE,high,318,0.3942256110829143,0.928781101221025,-0.44542894982873804,0.4237271147202253,0.9741858780011204,-0.44542894982873793,0.3942256110829143,0.928781101221025,-0.44542894982873804,0.0,0.0,-0.029501503637310966,-0.04540477678009547
IS_SPLIT_DATE,low,189,0.15952705240713416,0.9165731577263393,-0.20458755762227,0.15952705240713416,0.9165731577263393,-0.20458755762227,0.15952705240713416,0.9165731577263393,-0.20458755762227,0.0,0.0,0.0,0.0
IS_SPLIT_DATE,mid,182,0.016178819124104127,0.284917942024441,-0.19625274960679318,-0.13104902137202767,-0.4546958818582864,-0.25852164122327514,0.016178819124104127,0.284917942024441,-0.19625274960679318,0.0,0.0,0.1472278404961318,0.7396138238827275
