sample,baseline_ret,baseline_sharpe,baseline_mdd,baseline_active,kalman_ret,kalman_sharpe,kalman_mdd,kalman_active,kalman_stable_ret,kalman_stable_sharpe,kalman_stable_mdd,kalman_stable_active,delta_kalman_vs_base_ret,delta_kalman_vs_base_sharpe,delta_stable_vs_base_ret,delta_stable_vs_base_sharpe
FULL,0.17821212106393336,0.3508880243866306,-0.4570507757467569,0.3446969696969697,0.01454644201618871,0.24648528135118894,-0.43704499198048175,0.35132575757575757,0.6494516760618971,0.7230785517014531,-0.24593553367409826,0.16761363636363635,-0.16366567904774465,-0.10440274303544164,0.47123955499796377,0.3721905273148225
IS_PRE_2024,0.4112341966938857,0.806267326829816,-0.3682680355748499,0.312,0.1727342935303997,0.482603631203922,-0.3864230931151452,0.326,0.43639243943540085,0.989750450744442,-0.20002597191066251,0.204,-0.23849990316348602,-0.3236636956258939,0.025158242741515124,0.18348312391462607
IS_SPLIT_DATE,0.32214134293342456,0.4859767539394451,-0.4570507757467569,0.3187203791469194,0.119429954007098,0.346427583908966,-0.43704499198048175,0.32701421800947866,0.7992400143933822,0.9459051898395427,-0.24593553367409826,0.17890995260663506,-0.20271138892632656,-0.13954917003047912,0.47709867145995766,0.45992843590009763
OOS_2024_PLUS,-0.16511935168227565,0.017450304348729264,-0.44542894982873826,0.37410071942446044,-0.13488805809370719,0.06207981608349518,-0.42942562456682143,0.37410071942446044,0.14832940551416596,0.45827374852274866,-0.24593553367409804,0.13489208633093525,0.030231293588568464,0.04462951173476591,0.3134487571964416,0.4408234441740194
OOS_SPLIT_DATE,-0.10886069226922213,-0.44887417957199316,-0.17967083495916747,0.4481132075471698,-0.09369368008732537,-0.3568603748092095,-0.1844104863592726,0.4481132075471698,-0.08325089322893153,-0.6769206222986661,-0.16752693869474278,0.12264150943396226,0.015167012181896755,0.09201380476278365,0.025609799040290593,-0.22804644272667296
RECENT_2026,-0.11258572898261576,-1.8042052850371852,-0.17598565771553165,0.48148148148148145,-0.12176905475777677,-2.0456377756869712,-0.17990882785187512,0.48148148148148145,-0.14500905636373762,-3.0354804552106947,-0.167526938694743,0.35185185185185186,-0.009183325775161011,-0.241432490649786,-0.03242332738112186,-1.2312751701735094
