beta_window,z_entry,z_exit,rows_aligned,split_ratio,split_date,returns_corr,price_beta_static,full_return,full_sharpe,full_mdd,is_return,is_sharpe,is_mdd,oos_return,oos_sharpe,oos_mdd
40,1.5,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.4773789342039384,-0.04695415364638989,-0.6526684593424233,0.04444568337818411,0.3615320250627487,-0.6526684593424233,-0.4996187220519863,-1.154294040551567,-0.5605387030310365
40,1.5,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.31449640288365466,0.07286729386190761,-0.6767038958410192,0.03984393472926162,0.340324141782071,-0.6767038958410192,-0.34076299892557893,-0.614350361821074,-0.4296315335348896
40,1.5,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.20295039029800055,0.38346209153510563,-0.49421534035392956,0.4945610314006592,0.630636066821895,-0.49421534035392956,-0.19511457543448107,-0.3129843976853262,-0.32514163039901967
40,1.5,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.24664988627742068,0.4016555801444002,-0.45813927713248015,0.24670084175985352,0.46874141690153703,-0.45813927713248015,-4.087226119220411e-05,0.21094904886952034,-0.32103972090504707
40,1.75,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.2944283527936826,0.1058296876383945,-0.5979891849483352,0.13505900055865006,0.41929605390797986,-0.5979891849483352,-0.37838328504593033,-0.8194208701257875,-0.5219844978261374
40,1.75,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.10784332438909361,0.21369554078864844,-0.6295697223517074,0.021233174782106623,0.31744765627315785,-0.6295697223517074,-0.12639277919926617,-0.08709176843934079,-0.33819527573035046
40,1.75,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.041378046036607774,0.2740627359370856,-0.441240508925839,0.12048476194105318,0.3672792666530957,-0.441240508925839,-0.0706004388381023,0.0032760548800031463,-0.24582098173275313
40,1.75,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.06023658481916705,0.280231047936023,-0.43943882745012286,-0.0204902493577801,0.2366833863593993,-0.43943882745012286,0.08241554933375328,0.4270480319524289,-0.21576503385347445
40,2.0,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.09819052386563043,0.340897254568971,-0.5630567995191512,0.4205599128887736,0.587475663264338,-0.5630567995191512,-0.22693121641563807,-0.3620862212035527,-0.43293849054629974
40,2.0,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.2956625982186454,0.4315255396797994,-0.5630567995191512,0.27571765125765135,0.49195787640550953,-0.5630567995191512,0.01563429567767649,0.26671931091493606,-0.2606361106525422
40,2.0,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.3593423934482636,0.45712970420901505,-0.4074068693652245,0.37597236175368764,0.560997245127701,-0.4074068693652245,-0.012085975538222882,0.16216470858042847,-0.2500163734857246
40,2.0,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.3359145334566256,0.44383380159003083,-0.42155936076787937,0.24550217658266127,0.462121566642618,-0.42155936076787937,0.07259108701201344,0.40435772196020714,-0.21487648746767918
40,2.25,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.1942931527748455,0.37484189061280015,-0.5313353632879172,0.7637603668772197,0.7733693505199656,-0.5313353632879172,-0.3228710797661415,-1.0409254314760472,-0.3988950453156843
40,2.25,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.6529825383433912,0.6004205319147707,-0.5313353632879172,0.9992113984388771,0.9124866473201287,-0.5313353632879172,-0.17318271612789238,-0.5025521359105686,-0.24229648071129994
40,2.25,0.75,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.7866589142297198,0.6871151551636681,-0.3456402211390548,1.212972060575943,1.0768737543364175,-0.3456402211390548,-0.1926428055468864,-0.7601157195279792,-0.24359292882299788
40,2.25,1.0,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,0.6543411253281959,0.6264282753914067,-0.345640221139055,0.9107551580236168,0.9239123022926404,-0.345640221139055,-0.1341951278365986,-0.5117913347605391,-0.19519874537119908
60,1.5,0.25,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.45429601625706373,-0.028142978781926186,-0.6370989417198616,0.0921179175450757,0.39221318446446923,-0.6370989417198616,-0.5003250336102896,-1.1596488966079495,-0.533470976769586
60,1.5,0.5,1057,0.7,2024-12-11,0.7481629777577157,1.7060760611127368,-0.38006868255663906,0.006713496713929262,-0.6547799391314313,-0.04112208787207361,0.27159663002354495,-0.6547799391314313,-0.35348253453078426,-0.6700221467363368,-0.4095812065772153
