sample,regime,n,corr_fwd_1d,corr_fwd_5d,corr_fwd_10d,q4_minus_q1_1d,q4_minus_q1_5d,q4_minus_q1_10d,verdict
FULL,high,330,-0.036594048614205794,-0.08167641297982503,-0.0889978469759824,-0.0012306944033086127,-0.007805806775249832,-0.007834401077677182,not_supported
FULL,mid,222,-0.04530317466004314,-0.1010365481422185,-0.0958977052231145,-0.0004091413800419569,-0.003327546406313395,-0.0030162766800343258,not_supported
FULL,low,348,-0.05555585809059475,-0.12091738844593994,-0.13958820321745993,-0.0035313565261329747,-0.017141827187453114,-0.021913816678394753,not_supported
OOS_2024+,high,218,-0.018777859889428723,-0.07501792546083824,-0.0678209593777561,-0.0017538985637191745,0.000818953285562724,-0.008876807067298135,not_supported
OOS_2024+,mid,142,-0.10336635617185336,-0.18080035827241386,-0.22608291809023834,-0.0018976266258168577,-0.0048373509390951175,-0.005856451158019859,not_supported
OOS_2024+,low,196,-0.0018223528917005955,-0.0343310229536387,-0.04567067288310334,0.0006491945196247737,-0.00652809306176336,-0.020038519273365377,not_supported
