sample,regime,corr_betaAdj_vs_zReversion,corr_absDeltaBeta_vs_zReversion,corr_betaAdj_vs_fwdRet1d,n
FULL,high,-0.12654094680053204,-0.026457710186405085,-0.007576643103441426,331
FULL,mid,-0.05984330210898069,0.04917513130115195,-0.04219185810040863,221
FULL,low,0.0268379773008561,-0.021745219673405865,0.15306449649408035,348
OOS_2024+,high,-0.12810506223705512,-0.006500007769367675,-0.022359297101695732,218
OOS_2024+,mid,-0.07709589268152568,0.04339972848539337,0.016683862777628625,141
OOS_2024+,low,-0.05307662945061152,-0.03853644332239006,0.19465256352061322,196
