ou_regime,vol_regime,count,avg_ret,total_ret,hit_rate
fast,low,58,0.00045776972101446375,0.026550643818838898,0.10344827586206896
fast,mid,24,0.0013702742792290918,0.032886582701498204,0.5
fast,high,73,0.0017710628992291726,0.1292875916437296,0.2328767123287671
medium,low,20,-0.0018692244416628,-0.037384488833256,0.1
medium,mid,143,0.0007763525026421025,0.11101840787782066,0.1258741258741259
medium,high,73,0.0005755674377043008,0.04201642295241396,0.1506849315068493
slow,low,8,0.0,0.0,0.0
slow,mid,7,-0.0009030562775465572,-0.0063213939428259005,0.2857142857142857
slow,high,0,,0.0,
