fold,train_end_date,oos_start_date,oos_end_date,train_bars,oos_bars,inner_fold_count,nested_bw,nested_ze,nested_zx,nested_inner_score,nested_inner_mean_sharpe,nested_inner_sharpe_std,nested_inner_nonneg,naive_bw,naive_ze,naive_zx,naive_is_sharpe,global_oos_return,global_oos_sharpe,global_oos_mdd,naive_oos_return,naive_oos_sharpe,naive_oos_mdd,map_oos_return,map_oos_sharpe,map_oos_mdd,map_regs_using_global
1,2023-12-14,2024-01-02,2024-04-01,490,62,7,60,2.25,0.5,3.1733843673222712,3.9646249902538373,0.9254017120674183,1.0,120,2.25,0.75,1.9014294952382695,-0.22533544731963762,-1.4508862690776823,-0.35036292772975,-0.2204877328572744,-1.4077125293946504,-0.35975633035042,-0.22533544731963762,-1.4508862690776823,-0.35036292772975,3
2,2024-03-15,2024-04-02,2024-07-01,552,63,8,120,2.25,0.5,1.6955389160780323,3.2706087710591065,1.8882381369387455,0.875,120,2.25,0.75,1.069391831946185,0.23896463775125687,2.868017391946665,-0.07841978904759006,0.15857652477794915,2.5208024760695658,-0.07841978904759017,0.23896463775125687,2.868017391946665,-0.07841978904759006,3
3,2024-06-14,2024-07-02,2024-10-01,615,64,10,120,2.25,0.5,0.8697606970625423,2.664287898107922,2.1129532379669453,0.8,120,2.25,0.75,1.0203218589784497,0.04285137636232772,1.3043636107493009,-0.034141089392437096,0.03605673008102106,1.3462050635664347,-0.025288762156384204,0.04285137636232772,1.3043636107493009,-0.034141089392437096,3
4,2024-09-17,2024-10-02,2024-12-31,679,63,11,120,2.25,0.5,0.9471595611285282,2.649667062867483,2.0051098983112894,0.8181818181818182,120,2.25,0.75,1.111865363999455,0.06721864526005539,0.8541982258409608,-0.2230918137681872,0.11722966357146114,1.2308575323556985,-0.2230918137681872,0.06721864526005539,0.8541982258409608,-0.2230918137681872,3
5,2024-12-16,2025-01-02,2025-04-01,742,61,13,60,2.25,0.5,0.22484849011875968,2.341329461650691,2.5084851006775457,0.7692307692307693,120,2.25,0.75,1.1406584018480181,-0.021991899433113637,-0.4267130341396011,-0.10630691398995074,0.01619563676198066,0.5165625356278304,-0.11136780007312619,-0.021991899433113637,-0.4267130341396011,-0.10630691398995074,3
6,2025-03-18,2025-04-02,2025-07-01,803,62,14,60,2.25,0.5,0.23268369661803784,2.341329461650691,2.5084851006775457,0.7857142857142857,120,2.25,0.75,1.127098937632137,0.06984666549489282,1.2113063413072418,-0.06703080040786225,0.021699644861854495,0.7017913818729253,-0.07040982606026236,0.06984666549489282,1.2113063413072418,-0.06703080040786225,3
7,2025-06-16,2025-07-02,2025-10-01,865,64,16,60,2.25,0.5,0.13181587418242693,2.1450435765279434,2.3878245683857853,0.8125,120,2.25,0.75,1.0809252443185517,-0.1302138058687855,-2.4194545164119834,-0.17954544456639543,-0.10253883733472136,-1.7810582946008495,-0.16243183708097886,-0.1302138058687855,-2.4194545164119834,-0.17954544456639543,3
8,2025-09-17,2025-10-02,2025-12-31,929,63,17,90,2.25,0.5,-0.4566417985912382,1.7447270435555715,2.614708650383569,0.7647058823529411,120,2.25,0.75,0.9186487453753374,0.03446478094712502,0.938222832703591,-0.06290778108738126,-0.0019799973315002273,0.049425127088117166,-0.08254266014295708,0.03446478094712502,0.938222832703591,-0.06290778108738126,3
9,2025-12-16,2026-01-02,2026-03-20,992,54,19,90,2.25,0.5,-0.4005572879915863,1.685026291664928,2.4769204126942412,0.7894736842105263,120,2.25,0.75,0.8821628746943786,-0.11995907987296894,-1.6248157132084735,-0.19403359974939427,-0.12125580982988815,-1.9202510788053022,-0.17067758867149407,-0.11995907987296894,-1.6248157132084735,-0.19403359974939427,3
