vol_regime,bars,mean_ret,hit_rate,total_return,sharpe_365,max_drawdown
high,331,0.0013505937030748817,0.12386706948640483,0.39270860050715073,0.9584842102083646,-0.3597563303504202
mid,222,0.0004763389753754374,0.07207207207207207,0.07619152935350226,0.5300249522799977,-0.176253299411692
low,348,0.0009336614299500944,0.15229885057471265,0.32566527084977626,1.1283118234515404,-0.2654174596757092
