sample,regime,kappa_sd,kappa_mean,ret,sharpe,mdd,n
FULL,high,0.037133913723726576,0.06648537169694628,0.019078280743048737,0.36195339523004594,-0.391920373224802,232
FULL,mid,0.04986600765688738,0.06716072524144653,0.2279888268815793,0.7494172302650263,-0.2659031930256892,318
FULL,low,0.03514695877688341,0.051109041711578165,-0.06720536375883301,-0.020979219694302543,-0.2819608788248772,376
OOS,high,,,,,,0
OOS,mid,0.028435583896070125,0.036022940966088775,-0.19315138238721374,-3.1147598723572676,-0.1691682463221854,54
OOS,low,0.04143091770187854,0.04944462787074077,0.10387107129353268,0.9656427953190877,-0.11253030481391402,158
