date,vol_regime,ret_roll40,ret_mlbeta,beta_roll40,beta_ml
2022-01-04,unknown,0.0,0.0,,
2022-01-05,unknown,0.0,0.0,,
2022-01-06,unknown,0.0,0.0,,
2022-01-07,unknown,0.0,0.0,,
2022-01-10,unknown,0.0,0.0,,
2022-01-11,unknown,0.0,0.0,,
2022-01-12,unknown,0.0,0.0,,
2022-01-13,unknown,0.0,0.0,,
2022-01-14,unknown,0.0,0.0,,
2022-01-18,unknown,0.0,0.0,,
2022-01-19,unknown,0.0,0.0,,
2022-01-20,unknown,0.0,0.0,,
2022-01-21,unknown,0.0,0.0,,
2022-01-24,unknown,0.0,0.0,,
2022-01-25,unknown,0.0,0.0,,
2022-01-26,unknown,0.0,0.0,,
2022-01-27,unknown,0.0,0.0,,
2022-01-28,unknown,0.0,0.0,,
2022-01-31,unknown,0.0,0.0,,
2022-02-01,unknown,0.0,0.0,,
2022-02-02,unknown,0.0,0.0,,
2022-02-03,unknown,0.0,0.0,,
2022-02-04,unknown,0.0,0.0,,
2022-02-07,unknown,0.0,0.0,,
2022-02-08,unknown,0.0,0.0,,
2022-02-09,unknown,0.0,0.0,,
2022-02-10,unknown,0.0,0.0,,
2022-02-11,unknown,0.0,0.0,,
2022-02-14,unknown,0.0,0.0,,
2022-02-15,unknown,0.0,0.0,,
2022-02-16,unknown,0.0,0.0,,
2022-02-17,unknown,0.0,0.0,,
2022-02-18,unknown,0.0,0.0,,
2022-02-22,unknown,0.0,0.0,,
2022-02-23,unknown,0.0,0.0,,
2022-02-24,unknown,0.0,0.0,,
2022-02-25,unknown,0.0,0.0,,
2022-02-28,unknown,0.0,0.0,,
2022-03-01,unknown,0.0,0.0,,
2022-03-02,unknown,0.0,0.0,,
2022-03-03,unknown,-0.0,-0.0,1.30227542229296,1.30227542229296
2022-03-04,unknown,0.0,0.0,1.3135990551168444,1.3135990551168444
2022-03-07,unknown,-0.0,-0.0,1.237966530469572,1.237966530469572
2022-03-08,unknown,0.0,0.0,1.2434375101015491,1.2434375101015491
2022-03-09,unknown,-0.0,-0.0,1.2618479281395587,1.2618479281395587
2022-03-10,unknown,0.0,0.0,1.2174324988197556,1.2174324988197556
2022-03-11,unknown,-0.0,-0.0,1.1789476183058214,1.1789476183058214
2022-03-14,unknown,-0.0,-0.0,1.1947855812058552,1.1947855812058552
2022-03-15,unknown,0.0,0.0,1.1672847719012387,1.1672847719012387
2022-03-16,unknown,0.0,0.0,1.157759717320957,1.157759717320957
2022-03-17,unknown,0.0,0.0,1.1672526888190988,1.1672526888190988
2022-03-18,unknown,0.0,0.0,1.1662451450088909,1.1662451450088909
2022-03-21,unknown,-0.0,-0.0,1.1799382318365441,1.1799382318365441
2022-03-22,unknown,0.0,0.0,1.0956155818274165,1.0956155818274165
2022-03-23,unknown,-0.0,-0.0,1.103224920585446,1.103224920585446
2022-03-24,unknown,0.0,0.0,1.1002840809880214,1.1002840809880214
2022-03-25,unknown,-0.0,-0.0,1.1096007259042373,1.1096007259042373
2022-03-28,unknown,0.0,0.0,1.1116482057322525,1.1116482057322525
2022-03-29,unknown,0.0,0.0,1.1095077200289527,1.1095077200289527
2022-03-30,unknown,-0.0,-0.0,1.0990344656133295,1.0990344656133295
2022-03-31,unknown,0.0,0.0,1.1052714978986666,1.1052714978986666
2022-04-01,unknown,-0.0,-0.0,1.090563686781362,1.090563686781362
2022-04-04,unknown,0.0,0.0,1.0884936171044508,1.0884936171044508
2022-04-05,unknown,-0.0,-0.0,1.0485350121416295,1.0485350121416295
2022-04-06,unknown,-0.0,-0.0,1.0588467062246225,1.0588467062246225
2022-04-07,unknown,0.0,0.0,1.070324317107645,1.070324317107645
2022-04-08,unknown,0.0,0.0,1.067880411715665,1.067880411715665
2022-04-11,unknown,0.0,0.0,1.0600814551961069,1.0600814551961069
2022-04-12,unknown,0.0,0.0,1.020134918178689,1.020134918178689
2022-04-13,unknown,0.0,0.0,1.020245904732244,1.020245904732244
