sample,regime,feature,target,corr,n
OOS_2024+,mid,beta_adjustment,fwd_ret_5d,-0.048143474057878256,137
OOS_2024+,mid,beta_adjustment,fwd_ret_10d,0.051575802276687656,134
OOS_2024+,mid,beta_adjustment,z_reversion_1d,-0.07709589268152568,141
OOS_2024+,mid,zscore,fwd_ret_1d,0.1723939123514597,141
OOS_2024+,mid,zscore,fwd_ret_5d,0.3863048022266757,137
OOS_2024+,mid,zscore,fwd_ret_10d,0.2707594927947127,134
OOS_2024+,mid,zscore,z_reversion_1d,-0.018065463782835543,141
OOS_2024+,mid,ou_kappa,fwd_ret_1d,-0.1033696400672872,141
OOS_2024+,mid,ou_kappa,fwd_ret_5d,-0.18080181297956668,137
OOS_2024+,mid,ou_kappa,fwd_ret_10d,-0.22609464741169852,134
OOS_2024+,mid,ou_kappa,z_reversion_1d,-0.05573809471420748,141
OOS_2024+,low,rolling_beta,fwd_ret_1d,-0.016402434462157202,196
OOS_2024+,low,rolling_beta,fwd_ret_5d,0.007522312856145073,196
OOS_2024+,low,rolling_beta,fwd_ret_10d,0.014186010722681854,196
OOS_2024+,low,rolling_beta,z_reversion_1d,0.03089270059290372,196
OOS_2024+,low,delta_beta,fwd_ret_1d,-0.0298959947865328,196
OOS_2024+,low,delta_beta,fwd_ret_5d,-0.04089772878505573,196
OOS_2024+,low,delta_beta,fwd_ret_10d,-0.05999522067988943,196
OOS_2024+,low,delta_beta,z_reversion_1d,-0.08830528097169894,196
OOS_2024+,low,beta_adjustment,fwd_ret_1d,0.19465256352061322,196
OOS_2024+,low,beta_adjustment,fwd_ret_5d,0.1012376978410169,196
OOS_2024+,low,beta_adjustment,fwd_ret_10d,0.11444860530335513,196
OOS_2024+,low,beta_adjustment,z_reversion_1d,-0.05307662945061152,196
OOS_2024+,low,zscore,fwd_ret_1d,-0.2952291866055483,196
OOS_2024+,low,zscore,fwd_ret_5d,-0.436869856867378,196
OOS_2024+,low,zscore,fwd_ret_10d,-0.4264922676283073,196
OOS_2024+,low,zscore,z_reversion_1d,-0.23311722055604106,196
OOS_2024+,low,ou_kappa,fwd_ret_1d,-0.0018200757874151906,196
OOS_2024+,low,ou_kappa,fwd_ret_5d,-0.034327791557433714,196
OOS_2024+,low,ou_kappa,fwd_ret_10d,-0.04566719896539733,196
OOS_2024+,low,ou_kappa,z_reversion_1d,-0.007074373712733699,196
