sample,baseline_ret,baseline_sharpe,baseline_mdd,baseline_active,low_only_ret,low_only_sharpe,low_only_mdd,low_only_active,delta_ret,delta_sharpe
FULL,0.17821212106393336,0.3508880243866306,-0.4570507757467569,0.3446969696969697,0.20787202631175483,0.3982030698660846,-0.281817054169771,0.13920454545454544,0.029659905247821472,0.04731504547945403
IS_PRE_2024,0.4112341966938857,0.806267326829816,-0.3682680355748499,0.312,0.4299383904177878,1.3103182177575503,-0.1487082291875127,0.126,0.018704193723902085,0.5040508909277344
IS_SPLIT_DATE,0.32214134293342456,0.4859767539394451,-0.4570507757467569,0.3187203791469194,0.1973790827389672,0.46763528144235267,-0.281817054169771,0.0947867298578199,-0.12476226019445735,-0.018341472497092448
OOS_2024_PLUS,-0.16511935168227565,0.017450304348729264,-0.44542894982873826,0.37410071942446044,-0.155297854504872,-0.33517591671623886,-0.28181705416977076,0.1510791366906475,0.00982149717740366,-0.3526262210649681
OOS_SPLIT_DATE,-0.10886069226922213,-0.44887417957199316,-0.17967083495916747,0.4481132075471698,0.008763259458972605,0.19599546177050942,-0.12091567199092923,0.3160377358490566,0.11762395172819473,0.6448696413425026
