sample,regime,corr_z_fwd_1d,corr_z_fwd_5d,corr_beta_fwd_5d,corr_ou_fwd_5d,n
FULL,high,0.10343257930640974,0.030335102501788065,-0.04776419934040403,-0.08168832711053536,331
FULL,mid,0.06734308031569182,0.01374718318896765,-0.05132165718729963,-0.10104147617529526,222
FULL,low,-0.1707506844827745,-0.29537436489125063,-0.1160193203403592,-0.12091421211629466,348
OOS_2024_PLUS,high,0.11132002234504537,-0.025208286474461522,-0.06480044313993416,-0.07503506712185722,218
OOS_2024_PLUS,mid,0.1723939123514597,0.3863048022266757,0.0012010222738110625,-0.18080181297956668,142
OOS_2024_PLUS,low,-0.2952291866055483,-0.436869856867378,0.007522312856145073,-0.034327791557433714,196
