date,vol_regime,rolling_beta,ou_kappa,ou_half_life,ou_b,hedged_ret
2024-02-12,high,1.0644980106399797,0.03017594908694263,22.97018657351445,0.9702747995636376,0.046694270038579455
2024-02-13,high,1.1247164969825703,0.03023103171798594,22.928333608527083,0.9702213557467692,-0.03904332358848469
2024-02-14,high,1.1338585166358006,0.03063147083737212,22.628596068402523,0.9698329189393013,0.07473165034214671
2024-02-15,high,1.2130353175293314,0.03318563595638395,20.886963910257805,0.9673589663131849,-0.07000520974677338
2024-02-16,high,1.2254058746315215,0.031097100322137344,22.28976892956508,0.969381441255765,-0.030911909846373986
2024-02-20,high,1.2299130893342118,0.031132211195889346,22.264630552534204,0.9693474060238704,0.004808020130950429
2024-02-21,high,1.2576296367940292,0.032213090030218335,21.51756257812338,0.9683002249694579,-0.034926224247413935
2024-02-22,high,1.270599704653912,0.03060125796222648,22.650937468503777,0.9698622208228382,0.07306693662760898
2024-02-23,high,1.2430230413829146,0.042962725872916656,16.133687201558583,0.957947096043369,-0.022168027697452217
2024-02-26,high,1.272070860381405,0.04269352988972714,16.23541511676994,0.9582050062663725,0.0635742980055136
2024-02-27,high,1.3518487718335384,0.04554263105855385,15.219743884993616,0.9554788686280996,0.031018855799305023
2024-02-28,high,1.3996922480081375,0.04894671542700941,14.161260352466021,0.9522318676151726,-0.02832645951123347
2024-02-29,high,1.3364233819781486,0.04488997502065638,15.441023975642437,0.9561026712229153,0.09012673289018175
2024-03-01,high,1.282498577165312,0.058111897985153024,11.927801441574616,0.9435443608165658,0.029254200067147025
2024-03-04,high,1.2619233831580048,0.06360227296517179,10.89815109185655,0.9383781436776856,0.11686016092767212
2024-03-05,high,1.4590508144621739,0.06429643528812427,10.780491600410256,0.937726982957429,-0.11543059907056703
2024-03-06,high,1.6190058026794767,0.06104068306611691,11.355495150818594,0.9407849649805149,0.12721959629453417
2024-03-07,high,1.8481376725946772,0.06918055803489666,10.019392734737727,0.9331581756598015,0.02029119038553977
2024-03-08,high,1.8452007321424777,0.06917862545950758,10.019672636682643,0.9331599790600685,0.05869155692196563
2024-03-11,high,1.8562665344294587,0.06983217666900197,9.925899687265922,0.9325503104736237,-0.06279011132257448
2024-03-12,high,1.7810815859793556,0.06973986321228613,9.939038429857902,0.9326364013899588,0.08938888655491956
2024-03-13,high,1.8048226332087338,0.06886761345961308,10.064922330529669,0.9334502481476225,0.0679967012817325
2024-03-14,high,1.8116866520078656,0.06728081590416764,10.302300458829736,0.9349326205209001,-0.008744824779691095
2024-03-15,high,1.8477662866620352,0.06773987939848394,10.232483239045424,0.9345035255836197,0.11449633571860718
2024-03-18,high,1.783809293076772,0.06152283986150686,11.26650171091384,0.9403314684536505,-0.10918896977789647
2024-03-19,high,1.8813483980017949,0.07726327099647921,8.97123784199521,0.9256461257467524,0.10023200029591364
2024-03-20,high,1.7917674175615657,0.06831799846812327,10.14589414359619,0.9339634274104041,-0.0826477905214883
2024-03-21,high,1.6562391125469988,0.07746083936794322,8.948356178629284,0.9254632654134406,0.0931950095168429
2024-03-22,high,1.5896846731218917,0.06876303044954099,10.080230263681932,0.9335478762893598,-0.0061314448245076356
2024-03-25,high,1.6040875206924667,0.06410077840268363,10.813397244656956,0.9379104736483312,0.06321413884307614
2024-03-26,high,1.667769209405012,0.05219075092262114,13.281034825262749,0.9491477987556698,0.010617363136649504
2024-03-27,high,1.6796438255096773,0.04889540984674792,14.176119654840099,0.9522807236769677,0.035246119664608916
2024-03-28,high,1.6763370271408526,0.043439285262543016,15.956689350909619,0.957490686121839,-0.1429451113469945
2024-04-01,high,1.6529632134918346,0.0683385699375122,10.142839997877466,0.9339442146079652,-0.01542214132716271
2024-04-02,high,1.6637786589405656,0.07130378758367516,9.721042935433626,0.9311789685466085,0.06618902640848559
2024-04-03,high,1.6089196662895613,0.06626946348529013,10.459526063822798,0.9358786451896844,0.004154913548810984
2024-04-04,high,1.6046958522396566,0.0666966997422181,10.39252591565925,0.9354788893015601,-0.05568664013766163
2024-04-05,high,1.5795378486491471,0.07060751672152353,9.816903535833472,0.9318275470968269,-0.09373482843987936
2024-04-08,high,1.619556677208151,0.07774605817999931,8.915528282542072,0.9251993435198115,-0.03915362094017309
2024-04-09,high,1.576513131714807,0.07397614164270093,9.369874734854283,0.9286938506866843,0.007285244868817584
2024-04-10,high,1.5670570089304727,0.07539006661314684,9.194144689070633,0.9273816751387919,0.053891217879994076
2024-04-11,high,1.5682453095918,0.07344334749446522,9.437848412508453,0.9291887851732237,0.002653048648446628
2024-04-12,high,1.5612203622964254,0.0740926394855088,9.35514222968818,0.9285856661582048,0.017291802321207764
2024-04-15,high,1.535779170624078,0.07032513693784546,9.856321803860267,0.9320907135126905,-0.010965645767124485
2024-04-16,high,1.5475676345688276,0.06580484378172664,10.533376279398226,0.9363135738787791,-0.07068017944604031
2024-04-17,high,1.546585860256597,0.0694105190382082,9.98619791588636,0.932943610341252,0.008829708058025562
2024-04-18,high,1.5469242024104168,0.06866116328623685,10.095185507858805,0.9336429790071658,-0.03952227320087328
2024-04-19,high,1.5215383449868918,0.06951525781294382,9.97115169197978,0.9328459000877228,-0.03610852013792843
2024-04-22,high,1.5355273325239822,0.07001764554767442,9.899607093871605,0.9323773674515045,0.055658624395674025
2024-04-23,high,1.5520783777521951,0.07018934417106026,9.875390470534365,0.9322172932836873,0.0210444711343549
2024-04-24,high,1.5210589048992558,0.06977932076360496,9.933418281730717,0.9325996025672897,-0.0057142775618293645
2024-04-25,high,1.5194964033753264,0.06949432511165693,9.97415514786656,0.9328654272766738,-0.024799461374983164
2024-04-26,high,1.5808177175112732,0.0694334123109393,9.982905311579211,0.9329222524532146,0.0516435553842728
2024-04-29,high,1.6007779590669144,0.06916351932176361,10.021861052721668,0.9331740756097213,0.006103709320019517
2024-04-30,high,1.596502105896571,0.06881339625653814,10.072852355315737,0.9335008585812523,-0.0961613521746237
2024-05-01,high,1.5544758919912487,0.0737535827864109,9.398149274555074,0.9289005627298814,0.02657075633579197
2024-05-02,high,1.4220552099467643,0.0739822921288005,9.369095774340176,0.9286881387856304,0.07714537719380819
2024-05-03,high,1.3602959892462514,0.07329955136148347,9.456363206667204,0.9293224085343726,-0.0037908168272433596
2024-05-06,high,1.3483773021383234,0.07437277992031821,9.319904154484638,0.9283255681996081,0.031614349867640223
2024-05-07,high,1.3283205745642028,0.07463764903702247,9.286830299493007,0.9280797159871116,0.008441703799545508
2024-05-08,high,1.3611521931745671,0.0738874404724956,9.38112318044049,0.9287762305715448,0.005694599274080267
2024-05-09,high,1.3683142822924215,0.07049360417535269,9.832766939192712,0.9319336999912673,-0.01688913597380929
