fold,train_end_date,oos_start_date,oos_end_date,oos_bars,roll40_oos_return,roll40_oos_sharpe,roll40_oos_mdd,mlbeta_oos_return,mlbeta_oos_sharpe,mlbeta_oos_mdd,return_delta_ml_minus_roll40,sharpe_delta_ml_minus_roll40
1,2023-12-14,2024-01-02,2024-04-01,62,-0.22081475152651808,-1.343104597589293,-0.3456402211390549,-0.2108867533680997,-1.2559382753769264,-0.3505406838035362,0.009927998158418383,0.08716632221236664
2,2024-03-15,2024-04-02,2024-07-01,63,0.2470736477016715,2.823367599921136,-0.07792765306209448,0.226487198281897,2.6406856557032024,-0.07806912112462605,-0.0205864494197745,-0.1826819442179337
3,2024-06-14,2024-07-02,2024-10-01,64,0.06726493689502888,1.9253186007543655,-0.03478760542611714,0.06956529548020418,2.0022618272583603,-0.03481074973853593,0.0023003585851752995,0.07694322650399488
4,2024-09-17,2024-10-02,2024-12-31,63,0.08152597803106776,0.9528614619092363,-0.2246920755161006,0.07360385105434109,0.8999862729877576,-0.2251686238113566,-0.007922126976726673,-0.05287518892147869
5,2024-12-16,2025-01-02,2025-04-01,61,-0.029650968057262417,-0.6034727328854804,-0.11222794144101866,-0.024642633207815567,-0.4770257044578826,-0.10981926103721307,0.005008334849446849,0.1264470284275978
6,2025-03-18,2025-04-02,2025-07-01,62,0.06488462120171934,1.1393296865592732,-0.0705096391243265,0.06754511614724446,1.1855344513799606,-0.06962264774471638,0.002660494945525116,0.04620476482068736
7,2025-06-16,2025-07-02,2025-10-01,64,-0.12136493284943872,-2.1151838554567046,-0.1778489847037713,-0.11379362578011065,-1.9530383212925653,-0.17025528211800423,0.00757130706932807,0.16214553416413935
8,2025-09-17,2025-10-02,2025-12-31,63,0.03869881397606911,1.0356443242085607,-0.06124286743923768,0.03432110192758597,0.9510823298673837,-0.06120026939829104,-0.00437771204848314,-0.08456199434117695
9,2025-12-16,2026-01-02,2026-03-20,54,-0.12323976084611887,-1.7346403369241643,-0.2018499950321463,-0.11595417348780035,-1.6469631019735667,-0.19525734191831456,0.007285587358318524,0.08767723495059765
