beta_window,beta_mean,beta_std,beta_cv,beta_p10,beta_p90,beta_break_rate,raw_corr_asset_btc,hedged_corr_to_btc,hedge_corr_reduction
40,1.2831885141934325,0.25328578262235457,0.1973878193427886,0.9811262777837946,1.6571754620695331,0.0561576354679803,0.7481629777577159,0.03895065769241452,0.7092123200653013
60,1.2798040231903727,0.20532568196713277,0.16043525277822188,1.0471306083014955,1.5672196085655408,0.04824120603015075,0.7481629777577159,0.08242406007854568,0.6657389176791703
90,1.2861854666893868,0.17892440067542686,0.13911244164185305,1.046039617765996,1.5099011502191688,0.04870466321243523,0.7481629777577159,0.14261348712543678,0.6055494906322791
120,1.2876556805690318,0.15119614245559568,0.11741969902138756,1.070883006614796,1.5066749680953597,0.0427807486631016,0.7481629777577159,0.22687888111020985,0.5212840966475061
