period,scope,n,corr_mstr_btc_ret,corr_z_fwd5d,corr_z_fwd10d,strategy_ret,strategy_sharpe
older_pre_2024,ALL,500,0.7662981779622031,-0.1728803232530851,-0.2218090855784845,1.1163691025738922,1.9419297891711496
older_pre_2024,high,113,0.7682325898218846,0.4562419698093232,0.532259580553449,0.3565436233619712,3.7721896442179204
older_pre_2024,mid,80,0.7205894821542763,-0.3470058712650867,-0.5896194785984028,0.11271682940710859,1.3977064160983883
older_pre_2024,low,152,0.7033232410129616,-0.36506918107560216,-0.33474555368200615,0.5408972065289348,3.4755825693154154
recent_2024_plus,ALL,556,0.7338233775820493,-0.058565082885328454,-0.07971395236463476,-0.14573695928518726,-0.022832008902421735
recent_2024_plus,high,218,0.7195126474556433,-0.025208286474461522,-0.09224030993436277,0.02665964921610997,0.3634942393051941
recent_2024_plus,mid,142,0.7828172928508564,0.3863048022266757,0.2707594927947127,-0.032825332634781046,-0.17035716960802752
recent_2024_plus,low,196,0.732260605307569,-0.436869856867378,-0.4264922676283073,-0.13967961961849185,-0.8193775239451715
recent_split_2025_05_16_plus,ALL,212,0.8130910638938584,-0.34112230379697517,-0.4294943395904697,-0.19584342263673904,-1.0345872470474475
recent_split_2025_05_16_plus,high,13,0.9627740347963405,0.07697622907601384,-0.14562069814410802,-0.1469548374341385,-6.113321131389261
recent_split_2025_05_16_plus,mid,40,0.8442461512498954,-0.10478580578513881,-0.29124408196966384,-0.013287896812488542,-0.3628613869357919
recent_split_2025_05_16_plus,low,159,0.7657869989727013,-0.4314760998135668,-0.5019068383260326,-0.04461561548480342,-0.24097796659480175
