date,asset_ret,btc_ret,beta_true,hedged_true,rolling_vol,vol_regime,beta_l1,beta_diff_5,beta_mean_20,beta_std_20,time_idx,reg_high,reg_mid,reg_low,intercept,beta_pred,slope_coef_time,hedged_model
2022-01-04,-0.012879335207039877,-0.012065555013512697,,-0.012879335207039877,,unknown,,,,,0.0,0.0,0.0,0.0,1.0,,,
2022-01-05,-0.07616089997147302,-0.050734060615097554,,-0.07616089997147302,,unknown,,,,,0.0009478672985781991,0.0,0.0,0.0,1.0,,,
2022-01-06,-0.020585353345795254,-0.009366159015892994,,-0.020585353345795254,,unknown,,,,,0.0018957345971563982,0.0,0.0,0.0,1.0,,,
2022-01-07,-0.03142676503386421,-0.03714070469186992,,-0.03142676503386421,,unknown,,,,,0.002843601895734597,0.0,0.0,0.0,1.0,,,
2022-01-10,-0.0020705762069040956,0.006337167184753412,,-0.0020705762069040956,,unknown,,,,,0.0037914691943127963,0.0,0.0,0.0,1.0,,,
2022-01-11,0.05106335824752661,0.021869109453241498,,0.05106335824752661,,unknown,,,,,0.004739336492890996,0.0,0.0,0.0,1.0,,,
2022-01-12,0.015950775824325136,0.028389418684672707,,0.015950775824325136,,unknown,,,,,0.005687203791469194,0.0,0.0,0.0,1.0,,,
2022-01-13,-0.04867482189394856,-0.030888714484173407,,-0.04867482189394856,,unknown,,,,,0.006635071090047393,0.0,0.0,0.0,1.0,,,
2022-01-14,0.02036401183452985,0.011930269358978673,,0.02036401183452985,,unknown,,,,,0.007582938388625593,0.0,0.0,0.0,1.0,,,
2022-01-18,-0.06261514305572546,-0.016799801840264417,,-0.06261514305572546,,unknown,,,,,0.008530805687203791,0.0,0.0,0.0,1.0,,,
2022-01-19,-0.016784814917366275,-0.014897823244158781,,-0.016784814917366275,,unknown,,,,,0.009478672985781991,0.0,0.0,0.0,1.0,,,
2022-01-20,-0.006276909473808434,-0.02548634039729203,,-0.006276909473808434,,unknown,,,,,0.01042654028436019,0.0,0.0,0.0,1.0,,,
2022-01-21,-0.1784363417524646,-0.10381165615712484,,-0.1784363417524646,,unknown,,,,,0.011374407582938388,0.0,0.0,0.0,1.0,,,
2022-01-24,-0.014472386144902871,0.005403900730231115,,-0.014472386144902871,,unknown,,,,,0.012322274881516588,0.0,0.0,0.0,1.0,,,
2022-01-25,-0.014576788433553145,0.008175727030871549,,-0.014576788433553145,,unknown,,,,,0.013270142180094787,0.0,0.0,0.0,1.0,,,
2022-01-26,-0.03122858118867866,-0.002757016878562668,,-0.03122858118867866,,unknown,,,,,0.014218009478672985,0.0,0.0,0.0,1.0,,,
2022-01-27,-0.0967058340541509,0.007763821260712289,,-0.0967058340541509,,unknown,,,,,0.015165876777251185,0.0,0.0,0.0,1.0,,,
2022-01-28,0.06104244111967838,0.017397102127314046,,0.06104244111967838,,unknown,,,,,0.016113744075829384,0.0,0.0,0.0,1.0,,,
2022-01-31,0.08573530581896915,0.01849425227822099,,0.08573530581896915,,unknown,,,,,0.017061611374407582,0.0,0.0,0.0,1.0,,,
2022-02-01,0.013559429556529556,0.00676006528835682,,0.013559429556529556,,unknown,,,,,0.01800947867298578,0.0,0.0,0.0,1.0,,,
2022-02-02,-0.06477212910531238,-0.046209029430310355,,-0.06477212910531238,,unknown,,,,,0.018957345971563982,0.0,0.0,0.0,1.0,,,
2022-02-03,-0.025083133480180875,0.005456046132945147,,-0.025083133480180875,,unknown,,,,,0.01990521327014218,0.0,0.0,0.0,1.0,,,
2022-02-04,0.1515776049030566,0.116978066100073,,0.1515776049030566,,unknown,,,,,0.02085308056872038,0.0,0.0,0.0,1.0,,,
2022-02-07,0.05573992890348989,0.056370140539205416,,0.05573992890348989,,unknown,,,,,0.021800947867298578,0.0,0.0,0.0,1.0,,,
2022-02-08,0.028925898903833902,0.0063448528050995545,,0.028925898903833902,,unknown,,,,,0.022748815165876776,0.0,0.0,0.0,1.0,,,
2022-02-09,0.049761432345635015,0.004994545046617338,,0.049761432345635015,,unknown,,,,,0.023696682464454975,0.0,0.0,0.0,1.0,,,
