sample,regime,n,corr_same_day,corr_fwd_1d,corr_fwd_5d,corr_fwd_10d,corr_n_fwd_1d,corr_n_fwd_5d,corr_n_fwd_10d,q1_mean_1d,q4_mean_1d,q4_minus_q1_1d,q_count_1d,q1_mean_5d,q4_mean_5d,q4_minus_q1_5d,q_count_5d,q1_mean_10d,q4_mean_10d,q4_minus_q1_10d,q_count_10d,verdict
FULL,high,232,-0.046851821926149666,0.013128627519225358,0.007239682301179172,0.01856321913545674,232,232,232,0.0019684559060061577,0.001924525452401246,-4.393045360491163e-05,58,-0.0012600070299603348,0.006710471994024981,0.007970479023985316,58,0.0020952719076271545,0.014080644510985335,0.01198537260335818,58,supported
FULL,mid,318,0.014955343520573846,-0.03095808381756806,-0.09361703651644594,-0.1540660759603224,317,313,308,0.0018546352473293587,0.0013279824599470777,-0.000526652787382281,80,0.010073625630227217,0.0003345905161680774,-0.009739035114059139,80,0.010960659858435327,-0.008526121130175101,-0.01948678098861043,80,not_supported
FULL,low,376,-0.12301524956945832,-0.08469943232515931,-0.14375339056147,-0.06843861304066025,376,376,376,0.0009242103012956062,-0.002975919719742792,-0.003900130021038398,94,0.006789826744942207,-0.012069040130179492,-0.0188588668751217,94,0.00833308622526364,-0.0025404539941438534,-0.010873540219407493,94,not_supported
OOS_2024+,high,184,-0.04611493735031181,-0.013607263475477905,0.004480395717831535,0.057270754530559305,184,184,184,0.004969554959022785,0.0013856086270534473,-0.0035839463319693376,46,0.014996976349989269,0.012348485759100945,-0.0026484905908883243,46,0.010591965659702513,0.025044967147837254,0.014453001488134741,46,not_supported
OOS_2024+,mid,189,-0.029744935455256607,-0.029181409745407262,-0.08282556724335577,-0.130550603673222,188,184,179,-0.00010622137828384937,-0.0015213724290223925,-0.001415151050738543,47,1.6372137675384434e-05,-0.0010267311331512959,-0.0010431032708266804,47,-0.0016438905659810256,0.004505597546028861,0.0061494881120098864,45,not_supported
OOS_2024+,low,183,-0.040090051427604884,-0.01990390750421964,-0.09202338779451483,-0.0534551999146924,183,183,183,0.0020374687707431097,-4.740573782314937e-05,-0.002084874508566259,46,0.010950367104437017,-0.00801698215217642,-0.018967349256613437,46,0.015961275834254662,-0.010423896694885361,-0.026385172529140022,46,not_supported
