date,asset_close,btc_close,a_ret,b_ret,hedged_ret,position,strategy_ret_net,rolling_vol,vol_q33_past,vol_q66_past,vol_regime,ret_baseline,ret_high_only,ret_low_only,ret_high_low_only,ret_regime_weighted
2022-01-04,55.106998443603516,45897.57421875,-0.012879335207039877,-0.012065555013512697,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-05,50.90999984741211,43569.00390625,-0.07616089997147302,-0.050734060615097554,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-06,49.86199951171875,43160.9296875,-0.020585353345795254,-0.009366159015892994,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-07,48.29499816894531,41557.90234375,-0.03142676503386421,-0.03714070469186992,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-10,48.19499969482422,41821.26171875,-0.0020705762069040956,0.006337167184753412,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-11,50.65599822998047,42735.85546875,0.05106335824752661,0.021869109453241498,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-12,51.4640007019043,43949.1015625,0.015950775824325136,0.028389418684672707,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-13,48.95899963378906,42591.5703125,-0.04867482189394856,-0.030888714484173407,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-14,49.95600128173828,43099.69921875,0.02036401183452985,0.011930269358978673,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-18,46.827999114990234,42375.6328125,-0.06261514305572546,-0.016799801840264417,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-19,46.04199981689453,41744.328125,-0.016784814917366275,-0.014897823244158781,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-20,45.75299835205078,40680.41796875,-0.006276909473808434,-0.02548634039729203,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-21,37.5890007019043,36457.31640625,-0.1784363417524646,-0.10381165615712484,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-24,37.04499816894531,36654.328125,-0.014472386144902871,0.005403900730231115,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-25,36.505001068115234,36954.00390625,-0.014576788433553145,0.008175727030871549,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-26,35.3650016784668,36852.12109375,-0.03122858118867866,-0.002757016878562668,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-27,31.94499969482422,37138.234375,-0.0967058340541509,0.007763821260712289,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-28,33.89500045776367,37784.33203125,0.06104244111967838,0.017397102127314046,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-01-31,36.80099868774414,38483.125,0.08573530581896915,0.01849425227822099,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-01,37.29999923706055,38743.2734375,0.013559429556529556,0.00676006528835682,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-02,34.88399887084961,36952.984375,-0.06477212910531238,-0.046209029430310355,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-03,34.00899887084961,37154.6015625,-0.025083133480180875,0.005456046132945147,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-04,39.16400146484375,41500.875,0.1515776049030566,0.116978066100073,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-07,41.34700012207031,43840.28515625,0.05573992890348989,0.056370140539205416,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-08,42.542999267578125,44118.4453125,0.028925898903833902,0.0063448528050995545,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-09,44.65999984741211,44338.796875,0.049761432345635015,0.004994545046617338,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-10,43.14799880981445,43565.11328125,-0.0338558227219804,-0.01744935921313273,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-11,41.10100173950195,42407.9375,-0.04744129801558472,-0.026561982607033352,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-14,40.94900131225586,42586.91796875,-0.003698217094791789,0.004220447380870684,0.0,0,0.0,,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-15,43.7239990234375,44575.203125,0.0677671645767608,0.04668769779745485,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-16,43.49800109863281,43961.859375,-0.0051687386756079645,-0.013759752216496501,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-17,40.459999084472656,40538.01171875,-0.06984233614026103,-0.07788223029977337,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-18,39.59700012207031,40030.9765625,-0.021329683191553483,-0.012507647384577658,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-22,37.77000045776367,38286.02734375,-0.04613985046024538,-0.04358997378007068,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-23,36.50299835205078,37296.5703125,-0.03354519699118663,-0.025843815613622922,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-24,39.69599914550781,38332.609375,0.08747228823951247,0.027778400368163814,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-25,40.5,39214.21875,0.020253951828875127,0.022998939789759643,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-02-28,44.29999923706055,43193.234375,0.09382714165581607,0.10146869558634264,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-01,46.472999572753906,44354.63671875,0.04905192715839757,0.026888524570001016,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-02,45.92900085449219,43924.1171875,-0.011705694129127253,-0.009706302725009275,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-03,42.869998931884766,42451.7890625,-0.06660284059517552,-0.03351981142193561,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-04,41.0359992980957,39137.60546875,-0.042780491707104185,-0.07806935036049167,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-07,38.89099884033203,38062.0390625,-0.05227118857717716,-0.027481661010375302,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-08,41.0359992980957,38737.26953125,0.05515416218981728,0.017740259990833174,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-09,43.67499923706055,41982.92578125,0.06430938649244267,0.08378639716414904,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-10,42.112998962402344,39437.4609375,-0.03576417405710597,-0.060630954045771346,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-11,39.082000732421875,38794.97265625,-0.0719729846997238,-0.016291319622939393,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-14,36.99300003051758,39666.75390625,-0.05345173386098656,0.02247150056592595,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-15,39.61399841308594,39338.78515625,0.07085119834579934,-0.008268101563720931,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-16,42.87799835205078,41143.9296875,0.08239511459884907,0.04588714481344902,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-17,43.409000396728516,40951.37890625,0.012384021294975733,-0.00467993171076464,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-18,45.428001403808594,41801.15625,0.04651111494454585,0.020750884742987363,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-21,43.64799880981445,41077.99609375,-0.03918293869395073,-0.01730000366317619,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-22,45.994998931884766,42358.80859375,0.0537710819755286,0.031180014163224357,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-23,45.069000244140625,42892.95703125,-0.02013259504833287,0.012610091153007819,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-24,48.391998291015625,43960.93359375,0.07373134591125119,0.024898646221148013,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-25,47.242000579833984,44348.73046875,-0.023764212096923254,0.008821397620525806,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-28,51.0,47128.00390625,0.07954784670508164,0.0626686132415537,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-29,52.0,47465.73046875,0.019607843137254832,0.0071661546110000085,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-30,50.069000244140625,47062.6640625,-0.03713461068960333,-0.008491735032190584,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-03-31,48.63199996948242,45538.67578125,-0.028700398802677718,-0.03238210822970233,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-01,49.097999572753906,46281.64453125,0.009582159968002824,0.016315115388267687,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-04,50.125999450683594,46622.67578125,0.020937714099866556,0.007368607002928185,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-05,48.72800064086914,45555.9921875,-0.02788969447262335,-0.02287907280900814,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-06,45.51100158691406,43206.73828125,-0.06601951673873763,-0.05156849392240015,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-07,46.361000061035156,43503.84765625,0.018676769231233514,0.006876459247305178,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-08,45.32400131225586,42287.6640625,-0.022367911550960295,-0.02795577079433975,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-11,43.638999938964844,39521.90234375,-0.037176800911339236,-0.06540351140375789,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-12,44.345001220703125,40127.18359375,0.01617821862842228,0.015315083892861292,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-13,46.358001708984375,41166.73046875,0.04539407899128545,0.025906300465151855,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-14,44.91899871826172,39935.515625,-0.03104109188649029,-0.029908006531745968,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-18,44.5890007019043,40826.21484375,-0.00734651318537205,0.02230343604709617,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-19,47.11399841308594,41502.75,0.056628264178026466,0.016571096753378534,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-20,44.90299987792969,41374.37890625,-0.04692869655788212,-0.003093074404708074,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-21,42.7859992980957,40527.36328125,-0.047146083459660204,-0.020471984048854197,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-22,40.90800094604492,39740.3203125,-0.04389282435514752,-0.019420038833716236,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-25,42.79999923706055,40458.30859375,0.046250079379607234,0.01806699784007937,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-26,39.10100173950195,38117.4609375,-0.08642517671719085,-0.057858267871623625,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-27,38.577999114990234,39241.12109375,-0.01337568351818852,0.029478882606909007,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-28,40.04899978637695,39773.828125,0.038130559000794095,0.013575224570606004,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-04-29,35.41699981689453,38609.82421875,-0.11565831841468466,-0.02926557389929385,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-02,36.590999603271484,38529.328125,0.03314791745338441,-0.0020848604048010477,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-03,34.34000015258789,37750.453125,-0.0615178452376125,-0.020215120218891713,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-04,36.64400100708008,39698.37109375,0.0670937927855122,0.051599856624237495,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-05,31.45199966430664,36575.140625,-0.14168762144096325,-0.07867402068901796,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-06,29.423999786376953,36040.921875,-0.06447920321680423,-0.014606061408683924,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-09,21.905000686645508,30296.953125,-0.2555396667455345,-0.15937352462630372,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-10,22.552000045776367,31022.90625,0.029536605288732254,0.02396125848050934,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-11,16.81999969482422,28936.35546875,-0.2541681597781684,-0.06725839173272163,0.0,1,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-12,17.118000030517578,29047.751953125,0.017717023846621105,0.003849706798608521,0.0,1,-0.00045,0.0,,,unknown,-0.00045,0.0,0.0,0.0,0.0
2022-05-13,20.457000732421875,29283.103515625,0.19505787451522383,0.008102229834508146,0.0,1,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-16,20.150999069213867,29862.91796875,-0.014958285782481928,0.019800307464528766,0.0,1,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-17,22.48699951171875,30425.857421875,0.11592479531567035,0.018850785235190015,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-18,19.743999481201172,28720.271484375,-0.12198159336856418,-0.05605711989808215,0.0,0,-0.00045,0.0,,,unknown,-0.00045,0.0,0.0,0.0,0.0
2022-05-19,21.07699966430664,30314.333984375,0.06751419257150282,0.05550304428240649,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-20,20.274999618530273,29200.740234375,-0.03805095879630982,-0.036734890846488066,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-23,20.437000274658203,29098.91015625,0.007990168146778664,-0.0034872430393091403,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-24,19.301000595092773,29655.5859375,-0.055585441322035134,0.019130468401079792,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-25,19.812000274658203,29562.361328125,0.026475294741732158,-0.003143576713387941,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-26,21.610000610351562,29267.224609375,0.09075309462786585,-0.009983529917456657,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-27,21.93899917602539,28627.57421875,0.015224366329551708,-0.02185551924250806,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-05-31,26.4689998626709,31792.310546875,0.20648164714805328,0.11054853282162536,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-06-01,23.81399917602539,29799.080078125,-0.10030604482301742,-0.06269536357891181,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
2022-06-02,24.445999145507812,30467.48828125,0.026539010302758514,0.02243049790035867,0.0,0,0.0,0.0,,,unknown,0.0,0.0,0.0,0.0,0.0
