date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net,source,a_ret,b_ret,rolling_vol,rolling_corr,drawdown_depth,signal_density,ou_kappa,ou_half_life,ou_sigma,ou_regime,vol_regime,corr_regime,dd_regime
2025-12-02 16:00:00,187.3,91842.0,0.1009308032393176,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.0,0.0,,,0.0,,,,,,,,calm
2025-12-02 20:00:00,182.1,91237.0,0.0783875062594035,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.02776294714361993,-0.006587400100172003,,,0.0,,,,,,,,calm
2025-12-03 00:00:00,186.2,92594.0,0.088115889968348,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.02251510159253156,0.014873351819985281,,,0.0,,,,,,,,calm
2025-12-03 04:00:00,186.12,92973.0,0.084217477882218,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.0004296455424274148,0.004093137784305645,,,0.0,,,,,,,,calm
2025-12-03 08:00:00,186.2,92961.0,0.0847568249163455,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.00042983021706421987,-0.0001290697299215493,,,0.0,,,,,,,,calm
2025-12-03 12:00:00,182.06,92338.0,0.0679818281618391,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.022234156820622908,-0.00670173513623995,,,0.0,,,,,,,,calm
2025-12-03 16:00:00,186.48,92990.0,0.0859945901940273,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.024277710644842188,0.007061014966752488,,,0.0,,,,,,,,calm
2025-12-03 20:00:00,189.62,93395.0,0.099002301049162,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.016838266838266946,0.004355307022260391,,,0.0,,,,,,,,calm
2025-12-04 00:00:00,189.33,93498.0,0.0965357712765033,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.0015293745385507318,0.0011028427646020411,,,0.0,,,,,,,,calm
2025-12-04 04:00:00,188.15,93345.0,0.0916744822621096,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.006232504093381941,-0.001636398639543124,,,0.0,,,,,,,,calm
2025-12-04 08:00:00,187.76,92898.0,0.0936756919789099,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.002072814243954335,-0.004788687128394642,,,0.0,,,,,,,,calm
2025-12-04 12:00:00,190.75,92940.0,0.1090909803318114,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.0159245845760545,0.0004521087644513422,,,0.0,,,,,,,,calm
2025-12-04 16:00:00,185.43,91927.0,0.0901111009814883,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.027889908256880647,-0.010899505057026082,,,0.0,,,,,,,,calm
2025-12-04 20:00:00,185.6,92034.0,0.0900396383142885,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.0009167880062557199,0.0011639670608198927,,,0.0,,,,,,,,calm
2025-12-05 00:00:00,186.63,92143.0,0.0945687505156849,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,0.005549568965517171,0.0011843449160093833,,,0.0,,,,,,,,calm
2025-12-05 04:00:00,186.62,92205.0,0.0939439809071425,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-5.3581953597947596e-05,0.0006728671738494008,,,0.0,,,,,,,,calm
2025-12-05 08:00:00,185.07,91298.0,0.0939980961641131,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.008305647840531671,-0.00983677674746486,,,0.0,,,,,,,,calm
2025-12-05 12:00:00,182.97,90406.0,0.0909235243793169,,,0,0.0,0.0,0.0,0.0,1.0,1.0,hyperliquid_4h,-0.011347057869995125,-0.009770203071261196,,,0.0,,,,,,,,calm
