date,vol_regime,zscore,beta_roll,beta_kalman_used,beta_kalman_post,beta_uncertainty,innovation_z,beta_velocity,beta_stable,pos_baseline,ret_baseline,pos_kalman,ret_kalman,pos_kalman_stable,ret_kalman_stable
2022-01-04,unknown,,,1.0,1.0061128373808244,1.000115938617602,0.020302568210514266,,0,0,0.0,0,0.0,0,0.0
2022-01-05,unknown,,,1.0061128373808244,1.3109788316718591,0.9538398494155078,0.4072964232744746,0.006112837380824354,0,0,0.0,0,-0.0,0,-0.0
2022-01-06,unknown,,,1.3109788316718591,1.3292215094523943,0.5914161926022853,0.21506998359795984,0.3048659942910348,0,0,0.0,0,-0.0,0,-0.0
2022-01-07,unknown,,,1.3292215094523943,1.2110996768030686,0.5854999766781941,0.4079829453649277,0.01824267778053512,0,0,0.0,0,0.0,0,0.0
2022-01-10,unknown,,,1.2110996768030686,1.2002197105627614,0.5091331635066716,0.25406056177816055,0.11812183264932563,0,0,0.0,0,-0.0,0,-0.0
2022-01-11,unknown,,,1.2002197105627614,1.2884694601707605,0.507557433215151,0.6234743372494918,0.010879966240307182,0,0,0.0,0,0.0,0,0.0
2022-01-12,unknown,,,1.2884694601707605,1.204201524307559,0.48765912051137195,0.5074186607306539,0.08824974960799903,0,0,0.0,0,-0.0,0,-0.0
2022-01-13,unknown,,,1.204201524307559,1.2491053370537488,0.45876296943524225,0.2815772160783799,0.08426793586320147,0,0,0.0,0,-0.0,0,-0.0
2022-01-14,unknown,,,1.2491053370537488,1.2572216811118018,0.43042291493033674,0.14162161690951214,0.04490381274618982,0,0,0.0,0,0.0,0,0.0
2022-01-18,unknown,,,1.2572216811118018,1.3412043872198918,0.42686219419603816,1.0669600710851181,0.008116344058052949,0,0,0.0,0,-0.0,0,-0.0
2022-01-19,unknown,,,1.3412043872198918,1.335609971107684,0.41981855982545774,0.08252243975868284,0.08398270610809,0,0,0.0,0,0.0,0,0.0
2022-01-20,unknown,,,1.335609971107684,1.2582753362961219,0.41458855317685794,0.7000811660808841,0.0055944161122076785,0,0,0.0,0,0.0,0,0.0
2022-01-21,unknown,,,1.2582753362961219,1.5075339741636469,0.3998912222186638,0.8472894334058307,0.07733463481156222,0,0,0.0,0,-0.0,0,-0.0
2022-01-24,unknown,,,1.5075339741636469,1.5013854240069344,0.271294862098734,0.5913264848675607,0.249258637867525,0,0,0.0,0,-0.0,0,-0.0
2022-01-25,unknown,,,1.5013854240069344,1.4903447155347826,0.2715228842599216,0.7013176709345026,0.006148550156712451,0,0,0.0,0,-0.0,0,-0.0
2022-01-26,unknown,,,1.4903447155347826,1.4941154377910753,0.2714935199844453,0.7093741149084801,0.011040708472151772,0,0,0.0,0,-0.0,0,-0.0
2022-01-27,unknown,,,1.4941154377910753,1.4517052157259265,0.271868289560641,2.829208605192803,0.0037707222562926024,0,0,0.0,0,-0.0,0,-0.0
2022-01-28,unknown,,,1.4517052157259265,1.4827300524837925,0.2718815061108577,0.9291784683637532,0.04241022206514877,0,0,0.0,0,0.0,0,0.0
2022-01-31,unknown,,,1.4827300524837925,1.5357366744921546,0.27025281314223415,1.5127262539452018,0.031024836757866048,0,0,0.0,0,0.0,0,0.0
2022-02-01,unknown,,,1.5357366744921546,1.536793537711714,0.26840387466259363,0.08304337411781305,0.053006622008362037,0,0,0.0,0,0.0,0,0.0
2022-02-02,unknown,,,1.536793537711714,1.5239153481204857,0.26853410065899336,0.15531478844164692,0.0010568632195593342,0,0,0.0,0,0.0,0,0.0
2022-02-03,unknown,,,1.5239153481204857,1.515761024346267,0.2558657360628839,0.8731744416729194,0.012878189591228217,0,0,0.0,0,-0.0,0,-0.0
2022-02-04,unknown,,,1.515761024346267,1.4320304152731675,0.256148304785714,0.5298405834714425,0.008154323774218764,0,0,0.0,0,-0.0,0,-0.0
2022-02-07,unknown,,,1.4320304152731675,1.3958493637997278,0.2021643452218302,0.6263844249223933,0.08373060907309937,0,0,0.0,0,-0.0,0,-0.0
2022-02-08,unknown,,,1.3958493637997278,1.3991375249671993,0.19433449273871128,0.5247875341620154,0.03618105147343975,0,0,0.0,0,0.0,0,0.0
2022-02-09,unknown,,,1.3991375249671993,1.4046843650624512,0.19482948121505386,1.1186827756457791,0.0032881611674715483,0,0,0.0,0,0.0,0,0.0
2022-02-10,unknown,,,1.4046843650624512,1.4089104687184577,0.1953607740084995,0.24351861610022826,0.005546840095251859,0,0,0.0,0,-0.0,0,-0.0
2022-02-11,unknown,,,1.4089104687184577,1.415723671122083,0.19518337468379737,0.25971060377112615,0.004226103656006508,0,0,0.0,0,-0.0,0,-0.0
2022-02-14,unknown,,,1.415723671122083,1.414672362956022,0.19401089371815713,0.2530141668424393,0.0068132024036253735,0,0,0.0,0,-0.0,0,-0.0
2022-02-15,unknown,-1.31590413745008,,1.414672362956022,1.416641069818867,0.19456323498190609,0.04376360019796059,0.0010513081660610268,0,0,0.0,0,0.0,0,0.0
2022-02-16,unknown,-1.0244973568312876,,1.416641069818867,1.4117987008869275,0.189902844027426,0.37387176820322626,0.0019687068628448934,0,0,0.0,0,0.0,0,0.0
2022-02-17,unknown,-0.20346643114083293,,1.4117987008869275,1.3446251154976596,0.19007163861121443,0.9785843486301502,0.004842368931939456,0,0,0.0,0,0.0,0,0.0
2022-02-18,unknown,-0.16648711765611166,,1.3446251154976596,1.3458433160202137,0.17789651502883447,0.11783349909247959,0.06717358538926788,0,0,0.0,0,-0.0,0,-0.0
2022-02-22,unknown,0.2412736061650935,,1.3458433160202137,1.3344410874542965,0.17824752412870415,0.32112512486144384,0.0012182005225540582,0,0,0.0,0,0.0,0,0.0
2022-02-23,unknown,0.4264731472180116,,1.3344410874542965,1.3339359877221801,0.1753377167499722,0.02446956981530943,0.011402228565917216,0,0,0.0,0,0.0,0,0.0
2022-02-24,unknown,0.9803000698670435,,1.3339359877221801,1.3627554349567144,0.17478305218524662,1.3085228708993064,0.0005050997321163209,0,0,0.0,0,0.0,0,0.0
2022-02-25,unknown,0.7600342416577602,,1.3627554349567144,1.3575247921500309,0.1740572643421163,0.2885078638839072,0.028819447234534223,0,0,0.0,0,-0.0,0,-0.0
2022-02-28,unknown,-0.25079352448212006,,1.3575247921500309,1.2815738765390146,0.17377895628115,1.0433502853999628,0.005230642806683505,0,0,0.0,0,-0.0,0,-0.0
2022-03-01,unknown,-0.16038007854573455,,1.2815738765390146,1.2882403439208352,0.1585303503511786,0.37941438828223956,0.0759509156110163,0,0,0.0,0,0.0,0,0.0
