coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl
LDO,LONG,2023-05-23 00:00:00+00:00,2023-05-28 08:00:00+00:00,128.0,2.0102,2.0026,-1.48388e-05,6.389e-07,-0.3780718336483957,0.1750701218789175,0.09,-0.2930017117694782
STX,LONG,2023-06-08 12:00:00+00:00,2023-06-08 19:00:00+00:00,7.0,0.65,0.6453,-1.44955e-05,1.7509e-06,-0.7230769230769288,0.008686925612307694,0.09,-0.8043899974646211
BNB,LONG,2023-06-08 18:00:00+00:00,2023-06-08 23:00:00+00:00,5.0,263.83,261.96,-1.4975e-05,2.4538e-06,-0.708789750976009,0.0006826189299927987,0.09,-0.7981071320460162
DYDX,LONG,2023-06-03 08:00:00+00:00,2023-06-09 00:00:00+00:00,136.0,2.096,1.952,-1.41724e-05,6.831e-07,-6.8702290076335935,0.16160786993797704,0.09,-6.7986211376956165
ATOM,LONG,2023-06-08 07:00:00+00:00,2023-06-09 04:00:00+00:00,21.0,9.474,9.34,-1.42236e-05,8.37e-07,-1.4143972978678525,0.04935719002427698,0.09,-1.4550401078435755
DOGE,LONG,2023-06-08 20:00:00+00:00,2023-06-09 13:00:00+00:00,17.0,0.0679,0.07023,-1.45009e-05,2.3396e-06,3.431516936671574,0.04124970514138438,0.09,3.3827666418129585
ARB,LONG,2023-05-21 08:00:00+00:00,2023-06-10 06:00:00+00:00,478.0,1.1612,1.0059,-1.4196e-05,-2.621e-06,-13.374095763003787,0.20236764747416458,0.09,-13.261728115529623
LDO,SHORT,2023-06-08 10:00:00+00:00,2023-06-10 19:00:00+00:00,57.0,2.1785,1.8247,1.42492e-05,9.012e-07,16.24053247647464,0.047795296541198094,0.09,16.19832777301584
LTC,LONG,2023-06-11 00:00:00+00:00,2023-06-11 02:00:00+00:00,2.0,76.67,77.01,-1.43807e-05,-1.1818e-06,0.4434589800443503,0.0015464745193687233,0.09,0.355005454563719
ARB,LONG,2023-06-10 12:00:00+00:00,2023-06-11 06:00:00+00:00,18.0,0.9895,1.0027,-1.4677e-05,8.998e-07,1.334007074279927,0.0800782039727135,0.09,1.3240852782526404
AVAX,LONG,2023-06-10 21:00:00+00:00,2023-06-11 06:00:00+00:00,9.0,11.626,11.637,-1.43328e-05,-2.2787e-06,0.09461551694478762,0.03605193642955445,0.09,0.04066745337434208
AVAX,LONG,2023-06-11 12:00:00+00:00,2023-06-11 18:00:00+00:00,6.0,11.624,11.646,-1.48861e-05,-2.9716e-06,0.18926359256710462,0.01222112978148658,0.09,0.11148472234859119
ARB,LONG,2023-06-11 22:00:00+00:00,2023-06-12 22:00:00+00:00,24.0,0.9911,0.9794,-1.43693e-05,1.8673e-06,-1.1805065079204857,0.03928690523761477,0.09,-1.231219602682871
OP,LONG,2023-06-12 19:00:00+00:00,2023-06-13 02:00:00+00:00,7.0,1.1308,1.1453,-1.43326e-05,-1.586e-06,1.2822780332507921,0.01598687196940219,0.09,1.2082649052201944
AVAX,LONG,2023-06-12 05:00:00+00:00,2023-06-13 09:00:00+00:00,28.0,11.394,11.76,-1.48385e-05,-2.4432e-06,3.212216956292783,0.01617968918992452,0.09,3.1383966454827075
SOL,LONG,2023-06-14 22:00:00+00:00,2023-06-14 23:00:00+00:00,1.0,14.408,14.476,-1.42916e-05,1.772e-06,0.471960022209893,-0.00017803631315935594,0.09,0.3817819858967336
