coin,direction,entry_hour,exit_hour,hold_hours,entry_price,exit_price,entry_fr,exit_fr,price_pnl,funding_pnl,fees,net_pnl,year
LDO,LONG,2023-05-23 00:00:00,2023-05-28 08:00:00,128.0,2.0102,2.0026,-1.48388e-05,6.389e-07,-0.3780718336483957,0.20303289,0.09,-0.2650389436483957,2023
STX,LONG,2023-06-08 12:00:00,2023-06-08 19:00:00,7.0,0.65,0.6453,-1.44955e-05,1.7509e-06,-0.7230769230769288,0.00891253,0.09,-0.8041643930769288,2023
BNB,LONG,2023-06-08 18:00:00,2023-06-08 23:00:00,5.0,263.83,261.96,-1.4975e-05,2.4538e-06,-0.708789750976009,0.00355104,0.09,-0.7952387109760091,2023
DYDX,LONG,2023-06-03 08:00:00,2023-06-09 00:00:00,136.0,2.096,1.952,-1.41724e-05,6.831e-07,-6.8702290076335935,0.2995708799999998,0.09,-6.660658127633593,2023
ATOM,LONG,2023-06-08 07:00:00,2023-06-09 04:00:00,21.0,9.474,9.34,-1.42236e-05,8.37e-07,-1.4143972978678525,0.05188304,0.09,-1.4525142578678525,2023
DOGE,LONG,2023-06-08 20:00:00,2023-06-09 13:00:00,17.0,0.0679,0.07023,-1.45009e-05,2.3396e-06,3.431516936671574,0.04147343999999999,0.09,3.382990376671574,2023
ARB,LONG,2023-05-21 08:00:00,2023-06-10 06:00:00,478.0,1.1612,1.0059,-1.4196e-05,-2.621e-06,-13.374095763003787,0.6334630099999984,0.09,-12.830632753003789,2023
LDO,SHORT,2023-06-08 10:00:00,2023-06-10 19:00:00,57.0,2.1785,1.8247,1.42492e-05,9.012e-07,16.24053247647464,0.16166543000000005,0.09,16.31219790647464,2023
LTC,LONG,2023-06-11 00:00:00,2023-06-11 02:00:00,2.0,76.67,77.01,-1.43807e-05,-1.1818e-06,0.4434589800443503,0.00142313,0.09,0.35488211004435033,2023
ARB,LONG,2023-06-10 12:00:00,2023-06-11 06:00:00,18.0,0.9895,1.0027,-1.4677e-05,8.998e-07,1.334007074279927,0.09211615000000001,0.09,1.336123224279927,2023
AVAX,LONG,2023-06-10 21:00:00,2023-06-11 06:00:00,9.0,11.626,11.637,-1.43328e-05,-2.2787e-06,0.09461551694478762,0.03578812,0.09,0.04040363694478763,2023
AVAX,LONG,2023-06-11 12:00:00,2023-06-11 18:00:00,6.0,11.624,11.646,-1.48861e-05,-2.9716e-06,0.18926359256710462,0.012002059999999998,0.09,0.11126565256710463,2023
ARB,LONG,2023-06-11 22:00:00,2023-06-12 22:00:00,24.0,0.9911,0.9794,-1.43693e-05,1.8673e-06,-1.1805065079204857,0.07433577000000002,0.09,-1.1961707379204858,2023
OP,LONG,2023-06-12 19:00:00,2023-06-13 02:00:00,7.0,1.1308,1.1453,-1.43326e-05,-1.586e-06,1.2822780332507921,0.01581542,0.09,1.208093453250792,2023
