hour,equity,n_short,n_long,btc_hedge,target_hedge,funding_pnl,price_pnl,hedge_pnl
2023-05-12 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-12 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-13 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-13 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-13 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-14 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-14 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-14 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-15 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-15 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-15 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-16 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-16 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-16 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-17 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-17 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-17 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-18 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-18 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-18 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-19 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-19 08:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-19 16:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
2023-05-20 00:00:00+00:00,1000.0,0,0,0.0,0.0,0.0,0.0,0.0
