signal_date,trade_date,top_coins,bottom_coins,mr_short_return,mr_long_return,mr_combined,mr_pnl_fixed,mr_pnl_dynamic,mr_equity_fixed,mr_equity_dynamic,mr_stops,mr_all_returns,tf_long_return,tf_short_return,tf_combined,tf_pnl_fixed,tf_pnl_dynamic,tf_equity_fixed,tf_equity_dynamic,tf_stops,tf_all_returns,mr_cum_pnl_fixed,tf_cum_pnl_fixed,mr_equity,tf_equity,mr_cum_combined_fixed,tf_cum_combined_fixed,mr_cum_combined_dynamic,tf_cum_combined_dynamic,mr_cum_short,mr_cum_long,tf_cum_long,tf_cum_short
2023-05-12,2023-05-13,"['OP', 'ARB', 'DYDX', 'INJ', 'SUI']","['BTC', 'LTC', 'BNB', 'ETH', 'ATOM']",-0.09185164280923856,-0.3364113430493729,-0.21413149292930575,-2.1413149292930576,-2.1413149292930576,997.858685070707,997.858685070707,3,"[np.float64(1.247832951669282), np.float64(-0.39888030888032155), np.float64(-1.3334241989478512), np.float64(-0.25650016650017193), np.float64(0.2817135086128698), np.float64(-0.32484941679061674), -0.59, np.float64(0.6069883619152517), -0.6112848665186341, -0.7629107938528655]",-0.08814835719076149,0.41968912551628834,0.16577038416276343,1.6577038416276344,1.6577038416276344,1001.6577038416276,1001.6577038416276,1,"[np.float64(-1.4278329516692823), np.float64(0.2188803088803216), np.float64(1.153424198947851), np.float64(0.07650016650017197), np.float64(-0.46171350861286975), np.float64(0.14484941679061678), np.float64(0.443234126984139), -0.59, np.float64(0.6424305186758751), np.float64(1.4579315651308111)]",-2.1413149292930576,1.6577038416276344,997.858685070707,1001.6577038416276,0.997858685070707,1.0016577038416277,0.997858685070707,1.0016577038416277,0.9990814835719076,0.9966358865695063,0.9991185164280924,1.0041968912551629
2023-05-13,2023-05-14,"['DYDX', 'BNB', 'ARB', 'INJ', 'BTC']","['AVAX', 'ATOM', 'OP', 'APE', 'DOGE']",-0.6143424198947851,-0.04877383788168368,-0.3315581288882344,-3.3155812888823437,-3.3084815851691753,994.5431037818247,994.5502034855378,7,"[-0.7117120994739256, -0.59, -0.59, -0.59, -0.59, np.float64(0.6074716652136115), np.float64(0.3612386039229988), -0.7589164758346411, -0.7125326450045588, np.float64(0.2588696622941712)]",0.3105142082207327,-0.7667037499624405,-0.2280947708708539,-2.2809477087085392,-2.2847288444878173,999.376756132919,999.3729749971397,7,"[np.float64(1.9595710200190808), np.float64(0.22517334533994746), -0.59, -0.59, np.float64(0.547826675744635), -0.9081038464075973, -0.8639657825654056, -0.7589164758346411, -0.7125326450045588, -0.59]",-5.456896218175402,-0.6232438670809048,994.5431037818247,999.376756132919,0.9945431037818246,0.999376756132919,0.9945502034855378,0.9993729749971397,0.9929380593729598,0.9961481481906894,1.0022236585102997,0.9965298537555385
2023-05-14,2023-05-15,"['SUI', 'LTC', 'DYDX', 'APE', 'INJ']","['ETH', 'BNB', 'DOGE', 'ARB', 'ATOM']",-1.5957816861937073,1.162117532035588,-0.2168320770790596,-2.1683207707905954,-2.1565038638117047,992.3747830110341,992.3936996217261,5,"[-3.09, -2.0777866400797693, -1.1147855100095405, -0.9056355801785198, -0.7907007007007071, np.float64(1.3566354132325997), np.float64(0.6334726688102988), np.float64(0.8653245293621782), np.float64(2.7943655262018154), np.float64(0.1607895225710488)]",4.808320551184035,-0.59,2.1091602755920174,21.091602755920174,21.078377793641813,1020.4683588888391,1020.4513527907816,5,"[np.float64(5.127161016949157), np.float64(4.989825834542806), np.float64(5.1054242135366925), np.float64(2.317068860450945), np.float64(6.502122830440572), -0.59, -0.59, -0.59, -0.59, -0.59]",-7.625216988965997,20.46835888883927,992.3747830110341,1020.4683588888391,0.9923747830110341,1.0204683588888392,0.9923936996217261,1.0204513527907815,0.9769802425110227,1.0077693235110454,1.05030686402214,0.9906298537555385
2023-05-15,2023-05-16,"['INJ', 'SUI', 'DYDX', 'LTC', 'ARB']","['CRV', 'ATOM', 'BNB', 'DOGE', 'BTC']",0.9431447098160607,-0.13064808416787782,0.40624831282409146,4.062483128240914,4.031582661285844,996.437266139275,996.4252822830119,4,"[np.float64(3.108361430597141), np.float64(2.4378312547082905), np.float64(0.5017159763313529), -2.629912917271403, np.float64(1.297727804714922), np.float64(0.51606060606061), np.float64(0.7814193010104676), -0.59, -0.59, -0.7707203279104667]",-0.9070879987698136,-0.1701947839104408,-0.5386413913401272,-5.386413913401272,-5.496573364621417,1015.0819449754379,1014.9547794261601,6,"[-3.09, -2.698580508474578, np.float64(-0.6817159763313528), np.float64(3.46703925405777), -1.5321827631009077, -0.59, -0.59, np.float64(0.3864645689434688), -0.59, np.float64(0.5325615115043271)]",-3.562733860725083,15.081944975437997,996.437266139275,1015.0819449754379,0.9964372661392751,1.0150819449754378,0.996425282283012,1.0149547794261602,0.9864116896091834,1.0064628426693665,1.0412359840344418,0.9889279059164341
2023-05-16,2023-05-17,"['LDO', 'LTC', 'APE', 'DOGE', 'OP']","['INJ', 'SUI', 'SOL', 'ARB', 'AVAX']",-1.369232333107798,-1.0491588634355162,-1.2091955982716571,-12.091955982716572,-12.048730653432115,984.3453101565584,984.3765516295798,10,"[-2.647331810828811, -1.868519627028885, -0.967192982456143, -0.773117245225151, -0.59, -1.6891807152985705, -1.3539156273541453, -0.8288340721674047, -0.7838639023574611, -0.59]",3.6641079397270007,-1.0491588634355162,1.3074745381457422,13.074745381457422,13.270275314690325,1028.1566903568953,1028.2250547408505,6,"[np.float64(6.531169664647919), np.float64(1.8215890083632125), -0.967192982456143, np.float64(2.6294066749072877), np.float64(8.305567333172727), -1.6891807152985705, -1.3539156273541453, -0.8288340721674047, -0.7838639023574611, -0.59]",-15.654689843441655,28.156690356895417,984.3453101565584,1028.1566903568953,0.9843453101565585,1.0281566903568953,0.9843765516295798,1.0282250547408505,0.9727193662781053,0.9959712540350114,1.0778770634317119,0.9784363172820789
2023-05-17,2023-05-18,"['OP', 'LDO', 'INJ', 'SUI', 'DOGE']","['APE', 'CRV', 'ETH', 'ATOM', 'BNB']",3.426811762273664,-0.59,1.418405881136832,14.18405881136832,13.962454900845902,998.5293689679268,998.3390065304258,5,"[np.float64(3.602819517604662), np.float64(8.080820956562919), np.float64(-0.8952263749620092), np.float64(4.747767953957794), np.float64(1.5978767582049536), -0.59, -0.59, -0.59, -0.59, -0.59]",-2.4759297757276246,0.3818451055755192,-1.0470423350760527,-10.47042335076053,-10.765951622995624,1017.6862670061348,1017.4591031178549,7,"[-3.09, -3.09, -3.09, -1.659945541184481, -1.4497033374536439, -0.59, np.float64(0.6311538461538436), np.float64(1.0253907439051868), -0.59, np.float64(1.4326809378185656)]",-1.4706310320733351,17.686267006134887,998.5293689679268,1017.6862670061348,0.9985293689679268,1.0176862670061348,0.9983390065304257,1.0174591031178548,1.006987483900842,0.9900712540350114,1.0531177656744357,0.9822547683378341
2023-05-18,2023-05-19,"['STX', 'INJ', 'CRV', 'APE', 'ETH']","['LDO', 'SUI', 'ARB', 'OP', 'SOL']",-0.6015390743905187,0.0013507389589918872,-0.3000941677157634,-3.0009416771576336,-2.995957132629302,995.5284272907692,995.3430493977964,6,"[-0.59, -0.59, -0.59, -0.59, -0.6476953719525934, np.float64(2.2296725168211475), np.float64(-0.8015249472944507), np.float64(0.7424661810614087), -1.936409758802331, np.float64(-0.22745029699081534)]",0.6575981308942648,0.08359701559680095,0.3705975732455329,3.705975732455329,3.7706787449205343,1021.3922427385901,1021.2297818627754,2,"[np.float64(1.749080459770126), -0.59, np.float64(1.007560975609757), np.float64(0.7649528301886822), np.float64(0.35639638890275893), -3.09, np.float64(0.6215249472944507), np.float64(-0.9224661810614087), np.float64(3.761476014760147), np.float64(0.04745029699081535)]",-4.471572709230969,21.392242738590216,995.5284272907692,1021.3922427385901,0.9955284272907692,1.0213922427385902,0.9953430493977965,1.0212297818627754,1.0009720931569368,0.9900847614246013,1.0596937469833783,0.9830907384938021
2023-05-19,2023-05-20,"['INJ', 'LDO', 'STX', 'CRV', 'LTC']","['OP', 'ATOM', 'SUI', 'AVAX', 'SOL']",-1.0038039319854175,0.9907536940904373,-0.006525118947490083,-0.0652511894749006,-0.06494731790878205,995.4631761012943,995.2781020798876,4,"[-2.811395278905425, np.float64(0.05411231462971852), -1.009540229885063, -0.6387804878048785, -0.6134159779614389, np.float64(3.557397780910944), np.float64(0.34572984749453706), np.float64(0.4917595990333713), np.float64(0.3221162167731285), np.float64(0.23676502624020554)]",1.2509982300235403,-0.8751476014760146,0.18792531427376286,1.8792531427376273,1.9191492770228828,1023.2714958813277,1023.1489311397984,6,"[np.float64(3.814336550929255), -1.2498362584105738, np.float64(1.54611574003939), np.float64(0.6390400972053579), np.float64(1.5053350203542715), -2.0157380073800732, -0.59, -0.59, -0.59, -0.59]",-4.53682389870587,23.271495881327844,995.4631761012943,1023.2714958813277,0.9954631761012943,1.0232714958813278,0.9952781020798876,1.0231489311397983,0.9909340538370826,0.9999922983655056,1.0722037292836137,0.974339262479042
2023-05-20,2023-05-21,"['INJ', 'OP', 'STX', 'LTC', 'ARB']","['LDO', 'LINK', 'SOL', 'AVAX', 'ATOM']",3.9516322675121964,-0.59,1.6808161337560983,16.808161337560982,16.72879491550024,1012.2713374388552,1012.0068969953878,5,"[np.float64(7.28580844915372), np.float64(3.5600647592134784), np.float64(4.834129723296645), np.float64(0.5249530693710159), np.float64(3.553205336526123), -0.59, -0.59, -0.59, -0.59, -0.59]",-1.2716889053317948,2.5415814672472488,0.634946280957727,6.349462809577269,6.4964460869308835,1029.620958690905,1029.6453772267294,5,"[-2.0421682754646273, -1.9136988904554721, -0.908057870019695, -0.8876675101771357, -0.6068519805420435, np.float64(3.823003067199561), np.float64(1.6533858388132716), np.float64(3.5756675347648716), np.float64(2.444577911017233), np.float64(1.211272984441304)]",12.271337438855113,29.620958690905113,1012.2713374388552,1029.620958690905,1.0122713374388552,1.0296209586909049,1.012006896995388,1.0296453772267293,1.0304503765122046,0.9940922983655057,1.0594868402302957,0.9997550771515145
2023-05-21,2023-05-22,"['APE', 'CRV', 'LTC', 'ETH', 'ATOM']","['INJ', 'SUI', 'STX', 'DYDX', 'LDO']",-0.34052510579050316,0.09545385780952102,-0.12253562399049106,-1.2253562399049107,-1.2400689660601047,1011.0459811989502,1010.7668280293277,4,"[-0.59, -0.59, np.float64(0.9131621415330761), -0.6951511782649399, -0.740636492220652, np.float64(0.39236358154958306), np.float64(-0.18517464547443843), np.float64(-0.16940289026521219), np.float64(1.8161583577712592), np.float64(-1.3766751145335865)]",0.7388440336811645,-0.8049683500934327,-0.03306215820613412,-0.3306215820613412,-0.340422983580849,1029.2903371088435,1029.3049542431486,3,"[np.float64(-0.06082847141189887), np.float64(2.4431724969843263), -0.59, np.float64(0.9410711683804819), np.float64(0.9608049744529125), -3.09, np.float64(0.0051746454744384385), np.float64(-0.010597109734787807), -2.126094400740401, np.float64(1.1966751145335863)]",11.045981198950201,29.290337108843772,1011.0459811989502,1029.2903371088435,1.0110459811989503,1.0292903371088435,1.0107668280293276,1.0293049542431485,1.0270451254542996,0.9950468369436009,1.0668752805671073,0.9917053936505801
