date,top_1_coin,top_1_return,top_2_coin,top_2_return,top_3_coin,top_3_return,bottom_1_coin,bottom_1_return,bottom_2_coin,bottom_2_return,bottom_3_coin,bottom_3_return
2023-05-12,OP,9.214727924405341,ARB,7.97382005899705,DYDX,7.971384772611145,BTC,-0.29778411396198523,LTC,0.14945821397434056,BNB,0.40380356910252324
2023-05-13,DYDX,1.2434241989478512,BNB,0.6969883619152517,ARB,0.3088803088803216,AVAX,-1.6362076928151947,ATOM,-1.5479315651308112,OP,-1.3378329516692822
2023-05-14,SUI,6.1600513337611185,LTC,3.975573280159539,DYDX,2.049571020019081,ETH,-0.07501667037118631,BNB,0.31517334533994745,DOGE,0.34886966229417116
2023-05-15,INJ,6.592122830440572,SUI,5.217161016949157,DYDX,5.195424213536692,CRV,0.0,ATOM,0.2507895225710488,BNB,0.7234726688102988
2023-05-16,LDO,5.1146636216576224,LTC,3.55703925405777,APE,1.7543859649122862,INJ,-3.198361430597141,SUI,-2.5278312547082904,SOL,-1.4776681443348094
2023-05-17,OP,8.395567333172727,LDO,6.621169664647919,INJ,6.415215989684087,APE,-0.4080443019527924,CRV,-0.3597122302158251,ETH,-0.16660364226251945
2023-05-18,STX,0.846944948578332,INJ,0.8052263749620092,CRV,-0.7211538461538436,LDO,-8.170820956562919,SUI,-4.837767953957794,ARB,-4.347466048360382
2023-05-19,INJ,5.44279055781085,LDO,2.3196725168211474,STX,1.839080459770126,OP,-3.851476014760147,ATOM,-0.8040388930441345,SUI,-0.7115249472944507
2023-05-20,INJ,3.904336550929255,OP,3.6473977809109437,STX,1.63611574003939,LDO,-0.14411231462971852,LINK,0.2777349174510002,SOL,0.32676502624020554
2023-05-21,APE,0.2607939727615083,CRV,0.24009603841537164,LTC,-0.6149530693710159,INJ,-7.37580844915372,SUI,-5.281752340575874,STX,-4.924129723296645
2023-05-22,AVAX,3.1861021240680687,OP,3.017105346209692,DOGE,2.547143259217566,LDO,-1.2866751145335864,LTC,-1.003162141533076,SUI,-0.09517464547443844
2023-05-23,ARB,4.059600285510334,DYDX,3.5265700483091855,OP,3.198861527038721,STX,-1.1195770486704948,LINK,-0.10754340144416563,DOGE,0.09619348632678992
2023-05-24,LDO,0.9353615910993041,ATOM,-0.9234577303884217,BNB,-2.243384890706901,LTC,-6.5075212557226925,STX,-6.151645207439193,SUI,-6.126956688754426
2023-05-25,LTC,1.8719095832352206,OP,1.808443604284804,SUI,1.6570008285004212,APE,-2.1798365122615793,LDO,-1.5620409362452126,GMX,-1.4392523364486043
2023-05-26,SNX,4.472427268779855,ARB,4.355667778879968,GMX,3.6740909956215484,OP,-0.9729064039408875,CFX,-0.8812010443864149,LDO,-0.713750935862234
2023-05-27,SOL,5.400382053797292,CFX,5.2579365079365115,DOGE,2.0396680264453515,CRV,-0.8196721311475419,OP,-0.47933266932270735,LDO,-0.19216182048040764
2023-05-28,INJ,8.381768124808818,SUI,4.966363276612595,LDO,4.755007242395504,DOGE,0.505879135903764,CRV,0.8196721311475308,SOL,0.8877461919084118
2023-05-29,LDO,4.520396912899671,INJ,2.991096271563709,LINK,0.18113207547170163,OP,-7.706755528627685,CFX,-5.274325553197945,FTM,-4.2302158273381245
2023-05-30,DYDX,5.4013875123885,SOL,3.341927324025895,CFX,2.341244387427821,OP,-5.812873258128725,SUI,-3.3149705228568638,CRV,-1.1806375442739103
2023-05-31,DOGE,-1.2139605462822556,BNB,-1.514665297477702,APE,-1.5962441314553932,CFX,-11.968166513621048,OP,-6.59593160775832,ARB,-5.898101573908809
2023-06-01,LTC,3.7927232635060593,INJ,1.5225590166224379,OP,1.0787958305999101,APE,-2.946768060836502,LINK,-1.9935095039406603,SUI,-1.898734177215189
2023-06-02,LDO,10.5768768913012,INJ,7.155489049108965,ARB,6.986974898645726,BNB,0.7604812010358231,LTC,0.8988051179021017,LINK,1.1454573983994853
2023-06-03,OP,2.9277091716386927,LTC,1.6084656084656146,INJ,1.1363636363636465,CFX,-4.147465437788034,ARB,-1.9762845849802368,DYDX,-1.7518939393939337
2023-06-04,APE,6.432936635574138,SOL,3.4378111811845136,DYDX,2.9525653436592414,INJ,-1.440667256413497,LDO,-1.169260192993149,LTC,-0.8633396504527324
2023-06-05,LDO,-3.0381525222812455,ETH,-3.789360661663088,ARB,-4.082840236686391,APE,-13.986650485436892,SUI,-13.739167195096169,CFX,-13.290175171363284
2023-06-06,STX,9.955173701905128,LDO,9.278350515463906,APE,8.707767328456995,BNB,0.8391909338689052,ATOM,1.4707353676838508,SOL,2.1554965161160844
2023-06-07,STX,1.5943172849250287,LTC,-1.975935533723372,ETH,-2.839513377864311,SOL,-8.588114050154584,OP,-8.508368340334727,BNB,-7.566680929967184
2023-06-08,INJ,1.5215801024140552,FTM,1.5104703055269564,LINK,1.1822327309575886,LDO,-5.758795729039045,SUI,-4.3598161523309304,STX,-2.85626061448202
2023-06-09,DOGE,2.631189948263124,SUI,2.004146510020721,LTC,1.6628701594533224,SOL,-7.482703565726445,APE,-3.665638917437486,FTM,-2.520435967302459
2023-06-10,BTC,-2.3605912819931296,ETH,-4.68505844753333,SOL,-7.788217219169169,CFX,-19.443197126178713,DYDX,-17.757009345794383,APE,-17.521676300578026
2023-06-11,APE,4.342046964997781,ATOM,3.5486247544204375,SNX,3.009259259259256,GMX,-2.6192075218267385,STX,-1.1632200886262822,BNB,-1.010143524559115
2023-06-12,SUI,9.918726156908274,OP,3.766840802859517,ATOM,3.276555476697407,CRV,-4.3740573152337925,APE,-4.134697357203754,STX,-2.3211926778637593
