date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net
2025-12-02 13:00:00,2843.3,87688.0,-0.031119893663682063,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 14:00:00,2894.0,89226.0,-0.03989939113222096,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 15:00:00,3004.6,90800.0,-0.028999565595398735,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 16:00:00,2994.1,90699.0,-0.030807043752723473,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 17:00:00,3014.2,91391.0,-0.035680183985727254,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 18:00:00,3012.2,91893.0,-0.04467810968983876,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 19:00:00,3014.3,91842.0,-0.04313656864060711,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 20:00:00,2978.3,90966.0,-0.040570278837741114,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 21:00:00,2994.3,91502.0,-0.04415090948891098,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 22:00:00,3016.4,91935.0,-0.04397996790451408,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-02 23:00:00,2994.6,91237.0,-0.03963809392148221,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-03 00:00:00,3001.9,91607.0,-0.043360836046584694,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-03 01:00:00,3014.7,92203.0,-0.048972392295741685,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-03 02:00:00,3030.1,92793.0,-0.05358160577789661,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-03 03:00:00,3029.6,92594.0,-0.05048032671357561,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-03 04:00:00,3055.4,93318.0,-0.053850341594753104,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-03 05:00:00,3057.4,93617.0,-0.05806300151477117,,,0,0.0,0.0,0.0,0.0,1.0,1.0
