date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net
2025-12-04 00:00:00,3131.7,92034.0,-0.009054285726705302,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-05 00:00:00,3020.4,89294.0,0.000683255449581921,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-06 00:00:00,3037.0,89181.0,0.00808825462874374,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-07 00:00:00,3059.9,90344.0,-0.0040869086357702145,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-08 00:00:00,3125.4,90594.0,0.012894246615847038,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-09 00:00:00,3317.8,92654.0,0.03846981018398665,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-10 00:00:00,3323.7,91961.0,0.05165404911606508,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-11 00:00:00,3239.8,92481.0,0.01751925337905824,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-12 00:00:00,3086.3,90228.0,0.006456048294957384,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-13 00:00:00,3116.6,90222.0,0.016326795566364183,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-14 00:00:00,3063.3,88128.0,0.034758710021794315,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-15 00:00:00,2964.3,86427.0,0.03152168429662172,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-16 00:00:00,2961.4,87814.0,0.0063516272539647645,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-17 00:00:00,2832.0,86210.0,-0.010316179001255144,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-18 00:00:00,2827.3,85477.0,0.0009973961825302524,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-19 00:00:00,2978.2,88092.0,0.007205862086208548,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-20 00:00:00,2976.8,88317.0,0.0028596544152046377,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-21 00:00:00,3001.0,88607.0,0.005975110886815571,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-22 00:00:00,3008.4,88573.0,0.009021080238367674,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-23 00:00:00,2963.3,87459.0,0.013148141091381405,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-24 00:00:00,2946.7,87653.0,0.004163790549747581,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-25 00:00:00,2902.7,87200.0,-0.0030076041622209004,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-26 00:00:00,2926.7,87339.0,0.002806396397173394,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-27 00:00:00,2947.0,87844.0,0.000958190342942089,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-28 00:00:00,2949.3,87928.0,0.00028605178084539773,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-29 00:00:00,2936.9,87228.0,0.008217834487584064,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-30 00:00:00,2973.1,88466.0,-0.0009454160560924407,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2025-12-31 00:00:00,2972.0,87632.0,0.013077098196291104,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-01 00:00:00,3002.9,88809.0,0.0031479845802309114,-0.3698444217504967,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-02 00:00:00,3123.7,89932.0,0.02349423128167416,0.9735567029196586,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-03 00:00:00,3125.9,90600.0,0.012953582567289956,0.1803319679906419,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-04 00:00:00,3143.5,91511.0,0.003365873016651477,-0.530072896180874,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-05 00:00:00,3223.5,93832.0,-0.00956114913608097,-1.3874595884679772,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-06 00:00:00,3295.9,93801.0,0.013152480271168443,0.18685349157407571,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-07 00:00:00,3167.7,91373.0,0.013327936978193122,0.1984411513009594,,0,0.0,0.0,0.0,0.0,1.0,1.0
2026-01-08 00:00:00,3107.7,91079.0,-0.0008980189526166527,-0.784834932508713,,0,0.0,0.0,0.0,0.0,1.0,1.0
