beta_window,net_return_full,net_sharpe_full,max_drawdown_full,is_sharpe,oos_sharpe,is_mdd,oos_mdd,sharpe_decay_is_minus_oos,drawdown_stability_gap,robust_score
60,-0.7440081918520035,-1.847204069669916,-0.754825760988732,-1.7834595710771115,-2.017796844518028,-0.6209652464097257,-0.36444562075916676,0.2343372734409166,0.25651962565055897,-3.1203763484073788
90,-0.7441176818405371,-1.8564451601247605,-0.754150358004285,-1.7880018082824565,-2.040021903404173,-0.6169876066266102,-0.36345103356865327,0.25202009512171664,0.25353657305795696,-3.146470591160295
40,-0.7614402551623434,-1.94011265102383,-0.7701788215178461,-1.8781970185268877,-2.1091508211258643,-0.6377381032138235,-0.37048964807093965,0.23095380259897658,0.26724845514288387,-3.2328554737101154
120,-0.747569931942681,-1.8721438574422384,-0.7567578704737625,-1.7684310082666628,-2.148347755627766,-0.6111173250970273,-0.37451024377229636,0.37991674736110315,0.23660708132473096,-3.3239336981776413
