date,asset_close,btc_close,spread,z,rolling_beta,position,hedged_ret,fee_cost,strategy_ret_gross,strategy_ret_net,equity_curve_gross,equity_curve_net
2023-12-11 08:00:00,2252.5,42410.0,-0.04087592820588437,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-11 12:00:00,2221.8,41834.0,-0.050028006267034186,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-11 16:00:00,2190.4,40813.0,-0.056002320949700035,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-11 20:00:00,2227.5,41299.0,-0.04316348188754571,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-12 00:00:00,2234.1,41796.0,-0.04420345674866599,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-12 04:00:00,2235.3,41952.0,-0.04491175261761615,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-12 08:00:00,2209.3,41619.0,-0.05394764025471499,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-12 12:00:00,2194.7,41385.0,-0.05869333375427299,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-12 16:00:00,2180.0,41186.0,-0.06380264390186063,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-12 20:00:00,2205.1,41549.0,-0.05528782805762944,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-13 00:00:00,2167.8,40849.0,-0.06666838098594141,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-13 04:00:00,2174.5,41152.0,-0.0660527128916959,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-13 08:00:00,2173.5,41037.0,-0.06557728660246376,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-13 12:00:00,2219.6,41978.0,-0.052167296886349135,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-13 16:00:00,2255.2,42752.0,-0.04236269909774393,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-13 20:00:00,2263.5,42891.0,-0.039774097446443335,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-14 00:00:00,2253.7,42716.0,-0.04274646093478829,,,0,0.0,0.0,0.0,0.0,1.0,1.0
2023-12-14 04:00:00,2286.5,42888.0,-0.029640740558177114,,,0,0.0,0.0,0.0,0.0,1.0,1.0
