run,period,mode,initial_capital,ending_capital,pnl_usd,return_pct,max_drawdown_pct,sharpe_365,cycle_open_count,cycle_close_count,win_rate_pct
2025Y_strict,2025-01-01_to_2025-12-31,strict,100000.0,100000.0,0.0,0.0,0.0,0.0,0,0,0.0
2025Y_nearest,2025-01-01_to_2025-12-31,nearest,100000.0,282674.5884,182674.5884,182.6746,-48.8474,1.530741,57,46,100.0
