timestamp,open,high,low,close
2025-11-23 16:15:00,87145.5,87157.0,87003.5,87016.0
2025-11-23 16:20:00,87029.5,87044.5,86940.0,86940.0
2025-11-23 16:25:00,86940.0,87078.5,86938.5,87016.0
2025-11-23 16:30:00,87017.5,87251.5,86885.5,87229.5
2025-11-23 16:35:00,87229.5,87328.0,87176.5,87325.0
2025-11-23 16:40:00,87315.0,87368.0,87283.0,87307.5
2025-11-23 16:45:00,87294.5,87294.5,87178.5,87180.0
2025-11-23 16:50:00,87185.0,87185.5,87060.0,87060.0
2025-11-23 16:55:00,87060.5,87101.5,86633.0,86647.5
2025-11-23 17:00:00,86633.5,86687.5,86464.5,86649.5
2025-11-23 17:05:00,86670.0,86773.5,86621.5,86674.5
2025-11-23 17:10:00,86674.0,86712.0,86572.5,86660.0
2025-11-23 17:15:00,86660.0,86697.5,86520.5,86615.5
2025-11-23 17:20:00,86625.0,86681.0,86560.5,86607.0
2025-11-23 17:25:00,86607.0,86868.5,86603.0,86856.5
2025-11-23 17:30:00,86853.5,86853.5,86706.5,86791.0
2025-11-23 17:35:00,86791.0,86920.0,86790.5,86805.0
2025-11-23 17:40:00,86790.5,86835.0,86776.5,86823.5
2025-11-23 17:45:00,86823.5,86830.0,86558.0,86603.0
2025-11-23 17:50:00,86603.0,86674.5,86577.5,86629.5
2025-11-23 17:55:00,86629.5,86742.0,86629.5,86704.5
2025-11-23 18:00:00,86693.0,86892.0,86693.0,86784.0
2025-11-23 18:05:00,86784.5,86845.0,86784.0,86832.0
2025-11-23 18:10:00,86832.0,86832.0,86670.0,86757.0
2025-11-23 18:15:00,86757.0,87100.0,86734.0,87060.0
2025-11-23 18:20:00,87060.0,87120.0,86914.5,86936.5
2025-11-23 18:25:00,86962.0,86962.0,86796.0,86850.0
2025-11-23 18:30:00,86850.0,86982.0,86817.5,86975.5
2025-11-23 18:35:00,86975.0,87100.5,86975.0,87098.5
2025-11-23 18:40:00,87099.0,87215.5,87099.0,87156.5
2025-11-23 18:45:00,87156.0,87156.0,86927.5,86939.5
2025-11-23 18:50:00,86949.0,87048.5,86885.5,87010.5
2025-11-23 18:55:00,87031.5,87031.5,86885.5,86931.5
2025-11-23 19:00:00,86944.5,87145.0,86886.0,87145.0
2025-11-23 19:05:00,87152.5,87201.0,87001.0,87125.0
2025-11-23 19:10:00,87138.0,87201.5,87129.0,87201.0
2025-11-23 19:15:00,87200.5,87358.5,87183.0,87343.0
2025-11-23 19:20:00,87324.5,87496.5,87269.5,87460.5
2025-11-23 19:25:00,87460.5,87461.5,87282.0,87282.0
2025-11-23 19:30:00,87270.5,87567.0,87270.5,87532.5
2025-11-23 19:35:00,87532.5,87715.5,87477.0,87543.5
2025-11-23 19:40:00,87529.0,87617.5,87468.5,87583.0
2025-11-23 19:45:00,87583.0,87604.5,87317.5,87479.5
2025-11-23 19:50:00,87479.5,87550.0,87468.0,87485.5
2025-11-23 19:55:00,87485.5,87503.0,87238.0,87291.0
2025-11-23 20:00:00,87272.5,87459.0,87272.5,87459.0
2025-11-23 20:05:00,87458.5,87458.5,87188.5,87264.0
2025-11-23 20:10:00,87264.0,87398.0,87216.5,87398.0
2025-11-23 20:15:00,87398.0,87549.0,87370.5,87549.0
2025-11-23 20:20:00,87545.0,87655.0,87410.0,87625.5
2025-11-23 20:25:00,87628.0,87641.0,87559.5,87601.5
2025-11-23 20:30:00,87597.5,87607.5,87393.0,87417.5
2025-11-23 20:35:00,87417.5,87628.5,87417.5,87607.5
2025-11-23 20:40:00,87607.0,87607.0,87411.5,87516.5
2025-11-23 20:45:00,87509.0,87570.0,87429.0,87433.5
