date,equity_usd,cash_usd,option_mtm_usd,hedge_units,spot_close,active_cycles
2024-07-02,0.0,0.0,0.0,-0.0,60786.5,0
2024-07-03,0.0,0.0,0.0,-0.0,58175.5,0
2024-07-04,0.0,0.0,0.0,-0.0,54350.0,0
2024-07-05,0.0,0.0,0.0,-0.0,56620.5,0
2024-07-06,0.0,0.0,0.0,-0.0,57375.5,0
2024-07-07,0.0,0.0,0.0,-0.0,55862.5,0
2024-07-08,0.0,0.0,0.0,-0.0,57100.0,0
2024-07-09,0.0,0.0,0.0,-0.0,59020.5,0
2024-07-10,0.0,0.0,0.0,-0.0,58197.0,0
2024-07-11,0.0,0.0,0.0,-0.0,57151.5,0
2024-07-12,0.0,0.0,0.0,-0.0,58197.0,0
2024-07-13,0.0,0.0,0.0,-0.0,60109.5,0
2024-07-14,0.0,0.0,0.0,-0.0,62885.5,0
2024-07-15,0.0,0.0,0.0,-0.0,62980.5,0
2024-07-16,0.0,0.0,0.0,-0.0,65303.0,0
2024-07-17,0.0,0.0,0.0,-0.0,64681.0,0
2024-07-18,0.0,0.0,0.0,-0.0,63747.0,0
2024-07-19,0.0,0.0,0.0,-0.0,66645.0,0
2024-07-20,0.0,0.0,0.0,-0.0,66748.5,0
2024-07-21,0.0,0.0,0.0,-0.0,67276.5,0
2024-07-22,0.0,0.0,0.0,-0.0,66610.0,0
2024-07-23,0.0,0.0,0.0,-0.0,66072.5,0
2024-07-24,0.0,0.0,0.0,-0.0,64117.5,0
2024-07-25,0.0,0.0,0.0,-0.0,66960.0,0
2024-07-26,0.0,0.0,0.0,-0.0,68090.0,0
2024-07-27,0.0,0.0,0.0,-0.0,67537.5,0
2024-07-28,0.0,0.0,0.0,-0.0,69555.5,0
2024-07-29,0.0,0.0,0.0,-0.0,66943.0,0
2024-07-30,0.0,0.0,0.0,-0.0,66187.0,0
2024-07-31,0.0,0.0,0.0,-0.0,64309.0,0
2024-08-01,0.0,0.0,0.0,-0.0,64096.0,0
2024-08-02,0.0,0.0,0.0,-0.0,61613.0,0
2024-08-03,0.0,0.0,0.0,-0.0,60331.0,0
2024-08-04,0.0,0.0,0.0,-0.0,52668.0,0
2024-08-05,0.0,0.0,0.0,-0.0,56034.0,0
2024-08-06,0.0,0.0,0.0,-0.0,56949.0,0
2024-08-07,0.0,0.0,0.0,-0.0,57216.0,0
2024-08-08,0.0,0.0,0.0,-0.0,60862.5,0
2024-08-09,0.0,0.0,0.0,-0.0,60890.5,0
2024-08-10,0.0,0.0,0.0,-0.0,61300.0,0
2024-08-11,0.0,0.0,0.0,-0.0,58674.0,0
2024-08-12,0.0,0.0,0.0,-0.0,59256.5,0
2024-08-13,0.0,0.0,0.0,-0.0,60943.5,0
2024-08-14,0.0,0.0,0.0,-0.0,58062.5,0
2024-08-15,0.0,0.0,0.0,-0.0,58485.5,0
2024-08-16,0.0,0.0,0.0,-0.0,59260.0,0
2024-08-17,0.0,0.0,0.0,-0.0,59597.5,0
2024-08-18,0.0,0.0,0.0,-0.0,58507.0,0
2024-08-19,0.0,0.0,0.0,-0.0,60964.0,0
2024-08-20,0.0,0.0,0.0,-0.0,59734.0,0
2024-08-21,0.0,0.0,0.0,-0.0,61009.5,0
2024-08-22,0.0,0.0,0.0,-0.0,61060.5,0
2024-08-23,0.0,0.0,0.0,-0.0,64370.0,0
2024-08-24,0.0,0.0,0.0,-0.0,63891.0,0
2024-08-25,0.0,0.0,0.0,-0.0,63632.5,0
2024-08-26,0.0,0.0,0.0,-0.0,62933.0,0
2024-08-27,0.0,0.0,0.0,-0.0,58601.5,0
2024-08-28,0.0,0.0,0.0,-0.0,59591.0,0
2024-08-29,0.0,0.0,0.0,-0.0,59300.0,0
2024-08-30,0.0,0.0,0.0,-0.0,59081.5,0
2024-08-31,0.0,0.0,0.0,-0.0,58466.0,0
2024-09-01,0.0,0.0,0.0,-0.0,57534.5,0
2024-09-02,0.0,0.0,0.0,-0.0,59113.0,0
2024-09-03,0.0,0.0,0.0,-0.0,56717.5,0
2024-09-04,0.0,0.0,0.0,-0.0,57159.0,0
2024-09-05,0.0,0.0,0.0,-0.0,55758.0,0
2024-09-06,0.0,0.0,0.0,-0.0,54290.0,0
2024-09-07,0.0,0.0,0.0,-0.0,54425.0,0
2024-09-08,0.0,0.0,0.0,-0.0,54963.0,0
2024-09-09,0.0,0.0,0.0,-0.0,57236.0,0
2024-09-10,0.0,0.0,0.0,-0.0,56696.5,0
2024-09-11,0.0,0.0,0.0,-0.0,58144.0,0
2024-09-12,0.0,0.0,0.0,-0.0,58099.5,0
2024-09-13,0.0,0.0,0.0,-0.0,60195.0,0
2024-09-14,0.0,0.0,0.0,-0.0,60205.5,0
2024-09-15,0.0,0.0,0.0,-0.0,58889.0,0
2024-09-16,0.0,0.0,0.0,-0.0,58697.5,0
2024-09-17,0.0,0.0,0.0,-0.0,60453.0,0
2024-09-18,0.0,0.0,0.0,-0.0,62114.5,0
2024-09-19,0.0,0.0,0.0,-0.0,63531.5,0
2024-09-20,0.0,0.0,0.0,-0.0,63113.0,0
2024-09-21,0.0,0.0,0.0,-0.0,62936.5,0
2024-09-22,0.0,0.0,0.0,-0.0,63552.5,0
2024-09-23,0.0,0.0,0.0,-0.0,63569.0,0
2024-09-24,0.0,0.0,0.0,-0.0,63860.0,0
2024-09-25,0.0,0.0,0.0,-0.0,63858.0,0
2024-09-26,0.0,0.0,0.0,-0.0,65484.5,0
2024-09-27,0.0,0.0,0.0,-0.0,65875.0,0
2024-09-28,0.0,0.0,0.0,-0.0,65490.5,0
2024-09-29,0.0,0.0,0.0,-0.0,64579.5,0
2024-09-30,0.0,0.0,0.0,-0.0,64031.0,0
2024-10-01,0.0,0.0,0.0,-0.0,61721.5,0
2024-10-02,0.0,0.0,0.0,-0.0,60910.0,0
2024-10-03,0.0,0.0,0.0,-0.0,61423.5,0
2024-10-04,0.0,0.0,0.0,-0.0,62100.5,0
2024-10-05,0.0,0.0,0.0,-0.0,61964.5,0
2024-10-06,0.0,0.0,0.0,-0.0,63555.5,0
2024-10-07,0.0,0.0,0.0,-0.0,62300.0,0
2024-10-08,0.0,0.0,0.0,-0.0,62259.0,0
2024-10-09,0.0,0.0,0.0,-0.0,60844.5,0
2024-10-10,0.0,0.0,0.0,-0.0,60618.5,0
2024-10-11,0.0,0.0,0.0,-0.0,62770.5,0
2024-10-12,0.0,0.0,0.0,-0.0,62843.5,0
2024-10-13,0.0,0.0,0.0,-0.0,64605.5,0
2024-10-14,0.0,0.0,0.0,-0.0,65646.5,0
2024-10-15,0.0,0.0,0.0,-0.0,66972.5,0
2024-10-16,0.0,0.0,0.0,-0.0,67285.5,0
2024-10-17,0.0,0.0,0.0,-0.0,67978.5,0
2024-10-18,0.0,0.0,0.0,-0.0,68349.0,0
2024-10-19,0.0,0.0,0.0,-0.0,68386.5,0
2024-10-20,0.0,0.0,0.0,-0.0,68508.5,0
2024-10-21,0.0,0.0,0.0,-0.0,67378.0,0
2024-10-22,0.0,0.0,0.0,-0.0,66829.0,0
2024-10-23,0.0,0.0,0.0,-0.0,67078.0,0
2024-10-24,0.0,0.0,0.0,-0.0,67480.5,0
2024-10-25,0.0,0.0,0.0,-0.0,66924.0,0
2024-10-26,0.0,0.0,0.0,-0.0,67130.5,0
2024-10-27,0.0,0.0,0.0,-0.0,68372.0,0
2024-10-28,0.0,0.0,0.0,-0.0,70983.5,0
2024-10-29,0.0,0.0,0.0,-0.0,72224.5,0
2024-10-30,0.0,0.0,0.0,-0.0,72416.5,0
2024-10-31,0.0,0.0,0.0,-0.0,69171.0,0
2024-11-01,0.0,0.0,0.0,-0.0,69774.5,0
2024-11-02,0.0,0.0,0.0,-0.0,68341.0,0
2024-11-03,0.0,0.0,0.0,-0.0,68566.5,0
2024-11-04,0.0,0.0,0.0,-0.0,68877.0,0
2024-11-05,0.0,0.0,0.0,-0.0,73432.5,0
2024-11-06,0.0,0.0,0.0,-0.0,74839.5,0
2024-11-07,0.0,0.0,0.0,-0.0,76395.0,0
2024-11-08,0.0,0.0,0.0,-0.0,76602.0,0
2024-11-09,0.0,0.0,0.0,-0.0,78898.0,0
2024-11-10,0.0,0.0,0.0,-0.0,81225.0,0
2024-11-11,0.0,0.0,0.0,-0.0,89192.0,0
2024-11-12,0.0,0.0,0.0,-0.0,87475.5,0
2024-11-13,0.0,0.0,0.0,-0.0,90900.0,0
2024-11-14,0.0,0.0,0.0,-0.0,87724.5,0
2024-11-15,0.0,0.0,0.0,-0.0,91183.5,0
2024-11-16,0.0,0.0,0.0,-0.0,90612.0,0
2024-11-17,0.0,0.0,0.0,-0.0,91795.5,0
2024-11-18,0.0,0.0,0.0,-0.0,91761.5,0
2024-11-19,0.0,0.0,0.0,-0.0,92962.5,0
2024-11-20,0.0,0.0,0.0,-0.0,97039.5,0
2024-11-21,0.0,0.0,0.0,-0.0,99466.0,0
2024-11-22,0.0,0.0,0.0,-0.0,98715.0,0
2024-11-23,0.0,0.0,0.0,-0.0,98520.5,0
2024-11-24,0.0,0.0,0.0,-0.0,98197.5,0
2024-11-25,0.0,0.0,0.0,-0.0,93824.5,0
2024-11-26,0.0,0.0,0.0,-0.0,93625.5,0
2024-11-27,0.0,0.0,0.0,-0.0,95386.0,0
2024-11-28,0.0,0.0,0.0,-0.0,95709.5,0
2024-11-29,0.0,0.0,0.0,-0.0,96859.5,0
2024-11-30,0.0,0.0,0.0,-0.0,96530.0,0
2024-12-01,0.0,0.0,0.0,-0.0,96077.5,0
2024-12-02,0.0,0.0,0.0,-0.0,95602.0,0
2024-12-03,0.0,0.0,0.0,-0.0,96740.5,0
2024-12-04,0.0,0.0,0.0,-0.0,102418.5,0
2024-12-05,0.0,0.0,0.0,-0.0,98240.0,0
2024-12-06,0.0,0.0,0.0,-0.0,99622.5,0
2024-12-07,0.0,0.0,0.0,-0.0,99738.5,0
2024-12-08,0.0,0.0,0.0,-0.0,99656.0,0
2024-12-09,0.0,0.0,0.0,-0.0,97242.5,0
