timestamp,coin,funding_rate,premium,datetime
1766995200014,OP,1.25e-05,-0.000398724,2025-12-29 08:00:00.014
1766995200014,PAXG,1.25e-05,-0.0002246583,2025-12-29 08:00:00.014
1766995200014,PENGU,6.2905e-06,-0.0004496761,2025-12-29 08:00:00.014
1766995200014,PNUT,1.25e-05,-0.0001721282,2025-12-29 08:00:00.014
1766995200014,POL,1.25e-05,-0.0002422408,2025-12-29 08:00:00.014
1766995200014,PROMPT,1.25e-05,-2.725e-07,2025-12-29 08:00:00.014
1766995200014,PROVE,-2.4029e-05,-0.000692232,2025-12-29 08:00:00.014
1766995200014,PUMP,1.25e-05,4.10082e-05,2025-12-29 08:00:00.014
1766995200014,PURR,1.25e-05,9.2187e-06,2025-12-29 08:00:00.014
1766995200014,RENDER,1.25e-05,-8.16076e-05,2025-12-29 08:00:00.014
1766995200014,RESOLV,-0.0001552147,-0.001741718,2025-12-29 08:00:00.014
1766995200014,RNDR,0.0,0.0,2025-12-29 08:00:00.014
1766995200014,S,-1.46141e-05,-0.0006169127,2025-12-29 08:00:00.014
1766995200014,SAND,1.25e-05,-0.000317339,2025-12-29 08:00:00.014
1766995200014,SCR,-7.7804e-06,-0.0005622428,2025-12-29 08:00:00.014
1766995200014,SEI,-2.4888e-05,-0.0006991042,2025-12-29 08:00:00.014
1766995200014,SKY,-2.87962e-05,-0.0007303692,2025-12-29 08:00:00.014
1766995200014,SNX,1.25e-05,-0.0001401625,2025-12-29 08:00:00.014
1766995200014,SOL,1.25e-05,-0.0003004888,2025-12-29 08:00:00.014
1766995200014,SOPH,1.25e-05,-0.000146891,2025-12-29 08:00:00.014
1766995200014,SPX,1.25e-05,-8.95086e-05,2025-12-29 08:00:00.014
1766995200014,STX,-4.77658e-05,-0.000882126,2025-12-29 08:00:00.014
1766995200014,SUI,1.25e-05,-0.0003795017,2025-12-29 08:00:00.014
1766995200014,SYRUP,1.25e-05,-4.8766e-06,2025-12-29 08:00:00.014
1766995200014,TRUMP,8.869e-07,-0.0004929047,2025-12-29 08:00:00.014
