coin,hour,funding_rate,position_type,strategy,funding_pnl,price_pnl,hedge_pnl,net_pnl,hedge_ratio,valid
SOPH,2025-05-28 15:00:00,-0.0016590006,long,no_hedge,0.0016590006,0.017384492550579278,0.0,0.01904349315057928,0.0,True
SOPH,2025-05-28 15:00:00,-0.0016590006,long,delta_btc,0.0016590006,0.017384492550579278,0.0,0.0,0.0,False
SOPH,2025-05-28 15:00:00,-0.0016590006,long,beta_btc,0.0016590006,0.017384492550579278,0.0,0.0,0.0,False
SOPH,2025-05-28 15:00:00,-0.0016590006,long,beta_eth,0.0016590006,0.017384492550579278,0.0,0.0,0.0,False
SOPH,2025-05-28 15:00:00,-0.0016590006,long,multi_hedge,0.0016590006,0.017384492550579278,0.0,0.0,0.0,False
SOPH,2025-05-28 16:00:00,-0.0042861883,long,no_hedge,0.0042861883,-0.07098541497001543,0.0,-0.06669922667001543,0.0,True
SOPH,2025-05-28 16:00:00,-0.0042861883,long,delta_btc,0.0042861883,-0.07098541497001543,0.0,0.0,0.0,False
SOPH,2025-05-28 16:00:00,-0.0042861883,long,beta_btc,0.0042861883,-0.07098541497001543,0.0,0.0,0.0,False
SOPH,2025-05-28 16:00:00,-0.0042861883,long,beta_eth,0.0042861883,-0.07098541497001543,0.0,0.0,0.0,False
SOPH,2025-05-28 16:00:00,-0.0042861883,long,multi_hedge,0.0042861883,-0.07098541497001543,0.0,0.0,0.0,False
SOPH,2025-05-28 17:00:00,-0.0053181415,long,no_hedge,0.0053181415,0.01397810044468506,0.0,0.019296241944685058,0.0,True
SOPH,2025-05-28 17:00:00,-0.0053181415,long,delta_btc,0.0053181415,0.01397810044468506,0.0,0.0,0.0,False
SOPH,2025-05-28 17:00:00,-0.0053181415,long,beta_btc,0.0053181415,0.01397810044468506,0.0,0.0,0.0,False
SOPH,2025-05-28 17:00:00,-0.0053181415,long,beta_eth,0.0053181415,0.01397810044468506,0.0,0.0,0.0,False
SOPH,2025-05-28 17:00:00,-0.0053181415,long,multi_hedge,0.0053181415,0.01397810044468506,0.0,0.0,0.0,False
SOPH,2025-05-28 18:00:00,-0.00225472,long,no_hedge,0.00225472,0.009997170612091155,0.0,0.012251890612091155,0.0,True
SOPH,2025-05-28 18:00:00,-0.00225472,long,delta_btc,0.00225472,0.009997170612091155,0.0,0.0,0.0,False
SOPH,2025-05-28 18:00:00,-0.00225472,long,beta_btc,0.00225472,0.009997170612091155,0.0,0.0,0.0,False
