name,return,win_rate,max_dd,trades,avg_beta,sharpe,final_capital
Mean Reversion (LONG),-62.18014163565627,43.27840416305291,64.15464738059632,4612,0.0,-4.841262990526311,3781.9858364343727
Mean Reversion + Delta Hedge,-50.65716876169849,40.52471812662619,50.706741039406964,4612,1.0,-8.06541567688641,4934.283123830151
Mean Reversion + Beta Hedge,-48.70969312394438,39.85255854293148,48.7612219331433,4612,1.1597559053700188,-6.954612810923857,5129.030687605562
Mean Reversion + Normal Beta,-47.09346343234469,39.26712922810061,47.14661598677877,4612,1.372282330174464,-7.006075384165203,5290.653656765531
Trend Following (SHORT),-20.835858364343494,50.02168256721596,30.083148189790016,4612,0.0,-1.622252174435403,7916.414163565651
Trend Following + Delta Hedge,-32.35883123830184,47.46313963573287,34.60964614480459,4612,1.0,-5.152033387077975,6764.116876169816
Trend Following + Beta Hedge,-34.30630687605574,46.96444058976583,35.93165139462769,4612,1.1597559053700188,-4.898143798372997,6569.369312394426
Trend Following + Normal Beta,-35.922536567655804,46.40069384215091,37.47499583052532,4612,1.372282330174464,-5.3441811419324585,6407.746343234419
