name,return,win_rate,max_dd,trades,avg_beta,final_capital
Mean Reversion (LONG),17.90092644061413,50.48275862068966,3.5176547920724035,725,0.0,11790.092644061413
Mean Reversion + Delta Hedge,5.61816433538017,44.13793103448276,2.139791080572941,725,1.0,10561.816433538017
Mean Reversion + Beta Hedge,4.34133296762806,43.310344827586206,2.3426272260695487,725,1.1676569361097335,10434.133296762806
Trend Following (SHORT),-30.950926440614296,44.55172413793104,31.59263324946304,725,0.0,6904.907355938571
Trend Following + Delta Hedge,-18.668164335379906,40.827586206896555,18.901780264830222,725,1.0,8133.183566462009
Trend Following + Beta Hedge,-17.39133296762824,40.96551724137931,17.58085302882466,725,1.1676569361097335,8260.866703237176
