coin,entry_hour,direction,holding_hours,entry_price,exit_price,exit_hour,price_return,funding_collected,entry_funding,trading_fee,gross_pnl,net_pnl,valid
SOPH,2025-05-28 15:00:00,long,4,0.066381,0.064254,2025-05-28 19:00:00,-0.03204230126090282,0.0135180504,-0.0016590006,0.0009,-0.01852425086090282,-0.019424250860902822,True
SOPH,2025-05-28 16:00:00,long,4,0.067535,0.063643,2025-05-28 20:00:00,-0.05762937735988736,0.0148785073,-0.0042861883,0.0009,-0.042750870059887355,-0.04365087005988735,True
SOPH,2025-05-28 17:00:00,long,4,0.062741,0.066665,2025-05-28 21:00:00,0.0625428348288997,0.013442873999999999,-0.0053181415,0.0009,0.0759857088288997,0.0750857088288997,True
SOPH,2025-05-28 18:00:00,long,4,0.063618,0.066551,2025-05-28 22:00:00,0.04610330409632502,0.0100151863,-0.00225472,0.0009,0.05611849039632502,0.05521849039632502,True
SOPH,2025-05-28 19:00:00,long,4,0.064254,0.06632,2025-05-28 23:00:00,0.032153640240296294,0.0101842521,-0.0030194575,0.0009,0.04233789234029629,0.041437892340296295,True
SOPH,2025-05-28 20:00:00,long,4,0.063643,0.063316,2025-05-29 00:00:00,-0.005138035604858473,0.0094197998,-0.002850555,0.0009,0.004281764195141527,0.003381764195141527,True
SOPH,2025-05-28 21:00:00,long,4,0.066665,0.063227,2025-05-29 01:00:00,-0.051571289282232,0.0083413098,-0.0018904538,0.0009,-0.043229979482232,-0.044129979482232,True
SOPH,2025-05-28 22:00:00,long,4,0.066551,0.063252,2025-05-29 02:00:00,-0.049571005694880564,0.0075242489,-0.0024237858,0.0009,-0.04204675679488056,-0.04294675679488056,True
SOPH,2025-05-28 23:00:00,long,4,0.06632,0.064262,2025-05-29 03:00:00,-0.031031363088057963,0.0060697319,-0.0022550052,0.0009,-0.024961631188057963,-0.025861631188057965,True
SOPH,2025-05-29 00:00:00,long,4,0.063316,0.063071,2025-05-29 04:00:00,-0.0038694800682291244,0.0053643879999999994,-0.001772065,0.0009,0.001494907931770875,0.0005949079317708751,True
SOPH,2025-05-29 01:00:00,long,4,0.063227,0.06297,2025-05-29 05:00:00,-0.004064719186423636,0.0046012015,-0.0010733929,0.0009,0.0005364823135763641,-0.00036351768642363586,True
SOPH,2025-05-29 03:00:00,long,4,0.064262,0.063507,2025-05-29 07:00:00,-0.011748778438268426,0.0060042032,-0.0015496613,0.0009,-0.005744575238268427,-0.0066445752382684265,True
SOPH,2025-05-29 04:00:00,long,4,0.063071,0.063339,2025-05-29 08:00:00,0.004249179496123485,0.0057491923,-0.0010088785,0.0009,0.009998371796123486,0.009098371796123486,True
SOPH,2025-05-29 05:00:00,long,4,0.06297,0.06309,2025-05-29 09:00:00,0.0019056693663648582,0.0057909015,-0.0018386844,0.0009,0.007696570866364858,0.006796570866364858,True
SOPH,2025-05-29 06:00:00,long,4,0.063544,0.061194,2025-05-29 10:00:00,-0.03698224852071014,0.0048582797999999995,-0.001606979,0.0009,-0.03212396872071014,-0.03302396872071014,True
SOPH,2025-05-29 07:00:00,long,4,0.063507,0.061436,2025-05-29 11:00:00,-0.03261057836144042,0.0041245616,-0.0012946504,0.0009,-0.02848601676144042,-0.029386016761440422,True
SOPH,2025-05-29 08:00:00,long,4,0.063339,0.061633,2025-05-29 12:00:00,-0.026934432182383776,0.0035747154,-0.0010505877,0.0009,-0.023359716782383775,-0.024259716782383776,True
SOPH,2025-05-29 13:00:00,long,4,0.060685,0.05706,2025-05-29 17:00:00,-0.059734695559034406,0.0046715465,-0.0013951683,0.0009,-0.05506314905903441,-0.055963149059034406,True
SOPH,2025-05-29 14:00:00,long,4,0.062022,0.056951,2025-05-29 18:00:00,-0.08176131050272482,0.0037880851,-0.0012264527,0.0009,-0.07797322540272482,-0.07887322540272482,True
SOPH,2025-05-29 15:00:00,long,4,0.061228,0.05697,2025-05-29 19:00:00,-0.06954334618148557,0.00318369,-0.0012401127,0.0009,-0.06635965618148557,-0.06725965618148556,True
SOPH,2025-05-30 14:00:00,long,4,0.057874,0.058227,2025-05-30 18:00:00,0.006099457442029221,0.0066601078000000005,-0.0027598475,0.0009,0.012759565242029222,0.011859565242029222,True
SOPH,2025-05-30 15:00:00,long,4,0.057687,0.058853,2025-05-30 19:00:00,0.020212526219078826,0.0048967402,-0.0017494141,0.0009,0.025109266419078825,0.024209266419078824,True
SOPH,2025-05-30 17:00:00,long,4,0.057656,0.058064,2025-05-30 21:00:00,0.007076453448036608,0.0041700249,-0.0012789488,0.0009,0.011246478348036607,0.010346478348036607,True
