entry_threshold,exit_threshold,min_consecutive,config,n_trades,avg_pnl,std_pnl,sharpe,win_rate,total_pnl,total_dollar_pnl,final_capital,total_return,avg_hold,avg_positions,max_positions,avg_exposure
0.0001,5e-05,1,Entry>0.01%_Exit<0.005%_Cons>=1,1781,-0.0008216864816073324,0.07461075741828396,-0.011012976010962886,0.48343627175743964,-1.463423623742659,-20119.643990672637,79880.35600932733,-0.20119643990672673,9.408759124087592,3.8745098039215686,20,0.39135515640753277
0.0001,5e-05,2,Entry>0.01%_Exit<0.005%_Cons>=2,1736,-0.0007454752000079048,0.07234575451376869,-0.010304339280420767,0.48502304147465436,-1.2941449472137228,-18581.000053221316,81418.99994677855,-0.18581000053221447,9.54205069124424,3.823529411764706,20,0.3851204922218874
0.0001,5e-05,3,Entry>0.01%_Exit<0.005%_Cons>=3,1657,-0.0003531970988634114,0.06856933431979954,-0.0051509483410782505,0.4888352444176222,-0.5852475928166727,-11740.386750071299,88259.61324992872,-0.1174038675007128,9.811707905853954,3.784313725490196,20,0.38067518940910355
0.0001,5e-05,4,Entry>0.01%_Exit<0.005%_Cons>=4,1572,-0.0005269280708904339,0.0702642620904406,-0.007499232970129236,0.494910941475827,-0.8283309274397621,-13929.030682366147,86070.96931763385,-0.13929030682366153,10.151399491094148,3.6901960784313728,20,0.3707771338653213
0.0002,5e-05,1,Entry>0.02%_Exit<0.005%_Cons>=1,626,0.0016656379631630137,0.11502139110232572,0.014481114749179335,0.49201277955271566,1.0426893649400466,5262.441105779684,105262.4411057798,0.05262441105779799,16.963258785942493,2.545098039215686,20,0.2553495070101281
0.0002,5e-05,2,Entry>0.02%_Exit<0.005%_Cons>=2,609,0.001509686420259699,0.11049375063509537,0.013663093266201317,0.49261083743842365,0.9193990299381567,3734.424952274134,103734.42495227417,0.03734424952274174,17.29064039408867,2.4901960784313726,20,0.24952743698681487
0.0002,5e-05,3,Entry>0.02%_Exit<0.005%_Cons>=3,581,0.002541305006761891,0.10529809364796894,0.02413438761064322,0.4991394148020654,1.4764982089286587,10039.459634245593,110039.45963424546,0.10039459634245461,17.78141135972461,2.447058823529412,20,0.24508606492255222
0.0002,5e-05,4,Entry>0.02%_Exit<0.005%_Cons>=4,554,0.0019263779494014,0.10702422838304095,0.017999456557695245,0.5180505415162455,1.0672133839683755,5698.530470947588,105698.53047094763,0.05698530470947633,18.323104693140795,2.376470588235294,20,0.2379202018519322
0.0002,0.0001,1,Entry>0.02%_Exit<0.010%_Cons>=1,764,0.0005360306613103764,0.09738614488690105,0.005504177847196777,0.518324607329843,0.4095274252411276,334.2953951004829,100334.29539510056,0.0033429539510056202,11.448952879581151,2.3019607843137253,17,0.22997119271994867
0.0002,0.0001,2,Entry>0.02%_Exit<0.010%_Cons>=2,747,0.00013331927070738537,0.09348369055080566,0.001426123315434688,0.5140562248995983,0.09958949521841687,-2698.2867628253916,97301.71323717466,-0.026982867628253443,11.603748326639893,2.2549019607843137,17,0.22529724050761213
0.0002,0.0001,3,Entry>0.02%_Exit<0.010%_Cons>=3,715,0.0007632080352307915,0.08843031233265962,0.008630615623743747,0.5286713286713287,0.5456937451900159,2051.1208742402832,102051.12087424034,0.020511208742403395,11.892307692307693,2.203921568627451,17,0.21998268292907358
0.0002,0.0001,4,Entry>0.02%_Exit<0.010%_Cons>=4,685,0.000678617080007295,0.09301698159943834,0.007295625684024482,0.5372262773722628,0.4648526998049971,1287.0995748097848,101287.09957480957,0.012870995748095738,12.198540145985401,2.1333333333333333,16,0.21307638664599338
0.0003,5e-05,1,Entry>0.03%_Exit<0.005%_Cons>=1,359,0.003935436991223327,0.14424520543142696,0.02728296569340187,0.5487465181058496,1.4128218798491745,11168.588935434691,111168.58893543482,0.11168588935434819,21.33983286908078,1.8,15,0.18048374136709905
0.0003,5e-05,2,Entry>0.03%_Exit<0.005%_Cons>=2,348,0.004783994771537254,0.13787316777601247,0.03469851928918678,0.5603448275862069,1.6648301804949643,13727.103820995297,113727.10382099528,0.13727103820995282,21.74712643678161,1.7568627450980392,14,0.17602769279502475
0.0003,5e-05,3,Entry>0.03%_Exit<0.005%_Cons>=3,328,0.005589023296123471,0.1302848327897118,0.04289849536933065,0.5670731707317073,1.8331996411284983,16088.85930135641,116088.85930135645,0.16088859301356453,22.670731707317074,1.7098039215686274,14,0.17115407078843742
0.0003,5e-05,4,Entry>0.03%_Exit<0.005%_Cons>=4,309,0.004892310896643807,0.13314659922177444,0.036743791619453785,0.5760517799352751,1.5117240670629366,12425.89901683821,112425.89901683819,0.12425899016838186,23.576051779935273,1.6627450980392158,14,0.1663114917363447
