coin,entry_hour,direction,entry_fr,exit_type,holding_hours,entry_price,exit_price,exit_hour,price_return,funding_paid,trading_fee,gross_pnl,net_pnl,valid,consecutive_hours,fr_magnitude
SOPH,2025-05-28 15:00:00,short,-0.0016590006,fixed_8h,8,0.066381,0.06632,2025-05-28 23:00:00,0.0009189376478207864,0.023702302500000005,0.0009,-0.02278336485217922,-0.02368336485217922,True,1,0.0016590006
SOPH,2025-05-28 16:00:00,short,-0.0042861883,fixed_8h,8,0.067535,0.063316,2025-05-29 00:00:00,0.06247131117198491,0.024298307100000003,0.0009,0.0381730040719849,0.0372730040719849,True,2,0.0042861883
SOPH,2025-05-28 17:00:00,short,-0.0053181415,fixed_8h,8,0.062741,0.063227,2025-05-29 01:00:00,-0.007746130919175663,0.0217841838,0.0009,-0.029530314719175662,-0.030430314719175663,True,3,0.0053181415
SOPH,2025-05-28 18:00:00,short,-0.00225472,fixed_8h,8,0.063618,0.063252,2025-05-29 02:00:00,0.005753088748467279,0.0175394352,0.0009,-0.011786346451532722,-0.012686346451532722,True,4,0.00225472
SOPH,2025-05-28 19:00:00,short,-0.0030194575,fixed_8h,8,0.064254,0.064262,2025-05-29 03:00:00,-0.00012450586733890687,0.016253984,0.0009,-0.016378489867338905,-0.017278489867338907,True,5,0.0030194575
SOPH,2025-05-28 20:00:00,short,-0.002850555,fixed_8h,8,0.063643,0.063071,2025-05-29 04:00:00,0.008987634146724746,0.0147841878,0.0009,-0.005796553653275253,-0.0066965536532752525,True,6,0.002850555
SOPH,2025-05-28 21:00:00,short,-0.0018904538,fixed_8h,8,0.066665,0.06297,2025-05-29 05:00:00,0.055426385659641544,0.012942511299999997,0.0009,0.042483874359641544,0.041583874359641546,True,7,0.0018904538
SOPH,2025-05-28 22:00:00,short,-0.0024237858,fixed_8h,8,0.066551,0.063544,2025-05-29 06:00:00,0.0451833931871797,0.012890741899999999,0.0009,0.0322926512871797,0.031392651287179704,True,8,0.0024237858
SOPH,2025-05-28 23:00:00,short,-0.0022550052,fixed_8h,8,0.06632,0.063507,2025-05-29 07:00:00,0.042415560916767334,0.012073935099999999,0.0009,0.030341625816767335,0.029441625816767333,True,9,0.0022550052
SOPH,2025-05-29 00:00:00,short,-0.001772065,fixed_8h,8,0.063316,0.063339,2025-05-29 08:00:00,-0.00036325731252778324,0.011113580299999998,0.0009,-0.011476837612527782,-0.012376837612527782,True,10,0.001772065
SOPH,2025-05-29 01:00:00,short,-0.0010733929,fixed_8h,8,0.063227,0.06309,2025-05-29 09:00:00,0.0021667958308952203,0.010392103,0.0009,-0.00822530716910478,-0.00912530716910478,True,11,0.0010733929
SOPH,2025-05-29 03:00:00,short,-0.0015496613,fixed_8h,8,0.064262,0.061436,2025-05-29 11:00:00,0.04397622233979649,0.010128764799999999,0.0009,0.0338474575397965,0.0329474575397965,True,1,0.0015496613
SOPH,2025-05-29 04:00:00,short,-0.0010088785,fixed_8h,8,0.063071,0.061633,2025-05-29 12:00:00,0.022799701923229405,0.009323907699999998,0.0009,0.013475794223229406,0.012575794223229407,True,2,0.0010088785
SOPH,2025-05-29 05:00:00,short,-0.0018386844,fixed_8h,8,0.06297,0.060685,2025-05-29 13:00:00,0.03628712085119891,0.0093094947,0.0009,0.02697762615119891,0.026077626151198907,True,3,0.0018386844
SOPH,2025-05-29 06:00:00,short,-0.001606979,fixed_8h,8,0.063544,0.062022,2025-05-29 14:00:00,0.023951907339796085,0.0088659786,0.0009,0.015085928739796086,0.014185928739796086,True,4,0.001606979
SOPH,2025-05-29 07:00:00,short,-0.0012946504,fixed_8h,8,0.063507,0.061228,2025-05-29 15:00:00,0.03588580786370001,0.008485452300000002,0.0009,0.02740035556370001,0.02650035556370001,True,5,0.0012946504
SOPH,2025-05-29 08:00:00,short,-0.0010505877,fixed_8h,8,0.063339,0.058118,2025-05-29 16:00:00,0.08242946683717778,0.0084309146,0.0009,0.07399855223717777,0.07309855223717777,True,6,0.0010505877
SOPH,2025-05-29 13:00:00,short,-0.0013951683,fixed_8h,8,0.060685,0.057063,2025-05-29 21:00:00,0.05968525994891654,0.0070808727,0.0009,0.05260438724891654,0.051704387248916545,True,1,0.0013951683
SOPH,2025-05-29 14:00:00,short,-0.0012264527,fixed_8h,8,0.062022,0.057346,2025-05-29 22:00:00,0.07539260262487504,0.0062079782,0.0009,0.06918462442487504,0.06828462442487504,True,2,0.0012264527
SOPH,2025-05-29 15:00:00,short,-0.0012401127,fixed_8h,8,0.061228,0.056673,2025-05-29 23:00:00,0.07439406807343041,0.005249153800000001,0.0009,0.0691449142734304,0.06824491427343041,True,3,0.0012401127
SOPH,2025-05-30 14:00:00,short,-0.0027598475,fixed_8h,8,0.057874,0.056431,2025-05-30 22:00:00,0.024933476172374465,0.0102015567,0.0009,0.014731919472374466,0.013831919472374466,True,1,0.0027598475
SOPH,2025-05-30 15:00:00,short,-0.0017494141,fixed_8h,8,0.057687,0.059867,2025-05-30 23:00:00,-0.03779014335985568,0.008002817800000001,0.0009,-0.04579296115985568,-0.046692961159855675,True,2,0.0017494141
SOPH,2025-05-30 17:00:00,short,-0.0012789488,fixed_8h,8,0.057656,0.052868,2025-05-31 01:00:00,0.08304426252254754,0.0066721913,0.0009,0.07637207122254754,0.07547207122254754,True,1,0.0012789488
SOPH,2025-05-30 19:00:00,short,-0.0010041045,fixed_8h,8,0.058853,0.052987,2025-05-31 03:00:00,0.09967206429578786,0.0053242193,0.0009,0.09434784499578786,0.09344784499578786,True,1,0.0010041045
PUMP,2025-07-10 04:00:00,long,0.0026836687,fixed_8h,8,0.005183,0.004972,2025-07-10 12:00:00,-0.040710013505691735,0.009132899100000001,0.0009,-0.049842912605691736,-0.050742912605691734,True,1,0.0026836687
PUMP,2025-07-10 05:00:00,long,0.0020031524,fixed_8h,8,0.0052,0.0049,2025-07-10 13:00:00,-0.05769230769230768,0.006553157499999999,0.0009,-0.06424546519230769,-0.06514546519230768,True,2,0.0020031524
PUMP,2025-07-10 06:00:00,long,0.0010828758,fixed_8h,8,0.00545,0.004884,2025-07-10 14:00:00,-0.10385321100917425,0.004610762400000001,0.0009,-0.10846397340917424,-0.10936397340917424,True,3,0.0010828758
PUMP,2025-07-10 07:00:00,long,0.0010115269,fixed_8h,8,0.005183,0.005006,2025-07-10 15:00:00,-0.034150106116148965,0.0035431877,0.0009,-0.037693293816148964,-0.03859329381614896,True,4,0.0010115269
PUMP,2025-07-10 08:00:00,long,0.0010105796,fixed_8h,8,0.005255,0.005122,2025-07-10 16:00:00,-0.025309229305423463,0.0025441608000000004,0.0009,-0.027853390105423464,-0.028753390105423465,True,5,0.0010105796
PROVE,2025-08-06 04:00:00,short,-0.0044716302,fixed_8h,8,1.3335,1.1972,2025-08-06 12:00:00,0.10221222347206589,0.0208015583,0.0009,0.0814106651720659,0.0805106651720659,True,1,0.0044716302
PROVE,2025-08-06 05:00:00,short,-0.0051267075,fixed_8h,8,1.2639,1.2118,2025-08-06 13:00:00,0.0412216156341483,0.016809357599999998,0.0009,0.0244122580341483,0.0235122580341483,True,2,0.0051267075
PROVE,2025-08-06 06:00:00,short,-0.0072279749,fixed_8h,8,1.2827,1.1892,2025-08-06 14:00:00,0.07289311608326181,0.0123514282,0.0009,0.06054168788326181,0.05964168788326181,True,3,0.0072279749
PROVE,2025-08-06 09:00:00,short,-0.0010215373,fixed_8h,8,1.1398,1.0959,2025-08-06 17:00:00,0.03851552904018234,0.0058535657,0.0009,0.03266196334018234,0.031761963340182345,True,1,0.0010215373
PROVE,2025-08-06 15:00:00,short,-0.001092005,fixed_8h,8,1.1611,1.091,2025-08-06 23:00:00,0.06037378348118168,0.005084748900000001,0.0009,0.05528903458118168,0.05438903458118168,True,1,0.001092005
YZY,2025-08-21 13:00:00,short,-0.0013888313,fixed_8h,8,0.93686,0.85717,2025-08-21 21:00:00,0.0850607347949534,0.0092607271,0.0009,0.07580000769495339,0.07490000769495339,True,1,0.0013888313
YZY,2025-08-21 14:00:00,short,-0.0020524837,fixed_8h,8,0.96924,0.84018,2025-08-21 22:00:00,0.13315587470595514,0.008768636,0.0009,0.12438723870595514,0.12348723870595514,True,2,0.0020524837
YZY,2025-08-21 15:00:00,short,-0.0019749605,fixed_8h,8,1.0051,0.82831,2025-08-21 23:00:00,0.1758929459755249,0.0070799501,0.0009,0.1688129958755249,0.16791299587552488,True,3,0.0019749605
YZY,2025-08-21 16:00:00,short,-0.0016846214,fixed_8h,8,0.98435,0.81274,2025-08-22 00:00:00,0.17433839589576872,0.0055250796,0.0009,0.1688133162957687,0.1679133162957687,True,4,0.0016846214
YZY,2025-08-22 09:00:00,short,-0.0030745641,fixed_8h,8,0.66756,0.71032,2025-08-22 17:00:00,-0.06405416741566287,0.008265343999999997,0.0009,-0.07231951141566287,-0.07321951141566287,True,1,0.0030745641
YZY,2025-08-22 10:00:00,short,-0.0017199062,fixed_8h,8,0.67329,0.67876,2025-08-22 18:00:00,-0.0081242852262769,0.005187153600000001,0.0009,-0.013311438826276901,-0.014211438826276901,True,2,0.0017199062
XPL,2025-08-22 11:00:00,long,0.0011963443,fixed_8h,8,0.43555,0.49488,2025-08-22 19:00:00,0.13621857421650785,0.0043315418,0.0009,0.13188703241650784,0.13098703241650783,True,1,0.0011963443
YZY,2025-08-22 11:00:00,short,-0.0016587918,fixed_8h,8,0.68788,0.683,2025-08-22 19:00:00,0.007094260626853514,0.0034651651999999997,0.0009,0.0036290954268535145,0.0027290954268535143,True,3,0.0016587918
XPL,2025-08-22 17:00:00,long,0.0010498822,fixed_8h,8,0.48444,0.52743,2025-08-23 01:00:00,0.08874163983155803,0.0053325736,0.0009,0.08340906623155803,0.08250906623155803,True,1,0.0010498822
WLFI,2025-08-23 21:00:00,short,-0.0010395945,fixed_8h,8,0.29558,0.27818,2025-08-24 05:00:00,0.05886731172609793,0.0071550042000000005,0.0009,0.05171230752609793,0.05081230752609793,True,1,0.0010395945
WLFI,2025-08-23 22:00:00,short,-0.0010982021,fixed_8h,8,0.27684,0.27746,2025-08-24 06:00:00,-0.002239560757116058,0.0068926054,0.0009,-0.009132166157116057,-0.010032166157116057,True,2,0.0010982021
WLFI,2025-08-23 23:00:00,short,-0.001101726,fixed_8h,8,0.30103,0.25254,2025-08-24 07:00:00,0.16108029100089702,0.006307888,0.0009,0.154772403000897,0.153872403000897,True,3,0.001101726
WLFI,2025-08-24 00:00:00,short,-0.0010655856,fixed_8h,8,0.28945,0.25543,2025-08-24 08:00:00,0.11753325272067713,0.005703804399999999,0.0009,0.11182944832067714,0.11092944832067714,True,4,0.0010655856
YZY,2025-08-25 11:00:00,short,-0.001748359,fixed_8h,8,0.57443,0.57657,2025-08-25 19:00:00,-0.00372543216754005,0.0069195341,0.0009,-0.01064496626754005,-0.01154496626754005,True,1,0.001748359
YZY,2025-08-25 12:00:00,short,-0.001579895,fixed_8h,8,0.57189,0.55211,2025-08-25 20:00:00,0.03458707094021581,0.0071838545,0.0009,0.027403216440215813,0.02650321644021581,True,2,0.001579895
YZY,2025-08-25 18:00:00,short,-0.0016562602,fixed_8h,8,0.55869,0.56328,2025-08-26 02:00:00,-0.008215647317832756,0.0075767138,0.0009,-0.015792361117832755,-0.016692361117832757,True,1,0.0016562602
YZY,2025-08-25 19:00:00,short,-0.0020126794,fixed_8h,8,0.57657,0.56374,2025-08-26 03:00:00,0.022252285065126536,0.0062977375,0.0009,0.015954547565126535,0.015054547565126536,True,2,0.0020126794
YZY,2025-08-25 20:00:00,short,-0.0013108966,fixed_8h,8,0.55211,0.57177,2025-08-26 04:00:00,-0.03560884606328451,0.004596245,0.0009,-0.04020509106328451,-0.041105091063284506,True,3,0.0013108966
XPL,2025-08-27 09:00:00,long,0.0015071701,fixed_8h,8,0.72288,0.81753,2025-08-27 17:00:00,0.13093459495351928,0.0030101,0.0009,0.1279244949535193,0.12702449495351928,True,1,0.0015071701
WLFI,2025-08-27 10:00:00,long,0.0010063841,fixed_8h,8,0.30809,0.28701,2025-08-27 18:00:00,-0.06842156512707322,0.0019481301999999998,0.0009,-0.07036969532707321,-0.07126969532707321,True,1,0.0010063841
XPL,2025-08-27 10:00:00,long,0.0011390984,fixed_8h,8,0.72835,0.68015,2025-08-27 18:00:00,-0.06617697535525505,0.0015154298999999999,0.0009,-0.06769240525525505,-0.06859240525525505,True,2,0.0011390984
XPL,2025-08-28 20:00:00,long,0.0010719625,fixed_8h,8,0.96274,1.0567,2025-08-29 04:00:00,0.09759644348422204,0.0058567065,0.0009,0.09173973698422204,0.09083973698422204,True,1,0.0010719625
WLFI,2025-09-01 15:00:00,long,0.0011399855,fixed_8h,8,0.25418,0.23339,2025-09-01 23:00:00,-0.08179243056101987,0.0020483997,0.0009,-0.08384083026101986,-0.08474083026101986,True,1,0.0011399855
YZY,2025-09-01 21:00:00,short,-0.0010757958,fixed_8h,8,0.48581,0.4845,2025-09-02 05:00:00,0.0026965274490027653,0.0061213237,0.0009,-0.003424796250997235,-0.004324796250997235,True,1,0.0010757958
YZY,2025-09-01 22:00:00,short,-0.001342208,fixed_8h,8,0.48247,0.48452,2025-09-02 06:00:00,-0.004248968847804001,0.0053170004,0.0009,-0.009565969247804,-0.010465969247804,True,2,0.001342208
YZY,2025-09-01 23:00:00,short,-0.0011389216,fixed_8h,8,0.48641,0.481,2025-09-02 07:00:00,0.011122304228942715,0.0043121509,0.0009,0.006810153328942715,0.0059101533289427155,True,3,0.0011389216
YZY,2025-09-02 00:00:00,short,-0.0010186303,fixed_8h,8,0.49176,0.47895,2025-09-02 08:00:00,0.026049292337725696,0.0033763841,0.0009,0.022672908237725695,0.021772908237725694,True,4,0.0010186303
BIO,2025-09-05 18:00:00,short,-0.0017717782,fixed_8h,8,0.16583,0.17975,2025-09-06 02:00:00,-0.08394138575649754,0.009589017600000001,0.0009,-0.09353040335649754,-0.09443040335649754,True,1,0.0017717782
BIO,2025-09-05 19:00:00,short,-0.0019723595,fixed_8h,8,0.16634,0.18114,2025-09-06 03:00:00,-0.08897438980401592,0.008979150500000001,0.0009,-0.09795354030401593,-0.09885354030401593,True,2,0.0019723595
BIO,2025-09-05 20:00:00,short,-0.001102983,fixed_8h,8,0.16238,0.18376,2025-09-06 04:00:00,-0.13166646138687038,0.0083622438,0.0009,-0.14002870518687038,-0.1409287051868704,True,3,0.001102983
BIO,2025-09-05 21:00:00,short,-0.0010360694,fixed_8h,8,0.16717,0.17871,2025-09-06 05:00:00,-0.0690315247951187,0.0085470587,0.0009,-0.0775785834951187,-0.0784785834951187,True,4,0.0010360694
BIO,2025-09-05 23:00:00,short,-0.0010420621,fixed_8h,8,0.17138,0.18164,2025-09-06 07:00:00,-0.05986696230598664,0.0084626474,0.0009,-0.06832960970598664,-0.06922960970598664,True,1,0.0010420621
BIO,2025-09-06 02:00:00,short,-0.0011619111,fixed_8h,8,0.17975,0.16757,2025-09-06 10:00:00,0.06776077885952711,0.007937679199999999,0.0009,0.05982309965952711,0.05892309965952711,True,1,0.0011619111
BIO,2025-09-06 03:00:00,short,-0.0013554528,fixed_8h,8,0.18114,0.16974,2025-09-06 11:00:00,0.062934746604836,0.007480329499999999,0.0009,0.055454417104836,0.054554417104836,True,2,0.0013554528
BIO,2025-09-06 04:00:00,short,-0.0012877979,fixed_8h,8,0.18376,0.16946,2025-09-06 12:00:00,0.07781889420983895,0.0065496882999999985,0.0009,0.07126920590983896,0.07036920590983896,True,3,0.0012877979
BIO,2025-09-06 15:00:00,short,-0.0010157407,fixed_8h,8,0.17345,0.1657,2025-09-06 23:00:00,0.04468146439896228,0.0048926608,0.0009,0.03978880359896228,0.03888880359896228,True,1,0.0010157407
KAITO,2025-09-09 02:00:00,short,-0.0010180047,fixed_8h,8,1.4216,1.3841,2025-09-09 10:00:00,0.0263787281935846,0.0069419422,0.0009,0.0194367859935846,0.0185367859935846,True,1,0.0010180047
KAITO,2025-09-09 03:00:00,short,-0.0010775282,fixed_8h,8,1.4204,1.3455,2025-09-09 11:00:00,0.052731624894396076,0.006868196599999999,0.0009,0.045863428294396075,0.04496342829439608,True,2,0.0010775282
KAITO,2025-09-09 04:00:00,short,-0.0011244215,fixed_8h,8,1.3674,1.3054,2025-09-09 12:00:00,0.04534152406026039,0.0070813106,0.0009,0.03826021346026039,0.03736021346026039,True,3,0.0011244215
KAITO,2025-09-09 11:00:00,short,-0.0012906422,fixed_8h,8,1.3455,1.2441,2025-09-09 19:00:00,0.07536231884057967,0.0069484638,0.0009,0.06841385504057967,0.06751385504057968,True,1,0.0012906422
KAITO,2025-09-09 12:00:00,short,-0.0011238827,fixed_8h,8,1.3054,1.2304,2025-09-09 20:00:00,0.057453654052397704,0.006320995899999999,0.0009,0.0511326581523977,0.050232658152397705,True,2,0.0011238827
KAITO,2025-09-10 01:00:00,short,-0.0037201704,fixed_8h,8,1.399,1.3254,2025-09-10 09:00:00,0.05260900643316663,0.012612106200000002,0.0009,0.03999690023316663,0.03909690023316663,True,1,0.0037201704
KAITO,2025-09-10 02:00:00,short,-0.0024410683,fixed_8h,8,1.3787,1.3066,2025-09-10 10:00:00,0.05229564082106336,0.009428316200000002,0.0009,0.04286732462106336,0.04196732462106336,True,2,0.0024410683
KAITO,2025-09-10 03:00:00,short,-0.0021843355,fixed_8h,8,1.3371,1.3078,2025-09-10 11:00:00,0.021913095505197728,0.007664910499999999,0.0009,0.014248185005197728,0.013348185005197728,True,3,0.0021843355
KAITO,2025-09-10 04:00:00,short,-0.0014850689,fixed_8h,8,1.3214,1.3137,2025-09-10 12:00:00,0.005827153019524609,0.0060656945,0.0009,-0.00023854148047539048,-0.0011385414804753905,True,4,0.0014850689
OMNI,2025-09-10 04:00:00,short,-0.0019533808,fixed_8h,8,3.5348,3.6225,2025-09-10 12:00:00,-0.024810456037116638,0.0217080785,0.0009,-0.046518534537116636,-0.047418534537116634,True,1,0.0019533808
KAITO,2025-09-10 05:00:00,short,-0.001020611,fixed_8h,8,1.3108,1.2954,2025-09-10 13:00:00,0.0117485505035092,0.0050904758999999996,0.0009,0.0066580746035092,0.0057580746035092,True,5,0.001020611
OMNI,2025-09-10 05:00:00,short,-0.0021190544,fixed_8h,8,3.5098,3.619,2025-09-10 13:00:00,-0.03111288392501009,0.022733414999999996,0.0009,-0.05384629892501008,-0.05474629892501008,True,2,0.0021190544
OMNI,2025-09-10 06:00:00,short,-0.00204736,fixed_8h,8,3.5164,3.6131,2025-09-10 14:00:00,-0.027499715618246,0.0233896819,0.0009,-0.050889397518246005,-0.051789397518246,True,3,0.00204736
OMNI,2025-09-10 07:00:00,short,-0.0022648169,fixed_8h,8,3.6766,3.5771,2025-09-10 15:00:00,0.027063047380732175,0.0235339796,0.0009,0.0035290677807321737,0.002629067780732174,True,4,0.0022648169
OMNI,2025-09-10 08:00:00,short,-0.0024098415,fixed_8h,8,3.7114,3.5962,2025-09-10 16:00:00,0.031039499919167903,0.0233927053,0.0009,0.007646794619167903,0.006746794619167903,True,5,0.0024098415
OMNI,2025-09-10 09:00:00,short,-0.0041629241,fixed_8h,8,3.7702,3.6923,2025-09-10 17:00:00,0.02066203384435841,0.0229163148,0.0009,-0.002254280955641591,-0.003154280955641591,True,6,0.0041629241
OMNI,2025-09-10 10:00:00,short,-0.0034083632,fixed_8h,8,3.6983,3.7526,2025-09-10 18:00:00,-0.01468242165319201,0.0206093985,0.0009,-0.03529182015319201,-0.03619182015319201,True,7,0.0034083632
OMNI,2025-09-10 11:00:00,short,-0.0033423376,fixed_8h,8,3.5832,3.6408,2025-09-10 19:00:00,-0.016075016744809073,0.0192676484,0.0009,-0.03534266514480908,-0.036242665144809075,True,8,0.0033423376
OMNI,2025-09-10 12:00:00,short,-0.0029787173,fixed_8h,8,3.6225,3.6586,2025-09-10 20:00:00,-0.009965493443754258,0.018319873900000002,0.0009,-0.02828536734375426,-0.02918536734375426,True,9,0.0029787173
OMNI,2025-09-10 13:00:00,short,-0.0027753213,fixed_8h,8,3.619,3.6678,2025-09-10 21:00:00,-0.013484387952473045,0.017425845699999998,0.0009,-0.030910233652473043,-0.03181023365247304,True,10,0.0027753213
OMNI,2025-09-10 14:00:00,short,-0.0021916577,fixed_8h,8,3.6131,3.6893,2025-09-10 22:00:00,-0.021089922780991283,0.0164130096,0.0009,-0.03750293238099128,-0.03840293238099128,True,11,0.0021916577
OMNI,2025-09-10 15:00:00,short,-0.0021235426,fixed_8h,8,3.5771,3.7111,2025-09-10 23:00:00,-0.037460512705823124,0.0159122008,0.0009,-0.05337271350582312,-0.05427271350582312,True,12,0.0021235426
OMNI,2025-09-10 16:00:00,short,-0.001933451,fixed_8h,8,3.5962,3.5879,2025-09-11 00:00:00,0.002307991769089649,0.015322066600000002,0.0009,-0.013014074830910353,-0.013914074830910353,True,13,0.001933451
LINEA,2025-09-10 17:00:00,short,-0.0018308451,fixed_8h,8,0.026561,0.024204,2025-09-11 01:00:00,0.08873912879786158,0.0009077772999999999,0.0009,0.08783135149786159,0.08693135149786159,True,1,0.0018308451
OMNI,2025-09-10 17:00:00,short,-0.0018560078,fixed_8h,8,3.6923,3.6225,2025-09-11 01:00:00,0.018904206050429233,0.014835269,0.0009,0.004068937050429234,0.003168937050429234,True,14,0.0018560078
OMNI,2025-09-10 18:00:00,short,-0.0020666131,fixed_8h,8,3.7526,3.5655,2025-09-11 02:00:00,0.049858764589884356,0.015131889499999999,0.0009,0.034726875089884354,0.033826875089884356,True,15,0.0020666131
OMNI,2025-09-10 19:00:00,short,-0.0023945631,fixed_8h,8,3.6408,3.572,2025-09-11 03:00:00,0.01889694572621401,0.0151989828,0.0009,0.003697962926214011,0.002797962926214011,True,16,0.0023945631
OMNI,2025-09-10 20:00:00,short,-0.0020846891,fixed_8h,8,3.6586,3.5651,2025-09-11 04:00:00,0.025556223692122588,0.0146486187,0.0009,0.010907604992122589,0.010007604992122589,True,17,0.0020846891
