coin,entry_hour,direction,entry_fr,exit_type,holding_hours,entry_price,exit_price,exit_hour,exit_fr,price_return,funding_paid,trading_fee,gross_pnl,net_pnl,valid,consecutive_hours,fr_magnitude
SOPH,2025-05-28 15:00:00,short,-0.0016590006,normalized_0.05%,31,0.066381,0.057346,2025-05-29 22:00:00,-0.0002676283,0.13610822373872034,0.0492432154,0.0009,0.08686500833872034,0.08596500833872034,True,1,0.0016590006
SOPH,2025-05-28 16:00:00,short,-0.0042861883,normalized_0.05%,30,0.067535,0.057346,2025-05-29 22:00:00,-0.0002676283,0.15086991930110308,0.0475842148,0.0009,0.10328570450110308,0.10238570450110308,True,2,0.0042861883
SOPH,2025-05-28 17:00:00,short,-0.0053181415,normalized_0.05%,29,0.062741,0.057346,2025-05-29 22:00:00,-0.0002676283,0.08598842861924424,0.043298026499999996,0.0009,0.04269040211924425,0.04179040211924425,True,3,0.0053181415
SOPH,2025-05-28 18:00:00,short,-0.00225472,normalized_0.05%,28,0.063618,0.057346,2025-05-29 22:00:00,-0.0002676283,0.09858844980980215,0.037979885000000005,0.0009,0.060608564809802146,0.05970856480980215,True,4,0.00225472
SOPH,2025-05-28 19:00:00,short,-0.0030194575,normalized_0.05%,27,0.064254,0.057346,2025-05-29 22:00:00,-0.0002676283,0.10751081644722514,0.035725165,0.0009,0.07178565144722514,0.07088565144722514,True,5,0.0030194575
SOPH,2025-05-28 20:00:00,short,-0.002850555,normalized_0.05%,26,0.063643,0.057346,2025-05-29 22:00:00,-0.0002676283,0.09894253884952003,0.0327057075,0.0009,0.06623683134952003,0.06533683134952004,True,6,0.002850555
SOPH,2025-05-28 21:00:00,short,-0.0018904538,normalized_0.05%,25,0.066665,0.057346,2025-05-29 22:00:00,-0.0002676283,0.13978849471236782,0.029855152500000003,0.0009,0.10993334221236781,0.10903334221236781,True,7,0.0018904538
SOPH,2025-05-28 22:00:00,short,-0.0024237858,normalized_0.05%,24,0.066551,0.057346,2025-05-29 22:00:00,-0.0002676283,0.13831497648420005,0.027964698700000006,0.0009,0.11035027778420003,0.10945027778420004,True,8,0.0024237858
SOPH,2025-05-28 23:00:00,short,-0.0022550052,normalized_0.05%,23,0.06632,0.057346,2025-05-29 22:00:00,-0.0002676283,0.13531363088057904,0.025540912899999997,0.0009,0.10977271798057905,0.10887271798057906,True,9,0.0022550052
SOPH,2025-05-29 00:00:00,short,-0.001772065,normalized_0.05%,22,0.063316,0.057346,2025-05-29 22:00:00,-0.0002676283,0.09428896329521758,0.023285907699999997,0.0009,0.07100305559521758,0.07010305559521758,True,10,0.001772065
SOPH,2025-05-29 01:00:00,short,-0.0010733929,normalized_0.05%,21,0.063227,0.057346,2025-05-29 22:00:00,-0.0002676283,0.09301406044885893,0.0215138427,0.0009,0.07150021774885892,0.07060021774885893,True,11,0.0010733929
SOPH,2025-05-29 03:00:00,short,-0.0015496613,normalized_0.05%,19,0.064262,0.057346,2025-05-29 22:00:00,-0.0002676283,0.10762192275372691,0.019471180999999997,0.0009,0.08815074175372692,0.08725074175372692,True,1,0.0015496613
SOPH,2025-05-29 04:00:00,short,-0.0010088785,normalized_0.05%,18,0.063071,0.057346,2025-05-29 22:00:00,-0.0002676283,0.09077071871383045,0.0179215197,0.0009,0.07284919901383045,0.07194919901383046,True,2,0.0010088785
SOPH,2025-05-29 05:00:00,short,-0.0018386844,normalized_0.05%,17,0.06297,0.057346,2025-05-29 22:00:00,-0.0002676283,0.08931237097030327,0.016912641200000002,0.0009,0.07239972977030326,0.07149972977030326,True,3,0.0018386844
SOPH,2025-05-29 06:00:00,short,-0.001606979,normalized_0.05%,16,0.063544,0.057346,2025-05-29 22:00:00,-0.0002676283,0.09753871333249405,0.0150739568,0.0009,0.08246475653249405,0.08156475653249405,True,4,0.001606979
SOPH,2025-05-29 07:00:00,short,-0.0012946504,normalized_0.05%,15,0.063507,0.057346,2025-05-29 22:00:00,-0.0002676283,0.09701292770875641,0.013466977800000002,0.0009,0.08354594990875641,0.08264594990875641,True,5,0.0012946504
SOPH,2025-05-29 08:00:00,short,-0.0010505877,normalized_0.05%,14,0.063339,0.057346,2025-05-29 22:00:00,-0.0002676283,0.0946178499818438,0.0121723274,0.0009,0.0824455225818438,0.0815455225818438,True,6,0.0010505877
SOPH,2025-05-29 13:00:00,short,-0.0013951683,normalized_0.05%,9,0.060685,0.057346,2025-05-29 22:00:00,-0.0002676283,0.055021834061135394,0.0076031465,0.0009,0.047418687561135396,0.0465186875611354,True,1,0.0013951683
SOPH,2025-05-29 14:00:00,short,-0.0012264527,normalized_0.05%,8,0.062022,0.057346,2025-05-29 22:00:00,-0.0002676283,0.07539260262487504,0.0062079782,0.0009,0.06918462442487504,0.06828462442487504,True,2,0.0012264527
SOPH,2025-05-29 15:00:00,short,-0.0012401127,normalized_0.05%,7,0.061228,0.057346,2025-05-29 22:00:00,-0.0002676283,0.06340236493107723,0.0049815255,0.0009,0.05842083943107723,0.057520839431077234,True,3,0.0012401127
SOPH,2025-05-30 14:00:00,short,-0.0027598475,normalized_0.05%,9,0.057874,0.059867,2025-05-30 23:00:00,-0.0004631544,-0.034436880118878854,0.0107626653,0.0009,-0.045199545418878856,-0.046099545418878854,True,1,0.0027598475
SOPH,2025-05-30 15:00:00,short,-0.0017494141,normalized_0.05%,8,0.057687,0.059867,2025-05-30 23:00:00,-0.0004631544,-0.03779014335985568,0.008002817800000001,0.0009,-0.04579296115985568,-0.046692961159855675,True,2,0.0017494141
SOPH,2025-05-30 17:00:00,short,-0.0012789488,normalized_0.05%,6,0.057656,0.059867,2025-05-30 23:00:00,-0.0004631544,-0.03834813375884553,0.0053815063,0.0009,-0.043729640058845526,-0.044629640058845524,True,1,0.0012789488
SOPH,2025-05-30 19:00:00,short,-0.0010041045,normalized_0.05%,4,0.058853,0.059867,2025-05-30 23:00:00,-0.0004631544,-0.017229368086588516,0.0031060776000000003,0.0009,-0.020335445686588516,-0.021235445686588517,True,1,0.0010041045
PUMP,2025-07-10 04:00:00,long,0.0026836687,normalized_0.05%,6,0.005183,0.005074,2025-07-10 10:00:00,0.0003882846,-0.021030291337063422,0.0084889039,0.0009,-0.029519195237063423,-0.030419195237063424,True,1,0.0026836687
PUMP,2025-07-10 05:00:00,long,0.0020031524,normalized_0.05%,5,0.0052,0.005074,2025-07-10 10:00:00,0.0003882846,-0.02423076923076911,0.005805235199999999,0.0009,-0.03003600443076911,-0.03093600443076911,True,2,0.0020031524
PUMP,2025-07-10 06:00:00,long,0.0010828758,normalized_0.05%,4,0.00545,0.005074,2025-07-10 10:00:00,0.0003882846,-0.06899082568807333,0.0038020828000000003,0.0009,-0.07279290848807332,-0.07369290848807332,True,3,0.0010828758
