target_coin,hedge_coin,hour,position_type,beta,target_funding,hedge_funding,funding_pnl,price_pnl,hedge_pnl,gross_pnl,trading_fee,net_pnl,valid,correlation,net_funding
YZY,ETH,2025-08-25 11:00:00,long,1.3204954433619167,-0.001748359,0.0,0.001748359,-0.004421774628762365,-0.014075632866656747,-0.01674904849541911,0.002088445899025725,-0.018837494394444834,True,0.3061691128676708,0.001748359
YZY,ETH,2025-08-25 12:00:00,long,1.360164087896668,-0.001579895,0.0,0.001579895,-0.011418279739110693,0.004977031252124106,-0.004861353486986587,0.0021241476791070014,-0.006985501166093588,True,0.3153444168346346,0.001579895
YZY,ETH,2025-08-25 18:00:00,long,1.3418038108291315,-0.0016562602,0.0,0.0016562602,0.032003436610642755,0.04663929825153716,0.08029899506217991,0.002107623429746218,0.0781913716324337,True,0.31331689100333276,0.0016562602
YZY,ETH,2025-08-25 19:00:00,long,1.3238357220753711,-0.0020126794,0.0,0.0020126794,-0.04242329639072451,0.019158649871045857,-0.02125196711967865,0.002091452149867834,-0.023343419269546483,True,0.30651282654413686,0.0020126794
YZY,ETH,2025-08-25 20:00:00,long,1.0846056713556653,-0.0013108966,0.0,0.0013108966,0.008875043016790096,0.0006231217231734134,0.01080906133996351,0.0018761451042200988,0.008932916235743412,True,0.2642338803477946,0.0013108966
YZY,MAVIA,2025-09-01 21:00:00,long,0.5152071554893083,-0.0010757958,0.0,0.0010757958,-0.006875115786006858,-0.002514782852259251,-0.00831410283826611,0.0013636864399403773,-0.009677789278206487,True,0.4209397199936123,0.0010757958
YZY,MAVIA,2025-09-01 22:00:00,long,0.4944017337014111,-0.001342208,0.0,0.001342208,0.008166310858706227,-0.004562863825014892,0.004945655033691335,0.00134496156033127,0.0036006934733600645,True,0.4044741212225831,0.001342208
YZY,MAVIA,2025-09-01 23:00:00,long,0.48992390140683056,-0.0011389216,0.0,0.0011389216,0.010998951501819398,0.0003031707310686107,0.01244104383288801,0.0013409315112661475,0.011100112321621862,True,0.40086740433508894,0.0011389216
YZY,MAVIA,2025-09-02 00:00:00,long,0.49308310209522077,-0.0010186303,0.0,0.0010186303,-0.006913941760208098,-0.002951374604904246,-0.008846686065112344,0.0013437747918856988,-0.010190460856998042,True,0.4059286002208114,0.0010186303
BIO,TIA,2025-09-05 18:00:00,long,0.9881668182387257,-0.0017717782,1.25e-05,0.0017841302852279841,0.003075438702285327,0.0001812928360271583,0.005040861823540469,0.001789350136414853,0.0032515116871256163,True,0.5417070631613229,0.0017842781999999999
BIO,DYM,2025-09-05 19:00:00,long,0.8219223990712402,-0.0019723595,1.25e-05,0.0019826335299883906,-0.023806661055669087,-0.006807055150525367,-0.028631082676206062,0.0016397301591641162,-0.030270812835370177,True,0.5437380752921918,0.0019848595
BIO,DYM,2025-09-05 20:00:00,long,0.8348148489440916,-0.001102983,1.25e-05,0.0011134181856118012,0.029498706737282943,0.007966849522256342,0.038578974445151085,0.0016513333640496824,0.0369276410811014,True,0.5478062193875496,0.001115483
BIO,TIA,2025-09-05 21:00:00,long,0.9980925980830109,-0.0010360694,1.25e-05,0.0010485455574760377,0.008733624454148492,-0.0031907546477508344,0.006591415363873695,0.0017982833382747098,0.004793132025598985,True,0.5356622950351845,0.0010485694
BIO,DYM,2025-09-05 23:00:00,long,0.8083313386597433,-0.0010420621,1.25e-05,0.001052166241733247,0.027307737192204362,-0.002365582981109555,0.025994320452828054,0.001627498204793769,0.024366822248034284,True,0.5184214645358003,0.0010545621
BIO,ETHFI,2025-09-06 02:00:00,long,0.8080685729400321,-0.0011619111,1.25e-05,0.0011720119571617504,0.0077329624478441605,0.0021286646635912906,0.0110336390685972,0.0016272617156460288,0.009406377352951172,True,0.5070240582356933,0.0011744111
BIO,ETHFI,2025-09-06 03:00:00,long,0.8185536748275637,-0.0013554528,1.25e-05,0.0013656847209353447,0.014463950535497538,0.0015343086688426467,0.01736394392527553,0.0016366983073448074,0.01572724561793072,True,0.5084822244116703,0.0013679528
BIO,ETHFI,2025-09-06 04:00:00,long,0.8118869058408489,-0.0012877979,1.25e-05,0.0012979464863230104,-0.027481497605572502,0.009009415088289303,-0.01717413603096019,0.001630698215256764,-0.018804834246216953,True,0.501906455384473,0.0013002978999999998
BIO,ETHFI,2025-09-06 15:00:00,long,0.8493948752218463,-0.0010157407,1.25e-05,0.0010263581359402731,-0.0046122801960218895,-0.005319338176565497,-0.008905260236647113,0.0016644553876996617,-0.010569715624346774,True,0.5048207412039919,0.0010282407
KAITO,WCT,2025-09-09 02:00:00,long,1.3969675973915747,-0.0010180047,1.25e-05,0.0010354667949673945,-0.0008441193021946347,-0.016441976548794965,-0.016250629056022203,0.0021572708376524172,-0.01840789989367462,True,0.6000989961676833,0.0010305046999999998
KAITO,ME,2025-09-09 03:00:00,long,1.5923525017356222,-0.0010775282,-0.0001826041,0.0007867581045378182,-0.037313432835821,0.004220425166247383,-0.0323062495650358,0.00233311725156206,-0.03463936681659786,True,0.5610727172465936,0.0008949241
KAITO,ME,2025-09-09 04:00:00,long,1.576317658696649,-0.0011244215,-0.0001313604,0.0009173557818265447,0.004972941348544868,-0.0037747290836996996,0.002115568046671713,0.0023186858928269842,-0.00020311784615527134,True,0.5576058161103999,0.0009930611
KAITO,ME,2025-09-09 11:00:00,long,1.6723627031517758,-0.0012906422,-0.0003061033,0.000778726457768321,-0.029803047194351562,0.015259979114248156,-0.013764341622335086,0.002405126432836598,-0.016169468055171683,True,0.5599527599983948,0.0009845389
KAITO,ME,2025-09-09 12:00:00,long,1.6566206623998914,-0.0011238827,-0.0001775375,0.0008297704091491792,-0.00045962923241915643,-0.013436516850690295,-0.013066375673960273,0.002390958596159902,-0.015457334270120176,True,0.5486012063904651,0.0009463451999999999
KAITO,ME,2025-09-10 01:00:00,long,1.7113503890038422,-0.0037201704,-9.06105e-05,0.0035651040855771677,-0.014510364546104326,-0.009725854682715376,-0.020671115143242533,0.002440215350103458,-0.023111330493345992,True,0.46946585550458286,0.0036295599000000004
KAITO,ME,2025-09-10 02:00:00,long,1.7118643011375148,-0.0024410683,-8.63523e-05,0.002293244880308883,-0.030173351708130958,-0.0031582835719811014,-0.03103839039980318,0.002440677871023763,-0.033479068270826945,True,0.47226824502550474,0.0023547159999999998
KAITO,ME,2025-09-10 03:00:00,long,1.6840263402859141,-0.0021843355,-6.92426e-05,0.0020677291377301185,-0.011741829332136744,0.010671067668710316,0.0009969674743036897,0.0024156237062573226,-0.0014186562319536329,True,0.46470128431636526,0.0021150929
KAITO,ME,2025-09-10 04:00:00,long,1.6800158814422077,-0.0014850689,-8.97144e-05,0.0013343472832059412,-0.008021795065839221,0.007845157121448858,0.0011577093388155778,0.002412014293297987,-0.0012543049544824093,True,0.4576120408709632,0.0013953545
OMNI,ORDI,2025-09-10 04:00:00,long,0.8544274707437025,-0.0019533808,1.25e-05,0.001964061143384296,-0.0070725359284826705,0.03605098233652511,0.030942507551426735,0.0016689847236693322,0.029273522827757404,True,0.4865009509478812,0.0019658808
KAITO,ME,2025-09-10 05:00:00,long,1.6830763288254764,-0.001020611,-6.14634e-05,0.0009171634063708683,-0.005035093072932484,-0.005897565390492199,-0.010015495057053816,0.0024147686959429286,-0.012430263752996745,True,0.46021504528135165,0.0009591476
OMNI,OM,2025-09-10 05:00:00,long,1.199558065209744,-0.0021190544,1.25e-05,0.0021340488758151217,0.0018804490284347608,-0.00540714274368951,-0.0013926448394396282,0.0019796022586887696,-0.003372247098128398,True,0.4857780157896559,0.0021315544
